copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt073.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000121 402968273 9008528736 0 39308764 134404167 0 3344419 3344419 3344419 428085632 40.825427
0 apt101.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000003 10000002714 418959757 8935290314 0 43477444 145395997 0 3701654 3701654 3701654 473811712 45.186206
0 apt082.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000009 10000009170 398912378 9007716957 0 39924424 135689686 0 3375395 3375395 3375395 432050560 41.203552
0 apt092.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000000797 432830907 8906012971 0 45663214 147388249 0 3843898 3843898 3843898 492018944 46.922583
0 apt115.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000000684 295206468 9238405630 0 41793413 160764458 0 3514960 3514960 3514960 449914880 42.907227
0 apt102.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000004 10000003581 460478976 8898651300 0 42299137 153882239 0 3597146 3597146 3597146 460434688 43.910474
0 apt110.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000255 481545737 8816879317 0 49662721 138463092 0 4139471 4139471 4139471 529852288 50.530652
0 apt090.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000007 10000007294 487134580 8859805513 0 46745231 130398842 0 3913007 3913007 3913007 500864896 47.766199
0 apt119.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000414 316554371 9230733266 0 42255216 150567844 0 3546252 3546252 3546252 453920256 43.289209
0 apt091.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000003 10000003052 394759717 8943950567 0 46041988 142588356 0 3810870 3810870 3810870 487791360 46.519409
0 apt083.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000005 10000004778 293191715 9283765862 0 41763939 123702896 0 3424961 3424961 3424961 438395008 41.808606
0 apt087.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000009 10000008808 456967435 8871145262 0 47349482 137089903 0 3945976 3945976 3945976 505084928 48.168652
0 apt077.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000003 10000002588 458048047 8858819674 0 46978460 152360771 0 3948653 3948653 3948653 505427584 48.201331
0 apt096.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000108 429240021 9214501492 0 46348896 59554653 0 4331927 4331927 4331927 554486656 52.879968
0 apt117.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.013775 10013775454 283431444 9319830021 0 42254031 129094009 0 3497125 3497125 3497125 447632000 42.689514
1 apt083.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000405 274915382 8933490421 224200476 0 83943335 0 3365808 0 3365808 430823424 41.086523
1 apt092.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000003 10000003094 412094687 8765683960 265090451 0 96525394 0 3790622 0 3790622 485199616 46.272241
1 apt090.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000006 10000005754 456124878 8730108726 233864234 0 97360386 0 3818020 0 3818020 488706560 46.606689
1 apt101.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000015 10000015013 406461762 8806783629 249024182 0 89783581 0 3653381 0 3653381 467632768 44.596936
1 apt082.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000001489 379368663 8920757408 172399211 0 82780130 0 3316341 0 3316341 424491648 40.482678
1 apt091.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000017 10000017464 402254207 8798209227 247590815 0 96704258 0 3758393 0 3758393 481074304 45.878821
1 apt077.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000013 10000012561 461855571 8676563760 276070113 0 99624408 0 3917288 0 3917288 501412864 47.818457
1 apt087.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000442 464952692 8680869368 263635385 0 99442202 0 3929362 0 3929362 502958336 47.965845
1 apt115.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000000567 309262027 8845159816 276542444 0 88514125 0 3549334 0 3549334 454314752 43.326831
1 apt073.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000014 10000013547 384425932 8921590618 164794767 0 83428052 0 3268811 0 3268811 418407808 39.902478
