copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt127.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000191 323140583 9264933994 0 30942059 63954644 0 2596144 2596144 2596144 332306432 31.691211
0 apt125.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000005 10000004518 278675022 9351732500 0 27563750 54666474 0 2320841 2320841 2320841 297067648 28.330579
0 apt124.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000094 264839269 9369783765 0 27384845 56148411 0 2310561 2310561 2310561 295751808 28.205090
0 apt083.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000461 207488597 9547086135 0 27443900 56981720 0 2296799 2296799 2296799 293990272 28.037097
0 apt116.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000068 221913636 9517958117 0 29449146 56551371 0 2473076 2473076 2473076 316553728 30.188916
0 apt105.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000012 10000012027 296487871 9325914892 0 28587050 58762560 0 2409675 2409675 2409675 308438400 29.414978
0 apt085.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000008 10000008027 214715280 9547733079 0 27424411 52727912 0 2311185 2311185 2311185 295831680 28.212708
0 apt122.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000006 10000006074 323877519 9266738391 0 30159198 69950641 0 2533450 2533450 2533450 324281600 30.925903
0 apt087.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000386 314579232 9273963439 0 30741278 64805649 0 2574357 2574357 2574357 329517696 31.425256
0 apt089.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000008 10000008255 315137896 9294259696 0 29395761 61602630 0 2467207 2467207 2467207 315802496 30.117273
0 apt121.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000004 10000004247 320152609 9252541715 0 32394181 64945109 0 2709220 2709220 2709220 346780160 33.071533
0 apt107.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000007 10000007229 271831169 9489678764 0 30933495 39717956 0 2936590 2936590 2936590 375883520 35.847046
0 apt128.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000008 10000008015 210465270 9549891359 0 27248378 54935830 0 2281002 2281002 2281002 291968256 27.844263
0 apt123.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000007 10000007265 296913099 9270384201 0 32306319 68592619 0 2706032 2706032 2706032 346372096 33.032617
0 apt126.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000006 10000006458 287592981 9352374877 0 27707300 53065651 0 2329063 2329063 2329063 298120064 28.430945
1 apt122.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000000719 339504092 9149130560 141953120 0 60328551 0 2552172 0 2552172 326678016 31.154443
1 apt125.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000002 10000001962 277228131 9266073250 117111722 0 54817567 0 2328237 0 2328237 298014336 28.420862
1 apt127.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000006 10000006004 303196981 9164834857 136113364 0 60762206 0 2613899 0 2613899 334579072 31.907947
1 apt128.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000012 10000012471 183330873 9346952010 110031072 0 54852477 0 2309302 0 2309302 295590656 28.189722
1 apt123.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000005 10000004948 326297418 9148286744 134395928 0 63377411 0 2723957 0 2723957 348666496 33.251428
1 apt083.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000002 10000002365 200190261 9304343904 123324716 0 55300478 0 2323510 0 2323510 297409280 28.363159
1 apt124.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000007 10000007281 253391504 9305168895 108077396 0 54654193 0 2314060 0 2314060 296199680 28.247803
1 apt107.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000019 10000018787 270973322 9412626831 67007941 0 79095317 0 2958720 0 2958720 378716160 36.117188
1 apt105.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000002 10000002105 280173788 9255324767 82520170 0 59501066 0 2441746 0 2441746 312543488 29.806470
1 apt116.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000006 10000005654 214923787 9274928207 121030900 0 59426634 0 2520360 0 2520360 322606080 30.766113
1 apt089.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000005 10000004715 288790820 9227636589 123750282 0 59071882 0 2495670 0 2495670 319445760 30.464722
1 apt121.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000010 10000010217 342435554 9119257549 141472441 0 63301167 0 2747588 0 2747588 351691264 33.539893
1 apt126.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000007 10000006735 266184497 9309640032 76012256 0 57094213 0 2346202 0 2346202 300313856 28.640161
1 apt085.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000002 10000001684 211371175 9294969732 116091252 0 55336042 0 2353442 0 2353442 301240576 28.728540
1 apt087.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000376 320940807 9144965660 135763957 0 60452071 0 2621628 0 2621628 335568384 32.002295
0 apt127.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000000 10000000145 333600833 9254161044 0 33643594 64190387 0 5127110 5127110 2563555 656270080 62.586792
0 apt107.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000012 10000011538 298581794 9463385155 0 30760686 40311773 0 5810758 5810758 2905379 743777024 70.932104
0 apt123.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000000 10000000396 332677455 9232896262 0 35336086 68898917 0 5373270 5373270 2686635 687778560 65.591675
