copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt158.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000178 153954018 9243392385 0 9320528 540277716 0 847792 847792 847792 108517376 10.349023
0 apt163.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000026 10000025637 61321288 9676605416 0 4681826 227213403 0 419076 419076 419076 53641728 5.115674
0 apt155.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000009 10000009018 103846962 9643299270 0 4599601 223086450 0 412284 412284 412284 52772352 5.032764
0 apt172.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000499 133950070 9460575294 0 6869360 360066488 0 619641 619641 619641 79314048 7.563977
0 apt159.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000288 99168553 9264749946 0 9808448 565510362 0 885493 885493 885493 113343104 10.809241
0 apt160.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000020 10000020470 141210413 9355467687 0 8270830 447423069 0 750243 750243 750243 96031104 9.158240
0 apt187.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000002 10000001667 115360762 9603775876 0 5096162 247398731 0 458833 458833 458833 58730624 5.600989
0 apt153.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000184 114511652 9605515613 0 4943005 247343397 0 447337 447337 447337 57259136 5.460657
0 apt149.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000481 227546575 9742724312 0 3836160 5599728 0 357342 357342 357342 45739776 4.362085
0 apt185.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000197 67008920 9647738053 0 5112462 247950579 0 459999 459999 459999 58879872 5.615222
0 apt182.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000288 97308799 9295116377 0 9448255 540067420 0 849460 849460 849460 108730880 10.369385
0 apt138.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000000611 153276827 9220078306 0 9683560 561587537 0 880688 880688 880688 112728064 10.750586
0 apt140.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000020 10000019729 89034491 9401323812 0 8420678 448643172 0 752292 752292 752292 96293376 9.183252
0 apt165.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000022 10000022129 82477133 9505742107 0 6906939 361827528 0 621374 621374 621374 79535872 7.585132
0 apt144.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000118 68377516 9645648769 0 5015350 249077965 0 450366 450366 450366 57646848 5.497632
1 apt153.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000002 10000001939 124416686 9571516277 262973917 0 11474226 0 454909 0 454909 58228352 5.553088
1 apt138.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000010 10000009861 167396305 9180342907 557367479 0 28137731 0 883762 0 883762 113121536 10.788110
1 apt187.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000002 10000002281 125198999 9570966043 263785969 0 11875217 0 466733 0 466733 59741824 5.697424
1 apt159.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000001124 112873619 9220773374 580631102 0 22572473 0 892650 0 892650 114259200 10.896606
1 apt165.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000002 10000001857 90767638 9469535964 380340804 0 15707872 0 628961 0 628961 80507008 7.677747
1 apt172.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000004 10000003694 144873655 9425227556 375023050 0 16595856 0 623877 0 623877 79856256 7.615686
1 apt149.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000006 10000006294 58007527 9697732110 13412607 0 189136067 0 393408 0 393408 50356224 4.802344
1 apt155.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000002 10000002431 126556189 9564793248 268054383 0 12320355 0 470960 0 470960 60282880 5.749023
1 apt160.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000000802 145448810 9374847344 405004121 0 22569507 0 685376 0 685376 87728128 8.366406
1 apt158.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000013 10000012515 167014059 9222612955 536743593 0 21796436 0 835977 0 835977 107005056 10.204797
1 apt182.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000013 10000012538 107229648 9266959111 545624093 0 21481257 0 837990 0 837990 107262720 10.229370
1 apt163.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000000732 62549064 9627239143 264078025 0 12129074 0 464426 0 464426 59446528 5.669263
1 apt185.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000007 10000007295 69348208 9620304730 263963722 0 12802651 0 467957 0 467957 59898496 5.712366
1 apt140.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000452 95735428 9397998499 428907380 0 17662860 0 692791 0 692791 88677248 8.456921
1 apt144.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000099 72556786 9616876679 266338801 0 11414368 0 459057 0 459057 58759296 5.603723
