copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt163.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000001175 498337401 8891370043 0 54308845 155723838 0 4728041 4728041 4728041 605189248 57.715344
0 apt187.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000221 6773228048 2621085549 0 36412322 100640135 0 2962889 2962889 2962889 379249792 36.168079
0 apt159.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000000595 492480602 8919509805 0 52187758 154611485 0 4551025 4551025 4551025 582531200 55.554504
0 apt153.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000004 10000003844 7093765927 2290474805 0 37429454 107066202 0 3041082 3041082 3041082 389258496 37.122583
0 apt182.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000001151 449127632 9019844293 0 48373566 130142182 0 4205068 4205068 4205068 538248704 51.331396
0 apt140.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000004 10000004084 516411565 8868141603 0 55074152 152575107 0 4796860 4796860 4796860 613998080 58.555420
0 apt144.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000003 10000002992 514367380 8797959562 0 54619532 172881509 0 4737965 4737965 4737965 606459520 57.836487
0 apt165.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000009 10000008821 505052212 8845355574 0 50378641 173219994 0 4388411 4388411 4388411 561716608 53.569470
0 apt149.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000002 10000001955 6656232159 2691221107 0 36153115 45316053 0 3344441 3344441 3344441 428088448 40.825696
0 apt138.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000000985 6865554882 2482310038 0 39543419 119113405 0 3217495 3217495 3217495 411839360 39.276062
0 apt160.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000121 6720741281 2599952525 0 41635913 115693610 0 3405086 3405086 3405086 435851008 41.565991
0 apt185.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000004 10000003885 471106282 8955134175 0 51223778 141135134 0 4468304 4468304 4468304 571942912 54.544727
0 apt158.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000003 10000003245 6892872104 2464741533 0 39104681 113780264 0 3185960 3185960 3185960 407802880 38.891113
0 apt172.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000001215 6874099687 2546815746 0 35142181 108398206 0 2794913 2794913 2794913 357748864 34.117590
0 apt155.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000002 10000001975 6699781067 2613301263 0 42054205 113073074 0 3441872 3441872 3441872 440559616 42.015039
1 apt144.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000000654 356523242 9043066655 156520992 0 74372217 0 2905922 0 2905922 371958016 35.472681
1 apt165.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000003 10000002939 316664541 9118728374 159695357 0 68402815 0 2655441 0 2655441 339896448 32.415051
1 apt185.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000001022 327993144 9090249056 141513394 0 74304819 0 2880167 0 2880167 368661376 35.158289
1 apt149.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000005 10000004898 618493192 9019788010 65160527 0 105474808 0 2979463 0 2979463 381371264 36.370398
1 apt182.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000005 10000005054 285455299 9190309802 150404443 0 55611566 0 2525532 0 2525532 323268096 30.829248
1 apt155.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000003 10000002911 706911564 8673716163 161390679 0 73939728 0 2920436 0 2920436 373815808 35.649854
1 apt159.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000003 10000003394 298276797 9144922267 137094868 0 67273245 0 2729754 0 2729754 349408512 33.322192
1 apt140.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000012 10000012329 313619374 9100628491 147494551 0 70609476 0 2844542 0 2844542 364101376 34.723413
1 apt163.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000002 10000002018 336632132 9073659010 153934467 0 71699571 0 2881825 0 2881825 368873600 35.178528
1 apt172.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000009 10000009488 656913063 8784451155 154915564 0 68393212 0 2636959 0 2636959 337530752 32.189441
1 apt187.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000001079 734052168 8636228683 169662273 0 74951428 0 2906554 0 2906554 372038912 35.480396
1 apt153.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000000724 736976826 8640359151 173603802 0 76833688 0 2937174 0 2937174 375958272 35.854175
