copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt155.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000017 10000016869 129917388 9502752717 0 6561425 322357545 0 591092 591092 591092 75659776 7.215479
0 apt140.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000449 97390514 9329606618 0 9640106 500566989 0 859521 859521 859521 110018688 10.492200
0 apt187.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000002 10000002022 127125630 9505446414 0 6549980 323325549 0 589046 589046 589046 75397888 7.190503
0 apt149.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000005 10000005439 249154958 9718728600 0 4130466 5643843 0 387874 387874 387874 49647872 4.734790
0 apt182.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000011 10000011448 84096258 9487773784 0 7804100 370866693 0 694037 694037 694037 88836736 8.472131
0 apt172.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000006 10000005545 130008271 9478150065 0 6788932 346248108 0 613274 613274 613274 78499072 7.486255
0 apt160.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000002 10000001692 156462222 9277275610 0 9534271 498907381 0 860110 860110 860110 110094080 10.499390
0 apt163.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000014 10000013948 78654973 9547305205 0 6639396 324455121 0 592234 592234 592234 75805952 7.229419
0 apt138.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000006 10000005984 133144297 9498492970 0 6658183 322777271 0 600710 600710 600710 76890880 7.332886
0 apt144.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000005 10000005356 85661728 9466385849 0 7848329 391064389 0 702511 702511 702511 89921408 8.575574
0 apt165.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000341 79071450 9522795557 0 6932476 347925141 0 615841 615841 615841 78827648 7.517590
0 apt185.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000413 78031246 9550074419 0 6617698 323780035 0 591498 591498 591498 75711744 7.220435
0 apt158.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000014 10000014479 140458334 9439340977 0 7662230 367786988 0 692118 692118 692118 88591104 8.448706
0 apt159.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000012 10000011941 78990167 9544543315 0 6753636 325996972 0 602685 602685 602685 77143680 7.356995
0 apt153.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000001023 137531891 9421043310 0 7726253 389219435 0 699139 699139 699139 89489792 8.534412
1 apt149.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000009 10000009118 63913713 9679892855 11614705 0 210292815 0 412024 0 412024 52739072 5.029590
1 apt172.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000011 10000011289 140866144 9427342282 375584997 0 17129844 0 643515 0 643515 82369920 7.855408
1 apt159.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000111 89516944 9498544685 351933750 0 15790360 0 615637 0 615637 78801536 7.515100
1 apt158.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000012 10000012139 149599657 9404804972 385903446 0 18016459 0 687775 0 687775 88035200 8.395691
1 apt144.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000020 10000019678 92316738 9433640701 408452439 0 17243434 0 703927 0 703927 90102656 8.592859
1 apt185.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000013 10000012939 83233651 9519135996 339502699 0 16182157 0 596087 0 596087 76299136 7.276453
1 apt160.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000012 10000012488 157447480 9325291503 437224686 0 24685082 0 758197 0 758197 97049216 9.255334
1 apt155.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000024 10000024031 149122171 9448195738 350569937 0 15560278 0 610132 0 610132 78096896 7.447900
1 apt163.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000006 10000005575 84930096 9505113392 350948522 0 15736749 0 610686 0 610686 78167808 7.454663
1 apt165.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000178 90051471 9467561572 381694963 0 16115758 0 648889 0 648889 83057792 7.921008
1 apt182.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000009 10000009378 90569505 9453165121 390472472 0 17603142 0 686950 0 686950 87929600 8.385620
1 apt140.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000028 10000027712 103333314 9357664199 457121367 0 19205190 0 764920 0 764920 97909760 9.337402
1 apt138.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000229 142428759 9459628583 333108632 0 20227992 0 609472 0 609472 78012416 7.439844
1 apt153.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000027 10000026824 149167293 9380807414 405546240 0 17388375 0 698963 0 698963 89467264 8.532263
1 apt187.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000011 10000011426 139586097 9468603352 340728781 0 14824510 0 593804 0 593804 76006912 7.248584
0 apt155.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000001 10000000528 134094348 9492637550 0 6901666 327179102 0 1200792 1200792 600396 153701376 14.658105
0 apt159.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000003 10000002955 86769297 9526616263 0 7190414 334803543 0 1235608 1235608 617804 158157824 15.083105
0 apt140.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000001 10000000942 102178374 9366275094 0 9327721 464245054 0 1605964 1605964 802982 205563392 19.604053
0 apt163.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000000 10000000055 85044506 9536812659 0 6952189 327666818 0 1201368 1201368 600684 153775104 14.665137
0 apt185.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000006 10000006089 86439836 9534563195 0 6988560 329126031 0 1207678 1207678 603839 154582784 14.742163
0 apt153.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000010 10000009868 142446379 9410522370 0 8083261 393724063 0 1414592 1414592 707296 181067776 17.267969
0 apt165.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000002 10000002281 84107549 9508269155 0 7302364 355464157 0 1271842 1271842 635921 162795776 15.525415
0 apt149.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000011 10000011082 243489918 9725394122 0 4004586 5517138 0 751514 751514 375757 96193792 9.173755
0 apt144.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000003 10000002513 91796692 9455023786 0 8192430 395089468 0 1424504 1424504 712252 182336512 17.388965
0 apt158.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000001 10000000615 146176439 9416145600 0 8229216 382865263 0 1429354 1429354 714677 182957312 17.448169
0 apt172.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000006 10000006082 136692393 9461075939 0 7245211 354649361 0 1265824 1265824 632912 162025472 15.451953
0 apt187.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000003 10000003062 130965182 9494581186 0 6912904 328801755 0 1206232 1206232 603116 154397696 14.724512
0 apt182.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000000 10000000422 92680998 9463574445 0 8295343 384365660 0 1430888 1430888 715444 183153664 17.466895
0 apt160.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000004 10000003859 155863386 9321606762 0 9233988 460219372 0 1600768 1600768 800384 204898304 19.540625
0 apt138.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000002 10000001535 139328155 9477394608 0 7123226 334702030 0 1233394 1233394 616697 157874432 15.056079
1 apt182.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000001 10000000745 90274612 9434099954 410232933 0 18013568 0 1367638 0 683819 175057664 16.694800
1 apt144.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000005 10000004901 98141262 9404294013 430584490 0 18270408 0 1403764 0 701882 179681792 17.135791
1 apt165.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000002 10000001769 87165637 9461909648 391668437 0 16289636 0 1250472 0 625236 160060416 15.264551
1 apt163.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000004 10000004343 87404959 9476737197 376419693 0 15371913 0 1227856 0 613928 157165568 14.988477
1 apt159.apt.emulab.net 2 128 0 0 10.000000 5.000000 10.000011 10000010516 91839340 9468462305 378839739 0 16284685 0 1245008 0 622504 159361024 15.197852
