copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt144.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000001238 5291159433 4130531434 0 37005534 90077553 0 3028743 3028743 3028743 387679104 36.971960
0 apt157.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000000578 4809471634 4585093288 0 38196064 115948691 0 3152345 3152345 3152345 403500160 38.480774
0 apt182.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000004 10000004250 5527485715 3831886796 0 40683208 105160337 0 3353142 3353142 3353142 429202176 40.931909
0 apt178.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000006 10000006164 474710693 8937946949 0 51503463 138643198 0 4468308 4468308 4468308 571943424 54.544775
0 apt192.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000006 10000006142 469989428 8969290424 0 50778722 120783096 0 4396631 4396631 4396631 562768768 53.669812
0 apt187.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000006 10000005767 4972780527 4427338235 0 38965177 48173992 0 3577866 3577866 3577866 457966848 43.675122
0 apt158.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000001342 5306395640 4100503938 0 37928191 93688599 0 3113506 3113506 3113506 398528768 38.006665
0 apt165.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000002 10000001701 462059831 8966268828 0 49991442 136576451 0 4333373 4333373 4333373 554671744 52.897620
0 apt138.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000005 10000004941 409211114 9059036177 0 43211019 138228383 0 3741546 3741546 3741546 478917888 45.673169
0 apt150.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000000862 433016761 9022577260 0 47685404 130792908 0 4128969 4128969 4128969 528508032 50.402454
0 apt185.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000001087 5613173667 3753097549 0 40121196 102884173 0 3295722 3295722 3295722 421852416 40.230981
