timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
2.000262659,1032.72106934,1034.31170654,4902.08435059
3.000407359,0.396789550781,0.484558105469,14.7908325195
4.000541661,0.443786621094,0.359924316406,13.9536132812
5.000673875,0.323486328125,0.225830078125,13.9727783203
6.000804353,0.125915527344,0.219970703125,13.6827392578
7.000956603,74.7623901367,74.723815918,98.6441040039
8.001510960,0.361633300781,0.242614746094,14.2171020508
9.001649440,0.632263183594,0.65771484375,14.3547363281
10.001783184,0.11572265625,0.197082519531,13.6419677734
11.001913379,0.311340332031,0.297607421875,13.928527832
12.002048667,0.302673339844,0.296325683594,13.7372436523
13.002182732,0.438720703125,0.413330078125,13.9165649414
14.002311912,0.370849609375,0.38916015625,14.1284790039
15.002449164,105.114868164,106.833374023,1000.63226318
16.002580822,486.478149414,485.717895508,4938.31243896
17.002713794,485.494934082,485.602844238,4885.52258301
18.002845116,496.583068848,496.120239258,4978.72674561
19.002987303,485.744750977,485.519775391,4885.12249756
20.003120088,493.570800781,493.920166016,4977.12817383
21.003253901,486.824279785,488.243408203,4900.95202637
22.003399874,492.096069336,492.034362793,4952.46325684
23.003531126,500.86138916,501.354797363,4927.26348877
24.003664139,476.237426758,476.494628906,4911.62854004
25.003796926,501.763916016,502.014892578,4971.98339844
26.003927148,485.881469727,484.409484863,4890.21575928
27.004056228,484.200805664,485.173522949,4976.66790771
28.004186682,497.715820312,496.96081543,4931.95635986
29.004319015,492.728515625,492.991455078,4917.12640381
30.004451183,499.019348145,498.303466797,4972.4331665
31.004579380,488.797668457,489.031799316,4906.70495605
32.004721732,493.639343262,493.004760742,4949.65600586
33.004854255,484.088317871,484.40045166,4990.04815674
34.004982945,491.351501465,491.826477051,4925.4119873
35.005114037,498.175415039,498.02911377,4939.39208984
36.005243833,501.835693359,502.796203613,4936.79516602
37.005375254,498.456726074,498.383728027,4886.47692871
38.005517655,495.752258301,495.422607422,4918.6774292
39.005650673,492.78137207,492.064819336,4958.33538818
40.005780607,481.108520508,481.377380371,4935.60211182
41.005912831,492.13848877,492.913513184,4944.76629639
42.006044714,493.448059082,494.796142578,4954.01245117
43.006175695,497.442260742,497.25769043,4913.89874268
44.006307206,492.926391602,494.161315918,4959.82446289
45.006440610,484.510742188,484.648620605,4953.77770996
46.006569567,503.346618652,502.405639648,4944.31872559
47.006700156,486.862548828,487.707397461,4937.0703125
48.006830689,483.061096191,485.23046875,4924.68811035
49.006960689,501.049682617,500.318115234,4945.83123779
50.007089322,484.592895508,483.764404297,4965.17016602
51.007221022,499.404296875,498.487976074,4908.34796143
52.007311448,498.485534668,498.438903809,4977.23291016
53.007442877,523.36895752,524.345336914,4918.54272461
54.007574677,493.642578125,492.385559082,4882.40057373
55.007701683,500.631713867,500.278442383,4924.06188965
56.007832765,491.45324707,491.420837402,4887.86273193
57.007960904,498.173156738,498.264282227,4964.456604
58.008091718,489.64440918,488.690551758,4887.77825928
59.008223275,504.980895996,506.290771484,4927.18487549
60.008367816,484.499572754,484.672973633,4977.3961792
61.008497916,493.456604004,493.112121582,4915.65039062
62.008631959,495.610107422,494.886657715,4963.29504395
63.008762134,489.684509277,490.639526367,4922.86645508
64.008895937,500.827087402,500.140258789,4937.33343506
65.009026814,490.185791016,493.256469727,4914.72277832
66.009157287,486.809814453,488.108947754,4995.44366455
67.009290126,491.655822754,492.102172852,4931.93389893
68.009419671,494.920959473,495.150268555,4925.97662354
69.009549797,489.991943359,490.673828125,4983.42596436
70.009682203,491.652770996,491.476074219,4927.10577393
71.009815131,497.143859863,496.004577637,4983.58331299
72.009948102,487.049499512,486.656738281,4934.89758301
73.010079198,493.834716797,495.371520996,4954.67388916
74.010234003,490.281066895,492.25012207,4941.15789795
75.010446326,325.823730469,326.053894043,3314.53735352
76.010682800,21.129699707,20.7653808594,62.5825195312
76.010682800,2.72436523438,2.72760009766,15.4169311523
