copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt125.apt.emulab.net 1 16384 27 1024 60.000000 5.000000 60.000007 60000006801 129160880 59491108760 0 53559024 9251199 0 14801276 14801276 528617 23276063744 3854.498958
0 apt143.apt.emulab.net 1 16384 27 1024 60.000000 5.000000 60.000060 60000060170 141450503 59485205519 0 54424135 9268061 0 14801388 14801388 528621 23276239872 3854.528125
0 apt127.apt.emulab.net 1 16384 27 1024 60.000000 5.000000 60.000081 60000080954 128275486 59487956966 0 54048686 9106621 0 14797048 14797048 528466 23269414912 3853.397917
0 apt074.apt.emulab.net 1 16384 27 1024 60.000000 5.000000 60.000109 60000109346 137409805 59478252469 0 54403234 9375450 0 14797636 14797636 528487 23270339584 3853.551042
0 apt124.apt.emulab.net 1 16384 27 1024 60.000000 5.000000 60.000133 60000132584 127407135 59492444577 0 53701406 9176199 0 14799792 14799792 528564 23273730048 3854.112500
0 apt128.apt.emulab.net 1 16384 27 1024 60.000000 5.000000 60.000162 60000161968 133917565 59487025839 0 52829075 9269674 0 14801332 14801332 528619 23276151808 3854.513542
0 apt087.apt.emulab.net 1 16384 27 1024 60.000000 5.000000 60.000176 60000175752 121430990 59495739101 0 51791159 9339286 0 14801332 14801332 528619 23276151808 3854.513542
0 apt088.apt.emulab.net 1 16384 27 1024 60.000000 5.000000 60.000027 60000027104 127347672 59495686536 0 52287571 9241772 0 14797832 14797832 528494 23270647808 3853.602083
0 apt091.apt.emulab.net 1 16384 27 1024 60.000000 5.000000 60.000074 60000073996 133968134 59490281965 0 53482982 9108745 0 14801248 14801248 528616 23276019712 3854.491667
0 apt086.apt.emulab.net 1 16384 27 1024 60.000000 5.000000 60.000134 60000133696 119144454 59494787008 0 52745830 9322892 0 14801360 14801360 528620 23276195840 3854.520833
0 apt078.apt.emulab.net 1 16384 27 1024 60.000000 5.000000 60.000039 60000039182 131302325 59490879343 0 55881176 9194560 0 14800100 14800100 528575 23274214400 3854.192708
0 apt126.apt.emulab.net 1 16384 27 1024 60.000000 5.000000 60.000029 60000028840 130773045 59490387159 0 53006586 9331078 0 14799960 14799960 528570 23273994240 3854.156250
0 apt079.apt.emulab.net 1 16384 27 1024 60.000000 5.000000 60.000091 60000091079 131480457 59488514462 0 53084310 9178301 0 14801360 14801360 528620 23276195840 3854.520833
0 apt122.apt.emulab.net 1 16384 27 1024 60.000000 5.000000 60.000101 60000101357 134101718 59497137034 0 51109829 9175382 0 14801332 14801332 528619 23276151808 3854.513542
0 apt123.apt.emulab.net 1 16384 27 1024 60.000000 5.000000 60.000060 60000059659 121897555 59490630345 0 53145003 9249256 0 14801304 14801304 528618 23276107776 3854.506250
0 apt085.apt.emulab.net 1 16384 27 1024 60.000000 5.000000 60.000128 60000127887 121924441 59496826699 0 51789612 9374586 0 14801388 14801388 528621 23276239872 3854.528125
