mode seconds mbs
full 1 0.00
full 2 397.60
full 3 397.56
full 4 397.59
full 5 397.31
full 6 22.58
full 7 0.00
full 8 0.00
full 9 0.00
full 10 0.00
full 11 0.00
full 12 0.00
full 13 0.00
full 14 0.00
full 15 0.00
full 16 0.00
full 17 0.00
full 18 0.00
full 19 0.00
full 20 0.00
full 21 0.00
full 22 0.00
full 23 0.00
full 24 0.00
full 25 0.00
full 26 0.00
full 27 0.00
full 28 0.00
full 29 0.00
full 30 0.00
full 31 0.00
full 32 0.00
full 33 0.00
full 34 0.00
full 35 0.00
full 36 0.00
full 37 0.00
full 38 0.00
full 39 0.00
full 40 0.00
full 41 0.00
full 42 0.00
full 43 0.00
full 44 0.00
full 45 0.00
full 46 0.00
full 47 0.00
full 48 0.00
full 49 0.00
full 50 0.00
full 51 0.00
full 52 0.00
full 53 0.00
full 54 0.00
full 55 0.00
full 56 0.00
full 57 0.00
full 58 0.00
full 59 0.00
full 60 0.00
full 61 0.00
full 62 0.00
full 63 0.00
full 64 0.00
full 65 0.00
full 66 0.00
full 67 0.00
full 68 0.00
full 69 0.00
full 70 0.00
full 71 0.00
full 72 0.00
full 73 0.00
full 74 0.00
full 75 0.00
full 76 0.00
full 77 0.00
full 78 0.00
full 79 0.00
full 80 0.00
full 81 0.00
full 82 0.00
full 83 0.00
full 84 0.00
full 85 0.00
full 86 0.00
full 87 0.00
full 88 0.00
full 89 0.00
full 90 0.00
full 91 0.00
full 92 0.00
full 93 0.00
full 94 0.00
full 95 0.00
full 96 0.00
full 97 0.00
full 98 0.00
full 99 0.00
full 100 0.00
full 101 0.00
full 102 0.00
full 103 0.00
full 104 0.00
full 105 0.00
full 106 0.00
full 107 0.00
full 108 0.00
full 109 0.00
full 110 0.00
full 111 0.00
full 112 0.00
full 113 0.00
full 114 0.00
full 115 0.00
full 116 0.00
full 117 0.00
full 118 0.00
full 119 0.00
full 120 0.00
full 121 0.00
full 122 0.00
full 123 0.00
full 124 0.00
full 125 0.00
full 126 0.00
full 127 0.00
full 128 0.00
full 129 0.00
full 130 0.00
full 131 0.00
full 132 0.00
full 133 0.00
full 134 0.00
full 135 0.00
full 136 0.00
full 137 0.00
full 138 0.00
full 139 0.00
full 140 0.00
full 141 0.00
full 142 0.00
full 143 0.00
full 144 0.00
full 145 0.00
full 146 0.00
full 147 0.00
full 148 0.00
full 149 0.00
full 150 0.00
full 151 0.00
full 152 0.00
full 153 0.00
full 154 0.00
full 155 0.00
full 156 0.00
full 157 0.00
full 158 0.00
full 159 0.00
full 160 0.00
full 161 0.00
full 162 0.00
full 163 0.00
full 164 0.00
full 165 0.00
full 166 0.00
full 167 0.00
full 168 0.00
full 169 0.00
full 170 0.00
full 171 0.00
full 172 0.00
full 173 0.00
full 174 0.00
full 175 0.00
full 176 0.00
full 177 0.00
full 178 0.00
full 179 0.00
full 180 0.00
full 181 0.00
full 182 0.00
full 183 0.00
full 184 0.00
full 185 0.00
full 186 0.00
full 187 0.00
full 188 0.00
full 189 0.00
full 190 0.00
full 191 0.00
full 192 0.00
full 193 0.00
full 194 0.00
full 195 0.00
full 196 0.00
full 197 0.00
full 198 0.00
full 199 0.00
full 200 0.00
no-replication 1 0.05
no-replication 2 392.23
no-replication 3 392.69
no-replication 4 391.28
no-replication 5 389.29
no-replication 6 56.38
no-replication 7 0.00
no-replication 8 0.00
no-replication 9 0.00
no-replication 10 0.00
no-replication 11 0.00
no-replication 12 0.00
no-replication 13 0.00
no-replication 14 0.00
no-replication 15 0.00
no-replication 16 0.00
no-replication 17 0.00
no-replication 18 0.00
no-replication 19 0.00
no-replication 20 0.00
no-replication 21 0.00
no-replication 22 0.00
no-replication 23 0.00
no-replication 24 0.00
no-replication 25 0.00
no-replication 26 0.00
no-replication 27 0.00
no-replication 28 0.00
no-replication 29 0.00
no-replication 30 0.00
no-replication 31 0.00
no-replication 32 0.00
no-replication 33 0.00
no-replication 34 0.00
no-replication 35 0.00
no-replication 36 0.00
no-replication 37 0.00
no-replication 38 0.00
no-replication 39 0.00
no-replication 40 0.00
no-replication 41 0.00
no-replication 42 0.00
no-replication 43 0.00
no-replication 44 0.00
no-replication 45 0.00
no-replication 46 0.00
no-replication 47 0.00
no-replication 48 0.00
no-replication 49 0.00
no-replication 50 0.00
no-replication 51 0.00
no-replication 52 0.00
no-replication 53 0.00
no-replication 54 0.00
no-replication 55 0.00
no-replication 56 0.00
no-replication 57 0.00
no-replication 58 0.00
no-replication 59 0.00
no-replication 60 0.00
no-replication 61 0.00
no-replication 62 0.00
no-replication 63 0.00
no-replication 64 0.00
no-replication 65 0.00
no-replication 66 0.00
no-replication 67 0.00
no-replication 68 0.00
no-replication 69 0.00
no-replication 70 0.00
no-replication 71 0.00
no-replication 72 0.00
no-replication 73 0.00
no-replication 74 0.00
no-replication 75 0.00
no-replication 76 0.00
no-replication 77 0.00
no-replication 78 0.00
no-replication 79 0.00
no-replication 80 0.00
no-replication 81 0.00
no-replication 82 0.00
no-replication 83 0.00
no-replication 84 0.00
no-replication 85 0.00
no-replication 86 0.00
no-replication 87 0.00
no-replication 88 0.00
no-replication 89 0.00
no-replication 90 0.00
no-replication 91 0.00
no-replication 92 0.00
no-replication 93 0.00
no-replication 94 0.00
no-replication 95 0.00
no-replication 96 0.00
no-replication 97 0.00
no-replication 98 0.00
no-replication 99 0.00
no-replication 100 0.00
no-replication 101 0.00
no-replication 102 0.00
no-replication 103 0.00
no-replication 104 0.00
no-replication 105 0.00
no-replication 106 0.00
no-replication 107 0.00
no-replication 108 0.00
no-replication 109 0.00
no-replication 110 0.00
no-replication 111 0.00
no-replication 112 0.00
no-replication 113 0.00
no-replication 114 0.00
no-replication 115 0.00
no-replication 116 0.00
no-replication 117 0.00
no-replication 118 0.00
no-replication 119 0.00
no-replication 120 0.00
no-replication 121 0.00
no-replication 122 0.00
no-replication 123 0.00
no-replication 124 0.00
no-replication 125 0.00
no-replication 126 0.00
no-replication 127 0.00
no-replication 128 0.00
no-replication 129 0.00
no-replication 130 0.00
no-replication 131 0.00
no-replication 132 0.00
no-replication 133 0.00
no-replication 134 0.00
no-replication 135 0.00
no-replication 136 0.00
no-replication 137 0.00
no-replication 138 0.00
no-replication 139 0.00
no-replication 140 0.00
no-replication 141 0.00
no-replication 142 0.00
no-replication 143 0.00
no-replication 144 0.00
no-replication 145 0.00
no-replication 146 0.00
no-replication 147 0.00
no-replication 148 0.00
no-replication 149 0.00
no-replication 150 0.00
no-replication 151 0.00
no-replication 152 0.00
no-replication 153 0.00
no-replication 154 0.00
no-replication 155 0.00
no-replication 156 0.00
no-replication 157 0.00
no-replication 158 0.00
no-replication 159 0.00
no-replication 160 0.00
no-replication 161 0.00
no-replication 162 0.00
no-replication 163 0.00
no-replication 164 0.00
no-replication 165 0.00
no-replication 166 0.00
no-replication 167 0.00
no-replication 168 0.00
no-replication 169 0.00
no-replication 170 0.00
no-replication 171 0.00
no-replication 172 0.00
no-replication 173 0.00
no-replication 174 0.00
no-replication 175 0.00
no-replication 176 0.00
no-replication 177 0.00
no-replication 178 0.00
no-replication 179 0.00
no-replication 180 0.00
no-replication 181 0.00
no-replication 182 0.00
no-replication 183 0.00
no-replication 184 0.00
no-replication 185 0.00
no-replication 186 0.00
no-replication 187 0.00
no-replication 188 0.00
no-replication 189 0.00
no-replication 190 0.00
no-replication 191 0.00
no-replication 192 0.00
no-replication 193 0.00
no-replication 194 0.00
no-replication 195 0.00
no-replication 196 0.00
no-replication 197 0.00
no-replication 198 0.00
no-replication 199 0.00
no-replication 200 0.00
skip-append 1 0.00
