timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL,iMC3.MEM_BW_TOTAL
0.200459947,59.11328125,65.8093261719,55.1644897461,55.2223510742
0.300709349,67.1237792969,73.2588500977,62.6226196289,61.9526977539
0.400958439,57.2286987305,63.9566040039,53.3945922852,53.3672485352
0.501207760,58.8004150391,66.0368652344,55.1950683594,55.1574707031
0.601453552,58.0216064453,65.2412109375,54.5192871094,54.3776245117
0.701702125,58.8572387695,65.9697875977,55.2271728516,55.2532348633
0.801948114,58.6860961914,65.8842773438,55.1234130859,55.0380249023
0.902196339,57.938293457,65.3560791016,54.5075683594,54.4711303711
1.002454542,58.2791748047,65.7537231445,54.8983154297,54.9849243164
1.102709054,59.0060424805,66.4077758789,55.6209106445,55.5499267578
1.202966643,58.9411621094,66.459777832,55.6279296875,55.5970458984
1.303223725,58.2544555664,65.7158203125,55.0053710938,55.0504760742
1.403470818,58.3928833008,65.8958129883,55.1918334961,55.0816040039
1.503740191,58.4175415039,65.9461669922,55.0737915039,55.0811767578
1.603993663,57.7095947266,65.2007446289,54.5353393555,54.5856933594
1.704240099,58.2371826172,65.7633666992,54.9638061523,54.9674072266
1.804492624,58.7789306641,66.2330932617,55.5507202148,55.3551635742
1.904745597,58.6744995117,66.3174438477,55.3781738281,55.3689575195
2.004995513,58.6362304688,66.0781860352,55.3477172852,55.3103027344
2.105252262,59.1077880859,66.5588378906,55.8200073242,55.8436889648
2.205496057,58.9104003906,66.4273071289,55.6360473633,55.622253418
2.305746386,59.0366821289,66.4959716797,55.7386474609,55.676574707
2.405990224,59.2243041992,66.628112793,55.8840942383,55.9098510742
2.506233497,58.7071533203,66.2389526367,55.4058837891,55.3674926758
2.606479749,58.9619140625,66.3960571289,55.5411987305,55.5658569336
2.706722981,58.8482666016,66.2612304688,55.5377807617,55.6306152344
2.806968020,58.8817138672,66.3709106445,55.6044311523,55.53515625
2.907246193,58.8560791016,66.4208374023,55.5288696289,55.5111083984
3.007498132,58.3459472656,65.8180541992,55.2021484375,55.1851806641
3.107744604,60.1352539062,67.5062255859,56.7651977539,56.8085327148
3.207996940,58.9080810547,66.3920898438,55.6467895508,55.56640625
3.308244162,58.8043212891,66.3176879883,55.5150146484,55.4358520508
3.408498524,58.69921875,66.1797485352,55.3726806641,55.3955688477
3.508750650,59.0798950195,66.5123901367,55.8013305664,55.6564941406
3.609007146,63.8095092773,68.5819091797,57.4783935547,59.6115112305
3.709261738,86.9047241211,96.2009277344,90.6162719727,92.2908935547
3.809513411,0.162963867188,7.65502929688,0.124755859375,0.147644042969
3.909763946,49.2926635742,56.8166503906,46.5361328125,46.5006713867
4.010018265,58.4747314453,65.9636230469,55.1032714844,55.1472167969
4.110268872,9.03582763672,16.3101806641,8.75817871094,8.76776123047
4.210518910,17.922668457,25.7163696289,18.2528686523,17.9194335938
4.310795526,24.003112793,30.9426879883,23.4326171875,23.7651367188
4.411050662,19.5184326172,27.2780761719,15.7313232422,15.6136474609
4.511299231,23.3085327148,30.8950195312,23.5588378906,23.6884765625
4.611548480,102.879699707,110.543029785,97.7489624023,97.9543457031
4.711800719,101.627258301,109.271606445,96.6002197266,96.8593139648
4.812056808,100.887817383,108.214355469,95.3016357422,95.3571777344
4.912305454,8.97863769531,16.8013916016,8.75042724609,9.20861816406
5.012578933,11.5335083008,19.6568603516,11.2169189453,11.0657958984
5.112830316,7.95989990234,15.5885620117,8.08184814453,8.19897460938
5.213083388,8.48748779297,16.1396484375,8.62115478516,8.54779052734
5.313334744,8.47424316406,16.0774536133,8.46655273438,8.48706054688
5.413582193,8.35925292969,15.8985595703,8.310546875,8.30194091797
5.513830475,11.7213745117,19.276184082,11.7432861328,11.7271728516
5.614078151,0.0420532226562,7.66833496094,0.0321655273438,0.0352172851562
5.714358131,0.064208984375,7.60827636719,0.016845703125,0.00921630859375
5.814606669,0.184936523438,7.767578125,0.414123535156,0.646728515625
5.914856651,0.126098632812,7.76739501953,0.11181640625,0.156555175781
6.015109071,0.280700683594,7.93292236328,0.274536132812,0.281433105469
6.115351869,0.0558471679688,7.60266113281,0.00457763671875,0.00689697265625
6.215601465,0.00311279296875,7.61663818359,0.011474609375,0.0512084960938
6.315846537,0.0213623046875,7.62768554688,0.057373046875,0.011474609375
6.416095643,0.0367431640625,7.61535644531,0.00762939453125,0.00457763671875
6.516339265,0.0015869140625,7.59411621094,0.00079345703125,0.0497436523438
6.616606038,0.006103515625,7.60357666016,0.056640625,0.0023193359375
6.716851427,0.0160522460938,7.64434814453,0.00994873046875,0.0015869140625
6.817097926,0.016845703125,7.59362792969,0.0,0.0328979492188
6.917344778,0.00079345703125,7.59381103516,0.0489501953125,0.0
7.017596537,0.0313720703125,7.67364501953,0.0305786132812,0.0137939453125
7.117873544,0.0405883789062,7.60192871094,0.006103515625,0.0084228515625
7.218123133,0.154968261719,7.83776855469,0.56494140625,1.12384033203
7.318373642,0.0960693359375,7.72546386719,0.0946044921875,0.0924682617188
7.418624351,7.50347900391,16.0234375,8.57800292969,8.57879638672
7.518880443,0.0772705078125,7.63018798828,0.0198974609375,0.0183715820312
7.619127095,7.05670166016,15.6536865234,7.89373779297,7.88385009766
7.719377821,4.71649169922,12.6790161133,4.86511230469,4.74420166016
7.819628607,0.215881347656,7.76110839844,0.198120117188,0.18359375
7.919881822,5.00219726562,13.4329833984,5.8896484375,5.88494873047
8.020133051,5.19714355469,13.321472168,5.54986572266,5.28063964844
8.120378090,0.0474243164062,7.61785888672,0.0152587890625,0.0152587890625
8.220645396,0.0772094726562,7.65502929688,0.0726318359375,0.104736328125
8.320893009,5.21240234375,13.5022583008,5.85400390625,5.68408203125
8.421186159,4.41369628906,12.5103149414,4.85906982422,4.82385253906
8.521463778,0.0406494140625,7.62005615234,0.0490112304688,0.11328125
8.621718428,18.2153320312,25.2203369141,14.1123046875,10.260925293
8.721969646,4.76617431641,13.00390625,5.19439697266,5.10595703125
8.822221963,7.25823974609,15.7742919922,8.51068115234,8.38128662109
8.922471989,8.08264160156,16.8742675781,8.95208740234,8.78674316406
9.022719400,6.03833007812,14.1146850586,6.28411865234,6.06225585938
9.122968096,0.0145263671875,7.65441894531,0.016845703125,0.00762939453125
9.223207988,0.057373046875,7.60321044922,0.00689697265625,0.00079345703125
9.323454950,0.0015869140625,7.59954833984,0.0153198242188,0.0421142578125
9.423702256,4.34881591797,12.8062744141,5.20239257812,5.21990966797
9.523949818,6.81787109375,15.0003662109,7.35375976562,7.30718994141
9.624199444,5.67211914062,13.5715942383,5.876953125,5.85412597656
9.724451043,6.33282470703,14.3186035156,6.66101074219,6.58374023438
9.824720226,0.0382080078125,7.60943603516,0.00152587890625,0.00079345703125
9.924971389,0.750183105469,8.45837402344,0.838928222656,0.921630859375
10.025226054,13.6721191406,24.0394287109,14.2318115234,13.2241821289
10.125471513,4.45703125,12.702331543,4.87725830078,4.78002929688
10.225720192,0.0145263671875,7.64630126953,0.0076904296875,0.00384521484375
10.325966685,5.19500732422,13.6577148438,5.72100830078,5.62542724609
10.426211947,5.115234375,13.3939819336,5.47705078125,5.24072265625
10.526459456,0.0,7.64959716797,0.006103515625,0.0
10.626715825,5.28564453125,13.5458374023,6.05291748047,5.78900146484
10.726970854,0.0,7.59460449219,0.0336303710938,0.0153198242188
10.827219376,0.0015869140625,7.64276123047,0.0015869140625,0.0015869140625
10.927466669,4.61578369141,12.8309326172,5.2392578125,5.28234863281
11.027718678,6.38934326172,14.7349853516,7.13043212891,7.11376953125
11.127970167,6.78802490234,15.020324707,7.32354736328,7.34582519531
11.228245000,7.72857666016,15.9554443359,8.25128173828,8.20465087891
11.328492876,7.04095458984,15.1741943359,7.31945800781,7.45819091797
11.428737675,6.38610839844,13.6899414062,5.20227050781,4.85412597656
11.528987030,7.8525390625,16.1171875,8.48815917969,8.31292724609
11.629251486,5.78643798828,13.6597290039,5.96832275391,5.95294189453
11.729500048,0.0023193359375,7.59320068359,0.004638671875,0.05126953125
11.829746257,0.0313720703125,7.62396240234,0.0711059570312,0.0122680664062
11.929991703,1.91424560547,9.79858398438,2.09033203125,2.06433105469
12.030238042,5.17993164062,13.4666137695,5.77587890625,5.71771240234
12.130486671,5.92803955078,14.0162353516,6.22882080078,5.94354248047
12.230735800,5.71020507812,14.1165161133,6.34881591797,6.39862060547
12.330985879,6.39019775391,14.6304321289,6.96081542969,6.82971191406
12.431235308,6.38641357422,14.6300048828,6.82794189453,6.56555175781
12.531485837,5.39758300781,13.9638061523,6.40936279297,6.51251220703
