timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL,iMC3.MEM_BW_TOTAL
0.200392229,#NC,#NC,#NC,#NC
0.300618970,#NC,#NC,#NC,#NC
0.400860466,68.2470703125,69.1754150391,64.1379394531,64.1501464844
0.501092354,#NC,#NC,#NC,#NC
0.601331326,68.998046875,70.2302246094,64.9706420898,64.9808349609
0.701554154,#NC,#NC,#NC,#NC
0.801800582,69.7809448242,71.0424804688,65.8908691406,65.818359375
0.902020737,#NC,#NC,#NC,#NC
1.002267223,70.0530395508,71.2864379883,66.1518554688,66.2190551758
1.102497224,#NC,#NC,#NC,#NC
1.202744760,70.2284545898,71.4521484375,66.385925293,66.2752075195
1.302971488,#NC,#NC,#NC,#NC
1.403221770,69.5069580078,70.8623657227,65.6418457031,65.6635131836
1.503447898,#NC,#NC,#NC,#NC
1.603693057,69.5584716797,70.8519897461,65.6124267578,65.6419067383
1.703929965,#NC,#NC,#NC,#NC
1.804199524,69.7038574219,70.9105224609,65.75390625,65.7149047852
1.904468584,#NC,#NC,#NC,#NC
2.004721350,68.8137817383,70.1719360352,64.9368286133,64.9741210938
2.104967811,69.2055053711,70.822265625,65.5361328125,65.4835205078
2.205200260,#NC,#NC,#NC,#NC
2.305453025,69.8415527344,71.151184082,65.9914550781,66.0357055664
2.405682246,#NC,#NC,#NC,#NC
2.505933176,69.7534790039,71.0164794922,65.8624267578,65.8629760742
2.606160211,#NC,#NC,#NC,#NC
2.706406896,69.7534179688,71.1131591797,65.8997192383,65.8859863281
2.806632224,#NC,#NC,#NC,#NC
2.906881736,69.3217773438,70.6197509766,65.4837646484,65.4182739258
3.007109654,#NC,#NC,#NC,#NC
3.107362070,95.2147216797,96.6207275391,95.4050292969,95.3540039062
3.207592032,#NC,#NC,#NC,#NC
3.307859694,65.9268188477,67.2354125977,65.9566650391,65.8988037109
3.408092889,#NC,#NC,#NC,#NC
3.508345044,69.7462158203,71.0668945312,65.9151611328,65.8239135742
3.608577359,#NC,#NC,#NC,#NC
3.708830521,17.9676513672,19.2030029297,17.446105957,17.4833984375
3.809085987,#NC,#NC,#NC,#NC
3.909339719,14.5619506836,16.0521850586,14.5295410156,14.7557373047
4.009588975,21.1777954102,22.4943237305,18.8034667969,18.9757080078
4.109814840,#NC,#NC,#NC,#NC
4.210061418,113.743652344,115.043029785,107.678466797,107.780883789
4.310285246,#NC,#NC,#NC,#NC
4.410535308,11.2861328125,13.1086425781,11.5606689453,11.4920654297
4.510765143,#NC,#NC,#NC,#NC
4.611009338,10.6622924805,11.8847045898,10.6337280273,10.5864257812
4.711235346,#NC,#NC,#NC,#NC
4.811485982,10.2754516602,11.5653686523,10.2770996094,10.2650146484
4.911715064,#NC,#NC,#NC,#NC
5.011997240,0.0489501953125,1.32135009766,0.0734252929688,0.0986328125
5.112233222,#NC,#NC,#NC,#NC
5.212488380,0.0726928710938,1.28936767578,0.023681640625,0.0160522460938
5.312740503,#NC,#NC,#NC,#NC
5.412993708,0.00152587890625,1.32171630859,0.006103515625,0.0023193359375
5.513229840,#NC,#NC,#NC,#NC
5.613486829,0.0030517578125,1.27551269531,0.0321044921875,0.022216796875
5.713721490,#NC,#NC,#NC,#NC
5.813962635,#NC,#NC,#NC,#NC
5.914220391,2.29162597656,3.45568847656,2.09088134766,2.15057373047
6.014448540,#NC,#NC,#NC,#NC
6.114695161,0.0160522460938,1.34490966797,0.022216796875,0.0122680664062
6.214925743,#NC,#NC,#NC,#NC
6.315172902,0.00311279296875,1.26995849609,0.0489501953125,0.0
6.415408090,#NC,#NC,#NC,#NC
6.515654952,0.06884765625,1.33050537109,0.0481567382812,0.07568359375
6.615882731,#NC,#NC,#NC,#NC
6.716127889,0.00457763671875,1.32440185547,0.006103515625,0.0
6.816352977,#NC,#NC,#NC,#NC
6.916608543,0.0282592773438,1.30725097656,0.08642578125,0.0359497070312
7.016842654,#NC,#NC,#NC,#NC
7.117088247,0.0527954101562,1.32220458984,0.0267944335938,0.0825805664062
7.217314472,#NC,#NC,#NC,#NC
7.317562887,0.110778808594,1.38220214844,0.0856323242188,0.0757446289062
7.417843956,#NC,#NC,#NC,#NC
7.518092618,0.0862426757812,1.38348388672,0.116271972656,0.0762329101562
7.618338534,0.5048828125,1.98004150391,0.286254882812,0.549011230469
7.718569289,#NC,#NC,#NC,#NC
7.818816780,5.2451171875,7.21435546875,5.79364013672,5.88092041016
7.919050152,#NC,#NC,#NC,#NC
8.019300995,5.26770019531,7.22869873047,5.81170654297,5.72839355469
8.119529713,#NC,#NC,#NC,#NC
8.219776478,7.9248046875,9.74102783203,8.11706542969,7.80810546875
8.320021343,#NC,#NC,#NC,#NC
8.420265578,0.0474243164062,1.33843994141,0.0451049804688,0.0811157226562
8.520489203,#NC,#NC,#NC,#NC
8.620741002,5.31671142578,7.26293945312,5.85418701172,5.78497314453
8.720971884,#NC,#NC,#NC,#NC
8.821223369,0.1865234375,1.51068115234,0.280578613281,0.152893066406
8.921452337,#NC,#NC,#NC,#NC
9.021704129,4.85498046875,7.06567382812,5.80230712891,5.76733398438
9.121938134,#NC,#NC,#NC,#NC
9.222185100,0.0986938476562,1.33752441406,0.0390014648438,0.0183715820312
9.322463715,#NC,#NC,#NC,#NC
9.422714594,4.56774902344,6.53875732422,5.09826660156,5.2255859375
9.522967623,7.14929199219,9.18988037109,7.4599609375,7.40399169922
9.623216555,#NC,#NC,#NC,#NC
9.723465387,0.0504760742188,1.32513427734,0.0826416015625,0.0321655273438
9.823693885,#NC,#NC,#NC,#NC
9.923973568,5.36779785156,7.51947021484,6.22021484375,6.39227294922
10.024199036,#NC,#NC,#NC,#NC
10.124452341,5.58239746094,7.50787353516,6.26623535156,6.33056640625
10.224677080,#NC,#NC,#NC,#NC
10.324931279,0.0611572265625,1.34045410156,0.0856323242188,0.0336303710938
10.425164237,#NC,#NC,#NC,#NC
10.525412122,0.0551147460938,1.33367919922,0.0291137695312,0.0841064453125
10.625653937,#NC,#NC,#NC,#NC
10.725907307,4.50817871094,6.60101318359,5.40606689453,5.39245605469
