timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL,iMC3.MEM_BW_TOTAL
0.200341155,#NC,#NC,#NC,#NC
0.300547443,59.1754760742,57.5745239258,54.2950439453,54.3369750977
0.400755054,59.510559082,58.0281982422,54.7229614258,54.6791381836
0.500949719,59.2673950195,57.9341430664,54.6331176758,54.6403808594
0.601136983,#NC,#NC,#NC,#NC
0.701344241,57.9173583984,56.5950927734,53.3588256836,53.4028930664
0.801546629,59.4805297852,58.1856079102,54.9496459961,54.9118652344
0.901737734,59.3462524414,58.0489501953,54.7784423828,54.8214111328
1.001932257,56.280090332,55.1226196289,51.9138793945,52.0153808594
1.102119946,#NC,#NC,#NC,#NC
1.202326802,59.4752807617,57.8941650391,54.5646972656,54.6079101562
1.302530804,59.3634033203,58.1204833984,54.8240966797,54.8762817383
1.402743085,59.3396606445,58.1259155273,54.8084106445,54.8549194336
1.502946609,71.30859375,70.0228881836,65.8363037109,65.8322753906
1.603146965,75.5343017578,74.1015625,70.1845092773,70.2557983398
1.703351738,70.422668457,69.1672363281,65.2716674805,65.2446289062
1.803554676,70.7134399414,69.5395507812,65.5836181641,65.5968017578
1.903749937,70.6192626953,69.3766479492,65.4817504883,65.5086669922
2.003937797,#NC,#NC,#NC,#NC
2.104130887,68.4939575195,67.3446655273,63.4016723633,63.4868774414
2.204332186,69.369140625,68.1367797852,64.2476196289,64.275390625
2.304532340,70.6096191406,69.3511962891,65.4522705078,65.4801025391
2.404740595,70.2236328125,68.9506225586,65.0958862305,65.1096801758
2.504931166,#NC,#NC,#NC,#NC
2.605128591,70.3259277344,69.0632324219,65.141784668,65.1829833984
2.705330881,70.8040161133,69.7213134766,65.8353881836,65.8217773438
2.805534870,72.5172119141,71.1795043945,67.3182373047,67.3528442383
2.905716502,#NC,#NC,#NC,#NC
3.005918280,69.0178222656,67.746887207,63.9129638672,63.9376831055
3.106109628,69.2018432617,67.9981079102,64.1382446289,64.1423950195
3.206308718,70.2387084961,68.9959106445,65.0748291016,65.0879516602
3.306492220,95.7317504883,94.6196899414,94.4890136719,94.458190918
3.406670759,#NC,#NC,#NC,#NC
3.506888671,1.41021728516,0.0565185546875,0.0970458984375,0.152770996094
3.607091734,51.1862792969,49.9677734375,47.1571044922,47.1825561523
3.707291136,69.2318115234,68.0133666992,64.1604614258,64.1030273438
3.807451933,16.9161376953,15.8922729492,15.8908081055,15.7162475586
3.907594444,10.1474609375,8.85235595703,8.97216796875,8.56671142578
4.007736795,14.1472167969,12.8645629883,12.5444335938,12.5552368164
4.107908929,18.8728027344,17.3807983398,17.6596679688,17.4252319336
4.208118940,115.233276367,113.756713867,107.49041748,107.552001953
4.308293501,#NC,#NC,#NC,#NC
4.408483978,114.93762207,113.595703125,107.135925293,107.097290039
4.508671077,15.7127685547,17.1597290039,15.7943725586,15.4701538086
4.608853461,11.5582885742,10.4909667969,10.4517822266,10.5604858398
4.709033158,11.7772216797,10.5193481445,10.5092773438,10.5568237305
4.809199025,#NC,#NC,#NC,#NC
4.909371200,12.1864624023,10.9318847656,10.8988037109,10.9415893555
5.009530568,16.0098876953,14.7523803711,14.7410888672,14.8389282227
5.109671053,1.42663574219,0.138366699219,0.150573730469,0.179565429688
5.209805045,#NC,#NC,#NC,#NC
5.309946744,1.28576660156,0.0137329101562,0.016845703125,0.0687255859375
5.410087249,1.39129638672,0.113830566406,0.110046386719,0.1650390625
5.510224011,1.27514648438,0.0015869140625,0.0,0.0557861328125
5.610360640,1.26873779297,0.00384521484375,0.0,0.0512084960938
5.710489854,#NC,#NC,#NC,#NC
5.810626952,1.27429199219,0.00384521484375,0.00311279296875,0.0542602539062
5.910764401,1.30639648438,0.0191040039062,0.034423828125,0.0687255859375
6.010943739,1.43096923828,0.152038574219,0.137512207031,0.176513671875
6.111072551,1.29418945312,0.0244750976562,0.01953125,0.0657348632812
6.211210075,1.41448974609,0.131103515625,0.144104003906,0.184265136719
6.311347553,1.28698730469,0.0191040039062,0.0183715820312,0.0679931640625
6.411487323,1.28259277344,0.00762939453125,0.0130004882812,0.052734375
6.511623032,1.26818847656,0.0,0.0015869140625,0.0488891601562
6.611756259,#NC,#NC,#NC,#NC
6.711895385,1.29339599609,0.0122680664062,0.0130004882812,0.0580444335938
6.812036909,1.29260253906,0.0160522460938,0.0153198242188,0.0703125
6.912181071,1.30035400391,0.023681640625,0.0237426757812,0.0679931640625
7.012305289,1.27514648438,0.006103515625,0.004638671875,0.053466796875
7.112435363,#NC,#NC,#NC,#NC
7.212603726,1.26806640625,0.0,0.0,0.0488891601562
7.312748071,1.27673339844,0.00537109375,0.0076904296875,0.0512084960938
7.412873310,3.98553466797,2.95690917969,2.98742675781,3.12719726562
7.513004571,#NC,#NC,#NC,#NC
7.613142261,5.20697021484,4.31317138672,4.27044677734,4.291015625
7.713279284,4.89227294922,3.79345703125,3.61059570312,3.40582275391
7.813416167,5.28790283203,4.39758300781,4.38726806641,4.34710693359
7.913552807,1.28088378906,0.011474609375,0.016845703125,0.0603637695312
8.013685854,#NC,#NC,#NC,#NC
8.113826171,6.00701904297,5.46221923828,5.06121826172,4.8916015625
8.213965534,1.49847412109,0.20703125,0.223876953125,0.25439453125
8.314118073,1.28271484375,0.0137329101562,0.0198974609375,0.0573120117188
8.414261497,6.35369873047,5.80249023438,5.91528320312,5.8359375
8.514400997,5.25921630859,4.64367675781,4.79901123047,4.79522705078
8.614533031,8.03680419922,7.50457763672,7.53192138672,7.54095458984
8.714672001,1.27044677734,0.00079345703125,0.00384521484375,0.0496826171875
8.814815302,6.77667236328,6.03869628906,5.75524902344,5.68804931641
8.914947301,#NC,#NC,#NC,#NC
9.015091386,7.27947998047,6.80358886719,6.94268798828,6.93432617188
9.115233311,8.27844238281,7.26196289062,7.05932617188,6.92395019531
9.215371165,1.36749267578,0.0977783203125,0.0993041992188,0.1474609375
9.315511063,1.27197265625,0.0,0.00311279296875,0.0512084960938
9.415645076,#NC,#NC,#NC,#NC
9.515783786,1.27429199219,0.004638671875,0.0015869140625,0.0542602539062
9.615922605,13.6262817383,12.6525878906,12.2795410156,12.2784423828
9.716064363,1.30834960938,0.0390014648438,0.0397338867188,0.087890625
9.816186631,#NC,#NC,#NC,#NC
9.916323242,1.26953125,0.0,0.0,0.0504150390625
10.016459969,1.28851318359,0.0130004882812,0.0122680664062,0.0557861328125
10.116603165,6.1416015625,5.40441894531,5.06384277344,4.91387939453
10.216735199,8.30554199219,7.44470214844,7.22552490234,7.00933837891
10.316867858,#NC,#NC,#NC,#NC
10.417009296,1.27276611328,0.00762939453125,0.00921630859375,0.0557861328125
10.517148931,1.27124023438,0.00384521484375,0.00384521484375,0.0519409179688
10.617359858,6.18408203125,5.58062744141,5.17712402344,5.1044921875
10.717502876,5.63214111328,5.00012207031,4.99993896484,5.03393554688
10.817643262,5.79132080078,4.98303222656,4.92315673828,5.00299072266
10.917785439,7.71966552734,6.90362548828,6.71710205078,6.60485839844
11.017929556,6.88458251953,6.26116943359,6.42236328125,6.52703857422
11.118068757,1.27508544922,0.00537109375,0.00616455078125,0.0565795898438
11.218208048,#NC,#NC,#NC,#NC
11.318369639,5.58245849609,4.96643066406,4.82507324219,4.89978027344
11.418510036,1.27667236328,0.00616455078125,0.0084228515625,0.0535278320312
11.518659050,5.59625244141,4.95947265625,4.82800292969,4.8310546875
11.618798147,5.783203125,5.31567382812,5.31713867188,5.40808105469
11.718935291,#NC,#NC,#NC,#NC
11.819078343,8.18908691406,7.59100341797,7.42370605469,7.37249755859
11.919215984,1.27593994141,0.00384521484375,0.00762939453125,0.0573120117188
12.019357439,1.49444580078,0.228454589844,0.224609375,0.268188476562
12.119490325,#NC,#NC,#NC,#NC
12.219631296,1.31774902344,0.029052734375,0.0328369140625,0.0779418945312
12.319774640,6.77551269531,5.92810058594,5.78369140625,5.54913330078
12.419916011,5.61987304688,4.91192626953,4.802734375,5.03112792969
12.520079246,1.27185058594,0.00384521484375,0.0030517578125,0.0535278320312
12.620210584,#NC,#NC,#NC,#NC
12.720350992,1.27044677734,0.0015869140625,0.0023193359375,0.0504150390625
12.820492754,1.38513183594,0.088623046875,0.0657348632812,0.131408691406
12.920648171,1.28045654297,0.00384521484375,0.0015869140625,0.0496826171875
13.020790311,6.93878173828,6.48419189453,6.54016113281,6.5244140625
13.120931383,6.45764160156,5.75579833984,5.5673828125,5.49761962891
13.221071543,1.70812988281,0.368286132812,0.229248046875,0.211608886719
13.321211252,1.28106689453,0.00537109375,0.004638671875,0.053466796875
13.421352577,6.61108398438,5.90655517578,5.78912353516,5.76116943359
13.521485810,#NC,#NC,#NC,#NC
13.621624280,7.04699707031,6.34851074219,6.37139892578,6.5302734375
13.721764558,1.28356933594,0.004638671875,0.00537109375,0.052001953125
13.822032780,6.529296875,5.98992919922,5.79742431641,5.63458251953
13.922206241,6.95678710938,6.39886474609,6.1943359375,6.10241699219
14.022350069,1.89080810547,0.929565429688,0.767639160156,0.761352539062
14.122492615,8.20086669922,7.05859375,6.74169921875,6.70196533203
14.222636358,1.28723144531,0.0091552734375,0.0145263671875,0.0549926757812
14.322766229,6.51647949219,5.99078369141,5.87091064453,5.83880615234
14.422896372,#NC,#NC,#NC,#NC
14.523039999,7.57049560547,6.93414306641,6.771484375,6.41320800781
14.623182677,7.20257568359,6.61962890625,6.77624511719,6.29943847656
14.723328722,7.76037597656,7.27905273438,6.99328613281,7.02087402344
14.823470910,6.94903564453,6.14752197266,5.79345703125,5.70910644531
14.923600605,#NC,#NC,#NC,#NC
15.023743085,6.78247070312,6.25701904297,5.88879394531,5.94360351562
15.123881646,1.27972412109,0.0084228515625,0.0130004882812,0.0618896484375
15.224095525,1.30383300781,0.0435180664062,0.0313110351562,0.0695190429688
15.324225701,7.93670654297,7.35052490234,6.78283691406,6.82934570312
15.424363783,5.96954345703,5.28955078125,5.21099853516,5.08380126953
15.524505807,8.27270507812,7.56195068359,7.2265625,7.07836914062
15.624648580,1.28375244141,0.0167846679688,0.01220703125,0.0596313476562
15.724788625,1.27124023438,0.00311279296875,0.00311279296875,0.0496826171875
15.824921311,#NC,#NC,#NC,#NC
15.925059368,1.3408203125,0.0833129882812,0.0771484375,0.127563476562
16.025265161,1.32025146484,0.04736328125,0.035888671875,0.0963134765625
16.125474668,6.08551025391,5.57788085938,5.63677978516,5.96923828125
16.225616580,7.20062255859,6.57678222656,6.49810791016,6.57598876953
16.325758658,13.0772094727,12.5587158203,11.802734375,11.0185546875
16.425899539,1.32629394531,0.0313110351562,0.02978515625,0.0756225585938
16.526040152,1.27429199219,0.0130004882812,0.0084228515625,0.0573120117188
16.626180140,1.27593994141,0.0030517578125,0.004638671875,0.0535278320312
16.726313639,#NC,#NC,#NC,#NC
16.826456097,1.27398681641,0.00689697265625,0.004638671875,0.0519409179688
16.926595920,5.62316894531,4.92578125,4.82482910156,4.79193115234
17.026735895,1.27490234375,0.00384521484375,0.00994873046875,0.0504760742188
17.126877169,5.77075195312,4.90905761719,4.75018310547,4.75317382812
17.227011848,#NC,#NC,#NC,#NC
17.327153041,1.32708740234,0.0703125,0.0610961914062,0.0970458984375
17.427292892,1.26806640625,0.0,0.00079345703125,0.0496826171875
17.527451878,1.28100585938,0.004638671875,0.00384521484375,0.0565795898438
17.627601379,1.26110839844,0.009765625,0.0101318359375,0.0527954101562
17.727741853,1.32000732422,0.039794921875,0.0413818359375,0.0750732421875
17.827882447,1.27209472656,0.0015869140625,0.0030517578125,0.0504760742188
17.928022519,1.30255126953,0.0160522460938,0.0167846679688,0.0573120117188
18.028161734,1.26818847656,0.0,0.0,0.0496826171875
18.128294788,#NC,#NC,#NC,#NC
18.228437667,3.73077392578,2.76519775391,2.72631835938,2.70343017578
