mode,sglength,txrate,uspermsg
0,1,5016.17,6.084
0,2,5010.63,6.091
0,3,4992.71,6.112
0,4,4968.43,6.142
0,5,4942.56,6.174
0,6,4953.71,6.161
0,7,4940.45,6.177
0,8,4962.66,6.149
0,9,5011.13,6.090
0,10,4990.08,6.116
0,11,4995.85,6.109
0,12,4997.23,6.107
0,13,5000.25,6.103
0,14,5001.37,6.102
0,15,5019.90,6.079
0,16,4745.62,6.431
0,17,5021.66,6.077
0,18,4964.09,6.148
0,19,4891.98,6.238
0,20,4801.74,6.356
0,21,4655.91,6.555
0,22,4837.25,6.309
0,23,4802.86,6.354
0,24,4339.21,7.033
0,25,4835.29,6.311
0,26,4762.79,6.408
0,27,4647.81,6.566
0,28,4757.92,6.414
0,29,4738.95,6.440
0,30,4413.14,6.915
0,31,4341.66,7.029
0,32,5007.34,6.095
1,32,4076.45,7.486
2,1,435.62,2.189
