copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt147.apt.emulab.net 4 128 0 0 90.000000 5.000000 90.000001 90000000883 4583701537 76944618415 2619602472 0 315098317 0 81679172 0 20419793 10454934016 110.784467
1 apt178.apt.emulab.net 4 128 0 0 90.000000 5.000000 90.000001 90000000683 2175906292 76297143201 6149029654 0 449219615 0 76610124 0 19152531 9806095872 103.909131
1 apt150.apt.emulab.net 4 128 0 0 90.000000 5.000000 90.000003 90000003401 2112963772 77027356484 5882516035 0 417366964 0 67910764 0 16977691 8692577792 92.109869
1 apt143.apt.emulab.net 4 128 0 0 90.000000 5.000000 90.000004 90000004047 4725222713 74547023371 5591981832 0 435900055 0 70244984 0 17561246 8991357952 95.275857
1 apt155.apt.emulab.net 4 128 0 0 90.000000 5.000000 90.000005 90000005498 4727959071 74242778653 5857312070 0 385283961 0 71641168 0 17910292 9170069504 97.169553
1 apt154.apt.emulab.net 4 128 0 0 90.000000 5.000000 90.000007 90000006747 2293672792 76183784168 6082680770 0 440494483 0 75404528 0 18851132 9651779584 102.273937
1 apt172.apt.emulab.net 4 128 0 0 90.000000 5.000000 90.000007 90000007301 2448914967 74963637781 6671649568 0 456304692 0 82158768 0 20539692 10516322304 111.434961
1 apt140.apt.emulab.net 4 128 0 0 90.000000 5.000000 90.000008 90000008294 4935088663 73617267131 6036877267 0 424542613 0 74882536 0 18720634 9584964608 101.565940
1 apt159.apt.emulab.net 4 128 0 0 90.000000 5.000000 90.000008 90000007970 2327678484 76308597646 6033950561 0 436153259 0 74508184 0 18627046 9537047552 101.058192
1 apt180.apt.emulab.net 4 128 0 0 90.000000 5.000000 90.000001 90000000633 2179518743 76482541648 6085495265 0 384365854 0 74684604 0 18671151 9559629312 101.297477
1 apt160.apt.emulab.net 4 128 0 0 90.000000 5.000000 90.000004 90000003678 2144618216 77382702706 5584415176 0 400391390 0 69042476 0 17260619 8837436928 93.644851
1 apt162.apt.emulab.net 4 128 0 0 90.000000 5.000000 90.000007 90000006524 4647769615 74174091543 5841743359 0 418486204 0 72014372 0 18003593 9217839616 97.675743
1 apt188.apt.emulab.net 4 128 0 0 90.000000 5.000000 90.000009 90000009004 4936033564 73373328008 6088913498 0 423392771 0 75796364 0 18949091 9701934592 102.805398
1 apt173.apt.emulab.net 4 128 0 0 90.000000 5.000000 90.000007 90000007293 5228531989 72052414484 6703073707 0 451759221 0 82991368 0 20747842 10622895104 112.564247
1 apt144.apt.emulab.net 4 128 0 0 90.000000 5.000000 90.000005 90000005418 4761870642 73644859987 6097477089 0 427091008 0 75681292 0 18920323 9687205376 102.649322
