copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt154.apt.emulab.net 1 16384 14 128 90.000000 5.000000 90.000013 90000013164 412960262 88688171412 0 131805043 33951706 0 28706190 28706190 1913746 34784247296 4983.713542
0 apt172.apt.emulab.net 1 16384 14 128 90.000000 5.000000 90.000028 90000028339 392312403 88719205050 0 132243813 33936500 0 28561200 28561200 1904080 34608558080 4958.541667
0 apt155.apt.emulab.net 1 16384 14 128 90.000000 5.000000 90.000038 90000038445 491157440 88639044238 0 129838851 34032569 0 28684740 28684740 1912316 34758255616 4979.989583
0 apt180.apt.emulab.net 1 16384 14 128 90.000000 5.000000 90.000087 90000086829 385999933 88735387216 0 120382662 33781583 0 28695060 28695060 1913004 34770760704 4981.781250
0 apt188.apt.emulab.net 1 16384 14 128 90.000000 5.000000 90.000098 90000098225 470756001 88654868085 0 124882206 33632851 0 28683285 28683285 1912219 34756492544 4979.736979
0 apt150.apt.emulab.net 1 16384 14 128 90.000000 5.000000 90.000122 90000122274 455984638 88559752754 0 135008054 38378595 0 28628265 28628265 1908551 34689822976 4970.184896
0 apt162.apt.emulab.net 1 16384 14 128 90.000000 5.000000 90.000136 90000136271 486162308 88653901914 0 126511930 33565386 0 28715220 28715220 1914348 34795189248 4985.281250
0 apt160.apt.emulab.net 1 16384 14 128 90.000000 5.000000 90.000078 90000077770 388609224 88723048827 0 124545632 33712078 0 28699290 28699290 1913286 34775886336 4982.515625
0 apt143.apt.emulab.net 1 16384 14 128 90.000000 5.000000 90.000109 90000109408 473310612 88647305810 0 131442796 33581411 0 28704060 28704060 1913604 34781666304 4983.343750
0 apt173.apt.emulab.net 1 16384 14 128 90.000000 5.000000 90.000128 90000127949 488311469 88647970338 0 128491457 33935321 0 28551285 28551285 1903419 34596543744 4956.820312
0 apt178.apt.emulab.net 1 16384 14 128 90.000000 5.000000 90.000059 90000058578 410822026 88702494628 0 124269454 33784187 0 28732950 28732950 1915530 34816673280 4988.359375
0 apt147.apt.emulab.net 1 16384 14 128 90.000000 5.000000 90.000151 90000151321 345841124 88873655369 0 115747475 30300876 0 28744605 28744605 1916307 34830796032 4990.382812
0 apt144.apt.emulab.net 1 16384 14 128 90.000000 5.000000 90.000071 90000070812 507349346 88627778772 0 131207462 33830830 0 28705350 28705350 1913690 34783229440 4983.567708
0 apt159.apt.emulab.net 1 16384 14 128 90.000000 5.000000 90.000019 90000018691 416858802 88687350571 0 125961074 33715101 0 28736655 28736655 1915777 34821162752 4989.002604
0 apt140.apt.emulab.net 1 16384 14 128 90.000000 5.000000 90.000046 90000046038 511300571 88626889965 0 128235318 33530761 0 28739370 28739370 1915958 34824452608 4989.473958
