timestamp,CBO.LLC_DDIO_MEM_TOTAL_BYTES
0.701820015,0.158813476562
1.302974054,0.12060546875
1.904101853,0.10693359375
2.505147154,0.0809326171875
3.106253862,0.181884765625
3.607194201,0.195617675781
4.208306554,0.134399414062
4.809410990,0.1435546875
5.410514655,0.0488891601562
6.011669875,0.175720214844
6.612784991,0.192626953125
7.113779163,0.137634277344
7.714949634,0.14208984375
8.316152599,0.154296875
8.917670287,0.0573120117188
9.518882764,0.149780273438
10.120130536,0.171264648438
10.621138192,0.126770019531
11.222359410,0.168090820312
11.823575004,0.0488891601562
12.424799800,0.157409667969
13.026058015,616.825317383
13.527146142,610.912414551
14.128459132,611.221130371
14.729745324,611.277893066
15.331032059,610.873413086
15.932335646,610.721069336
16.533627745,611.045349121
17.034712378,610.419372559
17.636011600,611.008300781
18.237297069,610.860229492
18.838585531,610.675292969
19.439878815,611.301940918
20.041176312,611.311767578
20.542265843,610.664245605
21.143547736,611.141845703
21.744835086,610.862426758
22.346128645,610.954772949
22.947414587,611.001098633
23.548714630,610.836608887
24.049792926,610.856506348
24.651077570,611.506103516
25.252349429,611.240356445
25.853629681,611.273925781
26.454917448,610.145629883
27.056238471,611.104858398
27.557310375,610.779785156
28.158598458,610.842163086
28.759895182,610.754516602
29.361192693,610.632019043
29.962485457,611.238830566
30.463570878,609.759643555
31.064881972,610.710998535
31.666177301,610.743225098
32.267464652,610.891418457
32.868756848,610.794311523
33.470056807,610.942321777
33.971143057,611.135803223
34.572439353,611.058349609
35.173722351,611.025817871
35.775028334,611.133422852
36.376329475,610.461853027
36.977621990,610.66595459
37.478709365,610.870483398
38.080002172,611.278137207
38.681282377,610.928649902
39.282538161,610.719055176
39.883805719,610.821166992
40.485100856,611.039916992
40.986183487,611.079406738
41.587473370,611.012695312
42.188763420,611.10168457
42.790056033,610.889282227
43.391335246,611.156616211
43.992649269,610.84173584
44.493732880,611.209777832
45.095023795,610.975341797
45.696310978,611.019470215
46.297597522,610.863830566
46.898898618,610.706542969
47.399946055,610.965942383
48.001244978,610.939086914
48.602535333,611.108398438
49.203819680,610.886108398
49.805103176,610.781921387
50.406390764,611.152038574
50.907463803,610.946228027
51.508762784,611.052612305
52.110040651,611.300964355
52.711320037,610.875732422
53.312573231,610.80480957
53.913856749,610.761108398
54.414937545,610.598388672
55.016240939,610.94152832
55.617523684,610.956970215
56.218809258,611.339050293
56.820106739,610.825927734
57.421405475,610.948364258
57.922495641,610.709899902
58.523794623,611.143676758
59.125074854,611.130859375
59.726356734,611.206970215
60.327654195,611.368530273
60.928959666,610.64251709
61.430056613,610.755737305
62.031336376,610.616027832
62.632622396,610.948791504
63.233916749,610.818359375
63.835199090,610.834411621
64.336328260,609.795227051
64.937642600,610.853149414
65.538924204,610.831359863
66.140226896,610.533630371
66.741510949,611.074768066
67.342813772,610.805114746
67.843914814,610.791259766
68.445205230,610.972839355
69.046493567,610.863220215
69.647782138,610.956359863
70.249079409,610.840393066
70.850362645,610.462768555
71.351448038,610.614624023
71.952740979,610.859863281
72.554035902,610.942260742
73.155330017,610.73815918
73.756557543,610.859375
74.357863379,611.170837402
74.858938450,610.742675781
75.460239283,611.164978027
76.061529213,611.14251709
76.662808960,610.792602539
77.264095838,611.057678223
77.865397590,611.032897949
78.366477408,611.282775879
78.967768636,610.969482422
79.569058680,611.165527344
80.170339879,610.652587891
80.771618150,610.941345215
81.272709903,610.297973633
81.874014788,610.966369629
82.475312387,610.807861328
83.076562462,610.867919922
83.677845892,611.052612305
84.279137349,610.942382812
84.780146745,611.18927002
85.381425443,611.085266113
85.982723604,610.991577148
86.584010732,610.511474609
87.185295918,611.05682373
87.786600433,610.572021484
88.287678692,610.567626953
88.888964862,610.854370117
89.490262924,611.376159668
90.091553366,610.876586914
90.692838681,611.275085449
91.294137458,610.830749512
91.795209030,610.905334473
92.396503789,610.973144531
92.997786247,611.027709961
93.599077536,610.994567871
94.200356807,610.830993652
94.801660529,610.833557129
95.302749865,610.850891113
95.904037251,611.018615723
96.505325032,610.361328125
97.106605742,611.281433105
97.707893274,610.982971191
98.208978090,610.728027344
98.810288274,611.021362305
99.411578839,610.992370605
100.012883464,611.285949707
100.614174574,610.587219238
101.215471364,610.696228027
101.716554614,611.330444336
102.317847117,610.889160156
102.919179563,0.0489501953125
103.520849657,0.13623046875
104.122907665,0.145141601562
104.725202058,0.121398925781
105.226903494,0.171142578125
