copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt164.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000005 90000004549 373285496 89102694492 0 88094399 25310346 0 15529855 15529855 1411805 37587896320 2696.155382
0 apt074.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000020 90000020135 302709463 89142728888 0 80909483 25724593 0 15532517 15532517 1412047 37594339328 2696.617535
0 apt091.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000029 90000029495 368854185 89104112659 0 90464931 25182217 0 15531978 15531978 1411998 37593034752 2696.523958
0 apt149.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000067 90000067497 307333318 89131574821 0 88288092 25443881 0 15532462 15532462 1412042 37594206208 2696.607986
0 apt138.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000078 90000077748 295764052 89151045322 0 86767384 25420787 0 15532649 15532649 1412059 37594658816 2696.640451
0 apt085.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000047 90000046521 361429798 89104803360 0 87469848 25104062 0 15532044 15532044 1412004 37593194496 2696.535417
0 apt148.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000145 90000144855 377769378 89094699239 0 92442995 25306753 0 15531703 15531703 1411973 37592369152 2696.476215
0 apt086.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000059 90000058944 296262457 89143537438 0 88014876 25529982 0 15532077 15532077 1412007 37593274368 2696.541146
0 apt158.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000013 90000012640 353321307 89096282848 0 98523863 25130429 0 15532253 15532253 1412023 37593700352 2696.571701
0 apt161.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000092 90000092475 283303062 89160626366 0 89831759 25181801 0 15532627 15532627 1412057 37594605568 2696.636632
0 apt153.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000039 90000039192 359863259 89110152706 0 95104349 25192606 0 15532836 15532836 1412076 37595111424 2696.672917
0 apt140.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000099 90000099353 282075782 89163589335 0 90567748 25259962 0 15532704 15532704 1412064 37594791936 2696.650000
0 apt090.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000112 90000112166 368872534 89103073528 0 86354887 25269275 0 15532385 15532385 1412035 37594019840 2696.594618
0 apt154.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000129 90000129209 296713462 89147113335 0 88837860 25312127 0 15532726 15532726 1412066 37594845184 2696.653819
0 apt162.apt.emulab.net 1 16384 10 1024 90.000000 5.000000 90.000120 90000119706 262535112 89281974686 0 35652967 32727260 0 15532792 15532792 1412072 37595004928 2696.665278
