timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
0.200368005,#NC,#NC,#NC
0.300543856,#NC,#NC,#NC
0.400766289,265.174682617,265.625244141,292.823913574
0.500986661,#NC,#NC,#NC
0.601310633,0.9794921875,1.01177978516,932.703186035
0.701506880,#NC,#NC,#NC
0.801674469,334.659729004,335.377441406,338.143066406
0.901872044,#NC,#NC,#NC
1.002003055,0.345581054688,0.404052734375,3.00445556641
1.102125212,0.825012207031,0.827392578125,5.12561035156
1.202245549,#NC,#NC,#NC
1.302367703,0.0603637695312,0.00994873046875,1.31384277344
1.402483934,#NC,#NC,#NC
1.502604870,0.00384521484375,0.0023193359375,1.38562011719
1.602726026,#NC,#NC,#NC
1.702867194,0.00079345703125,0.0427856445312,1.41009521484
1.802984981,#NC,#NC,#NC
1.903115004,#NC,#NC,#NC
2.003253415,0.0718383789062,0.0350952148438,1.40338134766
2.103380237,#NC,#NC,#NC
2.203514440,0.017578125,0.017578125,1.40637207031
2.303640422,#NC,#NC,#NC
2.403774340,0.233032226562,0.281921386719,1.79901123047
2.503917227,#NC,#NC,#NC
2.604052148,0.0494384765625,0.0160522460938,1.32196044922
2.704186243,0.451599121094,0.381164550781,1.87585449219
2.804319984,#NC,#NC,#NC
2.904451932,27.7751464844,27.7562255859,46.9846191406
3.004568345,#NC,#NC,#NC
3.104693830,0.0244750976562,0.0794067382812,1.3291015625
3.204815963,#NC,#NC,#NC
3.304939675,0.0573120117188,0.00689697265625,1.44982910156
3.405066295,#NC,#NC,#NC
3.505186946,#NC,#NC,#NC
3.605310425,0.0145263671875,0.00921630859375,1.39099121094
3.705431263,#NC,#NC,#NC
3.805577073,0.372741699219,0.412475585938,2.18078613281
3.905709443,#NC,#NC,#NC
4.005847927,0.0733032226562,0.0206298828125,1.44769287109
4.105976646,#NC,#NC,#NC
4.206112613,0.0023193359375,0.00152587890625,1.36743164062
4.306240317,#NC,#NC,#NC
4.406368823,#NC,#NC,#NC
4.506505445,0.00616455078125,0.0504150390625,1.35589599609
4.606633929,#NC,#NC,#NC
4.706769759,0.0275268554688,0.0382080078125,1.4033203125
4.806930347,#NC,#NC,#NC
4.907084018,0.104736328125,0.0458374023438,1.38928222656
5.007233065,#NC,#NC,#NC
5.107385203,0.0431518554688,0.0855712890625,1.42681884766
5.207535470,0.114318847656,0.186828613281,1.59747314453
5.307677454,#NC,#NC,#NC
5.407827309,0.0474243164062,0.0152587890625,1.32171630859
5.507964033,#NC,#NC,#NC
5.608114347,0.0397338867188,0.006103515625,1.38586425781
5.708265286,#NC,#NC,#NC
