timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
0.200363690,#NC,#NC,#NC
0.300549807,#NC,#NC,#NC
0.400761438,#NC,#NC,#NC
0.500998274,#NC,#NC,#NC
0.601239316,#NC,#NC,#NC
0.701460011,#NC,#NC,#NC
0.801632352,#NC,#NC,#NC
0.901824219,192.236572266,191.779052734,650.84967041
1.001951316,#NC,#NC,#NC
1.102072083,#NC,#NC,#NC
1.202178137,#NC,#NC,#NC
1.302274643,#NC,#NC,#NC
1.402397321,#NC,#NC,#NC
1.502506545,#NC,#NC,#NC
1.602614458,#NC,#NC,#NC
1.702738886,1.02264404297,2.30725097656,1.18463134766
1.802882131,#NC,#NC,#NC
1.903085573,#NC,#NC,#NC
2.003236216,#NC,#NC,#NC
2.103348962,#NC,#NC,#NC
2.203462003,#NC,#NC,#NC
2.303569705,#NC,#NC,#NC
2.403693164,#NC,#NC,#NC
2.503828230,1.13653564453,2.49401855469,1.42462158203
2.603944770,#NC,#NC,#NC
2.704067685,#NC,#NC,#NC
2.804207464,#NC,#NC,#NC
2.904353578,#NC,#NC,#NC
3.004476687,#NC,#NC,#NC
3.104596429,#NC,#NC,#NC
3.204701486,#NC,#NC,#NC
3.304823846,1.19525146484,2.44244384766,1.54193115234
3.404937971,#NC,#NC,#NC
3.505044189,#NC,#NC,#NC
3.605149722,#NC,#NC,#NC
3.705296762,#NC,#NC,#NC
3.805462389,#NC,#NC,#NC
3.905594849,#NC,#NC,#NC
4.005716763,#NC,#NC,#NC
4.105836383,1.71417236328,2.98669433594,2.56896972656
4.205949553,#NC,#NC,#NC
4.306057495,#NC,#NC,#NC
4.406165774,#NC,#NC,#NC
4.506274746,#NC,#NC,#NC
4.606390120,#NC,#NC,#NC
4.706497627,#NC,#NC,#NC
4.806629386,1.08062744141,2.37805175781,1.39996337891
4.906769974,#NC,#NC,#NC
5.006903777,#NC,#NC,#NC
5.107021798,#NC,#NC,#NC
5.207146527,#NC,#NC,#NC
5.307271295,#NC,#NC,#NC
5.407395360,#NC,#NC,#NC
5.507529117,#NC,#NC,#NC
5.607662020,1.17114257812,2.44775390625,1.31634521484
5.707789986,#NC,#NC,#NC
5.807929746,#NC,#NC,#NC
5.908075056,#NC,#NC,#NC
6.008197087,#NC,#NC,#NC
6.108334080,#NC,#NC,#NC
6.208469138,#NC,#NC,#NC
6.308599409,#NC,#NC,#NC
6.408730606,2.35968017578,3.65521240234,3.89544677734
6.508854470,#NC,#NC,#NC
6.608976611,#NC,#NC,#NC
6.709097982,#NC,#NC,#NC
6.809233140,#NC,#NC,#NC
6.909377000,#NC,#NC,#NC
7.009499437,#NC,#NC,#NC
7.109617800,#NC,#NC,#NC
7.209739639,1.15026855469,2.52593994141,1.28936767578
7.309864634,#NC,#NC,#NC
7.409974660,#NC,#NC,#NC
7.510085471,#NC,#NC,#NC
7.610195838,#NC,#NC,#NC
7.710334006,#NC,#NC,#NC
7.810474134,#NC,#NC,#NC
7.910788611,#NC,#NC,#NC
8.010919072,1.82049560547,3.17248535156,2.36645507812
8.111040978,#NC,#NC,#NC
8.211159337,#NC,#NC,#NC
8.311280479,#NC,#NC,#NC
8.411401064,#NC,#NC,#NC
8.511521515,#NC,#NC,#NC
8.611641310,#NC,#NC,#NC
8.711764616,#NC,#NC,#NC
8.811911479,1.55798339844,2.82446289062,2.24719238281
8.912066676,#NC,#NC,#NC
9.012189200,#NC,#NC,#NC
9.112324222,#NC,#NC,#NC
9.212458512,#NC,#NC,#NC
9.312592896,#NC,#NC,#NC
9.412718264,#NC,#NC,#NC
9.512847228,1.13128662109,2.52606201172,1.37347412109
9.612972109,#NC,#NC,#NC
9.713103412,#NC,#NC,#NC
9.813250112,#NC,#NC,#NC
9.913391472,#NC,#NC,#NC
10.013516595,#NC,#NC,#NC
10.113642431,#NC,#NC,#NC
10.213767057,#NC,#NC,#NC
10.313896204,1.14196777344,2.51843261719,1.35583496094
10.414023977,#NC,#NC,#NC
10.514140783,#NC,#NC,#NC
10.614277765,#NC,#NC,#NC
10.714400879,#NC,#NC,#NC
10.814529540,#NC,#NC,#NC
10.914661118,#NC,#NC,#NC
11.014782463,#NC,#NC,#NC
11.114914486,1.15338134766,2.45886230469,1.44665527344
11.215044407,#NC,#NC,#NC
11.315173496,#NC,#NC,#NC
11.415295291,#NC,#NC,#NC
11.515417626,#NC,#NC,#NC
11.615539006,#NC,#NC,#NC
11.715672092,#NC,#NC,#NC
11.815823360,#NC,#NC,#NC
11.915975776,317.692687988,321.549987793,354.795532227
12.016098950,#NC,#NC,#NC
12.116215892,#NC,#NC,#NC
12.216347045,#NC,#NC,#NC
12.316479197,#NC,#NC,#NC
12.416610274,#NC,#NC,#NC
12.516726233,#NC,#NC,#NC
12.616842032,#NC,#NC,#NC
12.716979818,1.19989013672,2.51281738281,1.48406982422
12.817121552,#NC,#NC,#NC
12.917267716,#NC,#NC,#NC
13.017389928,#NC,#NC,#NC
13.117511003,#NC,#NC,#NC
13.217640759,#NC,#NC,#NC
13.317769383,#NC,#NC,#NC
13.417885199,#NC,#NC,#NC
13.518015852,1.29168701172,2.61853027344,1.63018798828
13.618130591,#NC,#NC,#NC
13.718276295,#NC,#NC,#NC
13.818459424,#NC,#NC,#NC
13.918638766,#NC,#NC,#NC
14.018809486,#NC,#NC,#NC
14.118980580,#NC,#NC,#NC
14.219175809,100.988891602,101.483337402,799.40802002
14.319346933,#NC,#NC,#NC
14.419526892,#NC,#NC,#NC
14.519696813,#NC,#NC,#NC
14.619871158,#NC,#NC,#NC
14.720052275,#NC,#NC,#NC
14.820220452,#NC,#NC,#NC
14.920403394,#NC,#NC,#NC
15.020606137,101.800354004,102.106750488,799.861999512
15.120782417,#NC,#NC,#NC
15.220950229,#NC,#NC,#NC
15.321129948,#NC,#NC,#NC
15.421340674,#NC,#NC,#NC
15.521519401,#NC,#NC,#NC
15.621697005,#NC,#NC,#NC
15.721873667,#NC,#NC,#NC
15.822119085,102.344055176,102.348083496,803.775634766
15.922469106,#NC,#NC,#NC
16.022657554,#NC,#NC,#NC
16.122841925,#NC,#NC,#NC
16.223026723,#NC,#NC,#NC
16.323208301,#NC,#NC,#NC
16.423393804,#NC,#NC,#NC
16.523576730,#NC,#NC,#NC
16.623786937,101.291870117,101.696044922,800.90447998
16.723971688,#NC,#NC,#NC
16.824155833,#NC,#NC,#NC
16.924343525,#NC,#NC,#NC
17.024528422,#NC,#NC,#NC
17.124723236,#NC,#NC,#NC
17.224908603,#NC,#NC,#NC
17.325097773,#NC,#NC,#NC
17.425296016,101.643249512,101.99597168,803.74407959
17.525484928,#NC,#NC,#NC
17.625674684,#NC,#NC,#NC
17.725860879,#NC,#NC,#NC
17.826074411,#NC,#NC,#NC
17.926456353,#NC,#NC,#NC
18.026654864,#NC,#NC,#NC
18.126860329,100.563903809,100.811706543,816.792480469
18.227064091,103.431762695,104.246459961,803.275634766
18.327237588,#NC,#NC,#NC
18.427421202,#NC,#NC,#NC
18.527605650,#NC,#NC,#NC
18.627794614,#NC,#NC,#NC
18.727978724,#NC,#NC,#NC
18.828165816,#NC,#NC,#NC
18.928368874,101.485046387,101.85559082,802.652587891
19.028560385,#NC,#NC,#NC
19.128759022,#NC,#NC,#NC
19.228944813,#NC,#NC,#NC
19.329134747,#NC,#NC,#NC
19.429326116,#NC,#NC,#NC
19.529510393,#NC,#NC,#NC
19.629699245,#NC,#NC,#NC
19.729898206,101.171875,101.944946289,798.338745117
19.830096612,#NC,#NC,#NC
19.930459705,#NC,#NC,#NC
