timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
0.901728493,141.986816406,141.869995117,504.875976562
1.702759989,0.981750488281,1.11224365234,2.48736572266
2.503719734,1.12707519531,1.15173339844,2.58544921875
3.304728783,1.14398193359,1.18170166016,2.52465820312
4.105758018,1.64727783203,1.67102050781,3.98162841797
4.906757279,1.09875488281,1.18371582031,2.61004638672
5.607545917,1.22930908203,1.32708740234,2.61810302734
5.707658510,1.43811035156,1.54382324219,3.08129882812
6.408552380,1.10626220703,1.203125,2.69097900391
7.209579972,1.19470214844,1.24969482422,2.71331787109
8.010610246,1.25830078125,1.2705078125,2.83526611328
8.811526782,1.19519042969,1.19689941406,2.85870361328
9.612444320,1.19769287109,1.33050537109,2.83929443359
10.413386049,1.17974853516,1.31793212891,2.837890625
11.214342030,1.63848876953,1.73931884766,3.45684814453
11.915706080,4.60101318359,5.50921630859,7.29205322266
12.015820376,14.9043579102,11.7911987305,21.8239746094
12.716655650,1.20458984375,1.23590087891,2.79412841797
13.517666627,1.18615722656,1.26550292969,2.70837402344
14.318656102,1.18395996094,1.28332519531,2.78350830078
15.119738766,1.21502685547,1.33581542969,2.85229492188
15.920892086,105.96673584,104.692749023,856.184570312
16.722476530,103.776916504,102.641357422,862.158935547
17.523904445,97.9014282227,97.1246948242,781.116821289
18.225393046,104.633056641,103.628662109,860.845214844
19.026814711,103.603759766,102.360351562,856.794006348
19.828272763,105.758117676,104.838378906,867.222045898
20.629768110,104.94543457,103.968505859,877.855224609
21.431205828,104.132263184,102.918518066,852.457946777
22.232713062,96.3658447266,95.1965942383,778.845031738
23.034336451,103.231018066,102.194519043,854.606872559
23.736516315,107.465332031,106.047241211,857.659545898
23.836714973,97.6116333008,98.6444702148,913.132263184
24.538076101,103.62713623,102.308898926,850.633300781
25.339502232,104.117492676,103.237609863,859.852172852
26.141009644,104.871337891,103.962890625,858.308105469
26.942622826,104.061706543,102.817199707,854.435058594
27.744102250,104.063171387,102.891357422,854.660217285
28.545845869,105.326843262,104.415649414,857.379699707
29.247131667,82.2200317383,78.6422119141,813.753540039
29.347331171,110.835327148,110.068908691,859.743041992
30.048624555,104.135009766,102.532958984,848.766235352
30.850309297,104.487426758,103.356994629,859.365234375
31.651769162,103.932556152,103.021240234,856.393310547
32.453376462,103.134338379,102.335266113,853.061889648
33.254811673,97.1010131836,95.6022338867,777.676452637
34.056317145,104.07208252,102.896240234,858.46295166
34.857936466,97.346496582,96.3260498047,784.371459961
35.559181146,104.161315918,103.165893555,862.080871582
36.360683659,104.162719727,103.247192383,862.85534668
37.162271335,102.103149414,101.320373535,840.616210938
37.963691255,102.856323242,101.888427734,842.440124512
38.765166426,103.678588867,102.281433105,857.12322998
39.566651057,106.159179688,105.038635254,860.24609375
40.368122308,103.772094727,102.478210449,855.584106445
41.069601248,102.938232422,103.196228027,842.513244629
41.169793549,105.795776367,104.28326416,847.671081543
41.871043407,104.004272461,102.821166992,849.343200684
42.672539761,104.303161621,103.401977539,870.912109375
43.474105103,103.612182617,102.638366699,850.008972168
44.275547186,104.240844727,103.380493164,860.752868652
45.077022293,97.7498779297,96.2758178711,784.422912598
45.878674667,102.911804199,101.479797363,835.192443848
46.680177121,103.534912109,102.52545166,855.04473877
47.381632106,103.80267334,102.422668457,861.447631836
48.183032613,104.239990234,102.59185791,864.295654297
48.984490358,103.357849121,102.231689453,852.698181152
49.786110917,104.149414062,103.30065918,860.719543457
50.587543301,104.291259766,103.200927734,859.397338867
51.389048901,104.646789551,102.829833984,862.179199219
52.190636183,97.3593139648,96.1936035156,780.145141602
52.892505196,107.612121582,105.907226562,864.7421875
52.992694932,96.2000732422,97.1156005859,885.5234375
53.694091340,103.336791992,101.936218262,853.348754883
54.495513303,104.049133301,102.718444824,853.014282227
55.297010148,103.736083984,102.63671875,846.029541016
