timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
0.200351611,#NC,#NC,#NC
0.300518783,#NC,#NC,#NC
0.400683498,#NC,#NC,#NC
0.500868881,#NC,#NC,#NC
0.601077208,#NC,#NC,#NC
0.701305089,1.88330078125,3.29388427734,924.103759766
0.801502543,#NC,#NC,#NC
0.901673719,#NC,#NC,#NC
1.001802575,#NC,#NC,#NC
1.101914340,#NC,#NC,#NC
1.202019912,#NC,#NC,#NC
1.302144272,0.0320434570312,1.296875,0.1962890625
1.402255493,#NC,#NC,#NC
1.502360468,#NC,#NC,#NC
1.602467693,#NC,#NC,#NC
1.702583263,#NC,#NC,#NC
1.802754285,0.979248046875,2.30151367188,5.75653076172
1.902966491,#NC,#NC,#NC
2.003099932,#NC,#NC,#NC
2.103222726,#NC,#NC,#NC
2.203338083,#NC,#NC,#NC
2.303458674,#NC,#NC,#NC
2.403594305,0.0595703125,1.34515380859,0.333068847656
2.503708805,#NC,#NC,#NC
2.603822397,#NC,#NC,#NC
2.703936643,#NC,#NC,#NC
2.804081759,#NC,#NC,#NC
2.904221307,626.21697998,623.553222656,620.732299805
3.004335447,#NC,#NC,#NC
3.104440481,#NC,#NC,#NC
3.204544874,#NC,#NC,#NC
3.304655186,#NC,#NC,#NC
3.404759572,#NC,#NC,#NC
3.504877676,0.0305786132812,1.28759765625,0.194030761719
3.604982304,#NC,#NC,#NC
3.705092658,#NC,#NC,#NC
3.805215951,#NC,#NC,#NC
3.905359824,#NC,#NC,#NC
4.005488566,#NC,#NC,#NC
4.105618125,0.07177734375,1.38415527344,0.119995117188
4.205744013,#NC,#NC,#NC
4.305860520,#NC,#NC,#NC
4.405977496,#NC,#NC,#NC
4.506100557,#NC,#NC,#NC
4.606224713,0.0023193359375,1.27337646484,0.106201171875
4.706347323,#NC,#NC,#NC
4.806486659,#NC,#NC,#NC
4.906618350,#NC,#NC,#NC
5.006725930,#NC,#NC,#NC
5.106840196,#NC,#NC,#NC
5.206959194,0.065673828125,1.38409423828,0.113830566406
5.307065924,#NC,#NC,#NC
5.407172611,#NC,#NC,#NC
5.507281146,#NC,#NC,#NC
5.607387386,#NC,#NC,#NC
5.707520514,0.00762939453125,1.27239990234,0.0993041992188
5.807649976,#NC,#NC,#NC
5.907776568,#NC,#NC,#NC
6.007883038,#NC,#NC,#NC
6.107991077,#NC,#NC,#NC
6.208106057,#NC,#NC,#NC
6.308224992,0.10693359375,1.32830810547,0.132873535156
6.408330917,#NC,#NC,#NC
6.508441062,#NC,#NC,#NC
6.608563161,#NC,#NC,#NC
6.708669307,#NC,#NC,#NC
6.808809087,#NC,#NC,#NC
6.908956951,0.0388793945312,1.30706787109,0.190551757812
7.009073269,#NC,#NC,#NC
7.109190450,#NC,#NC,#NC
7.209299302,#NC,#NC,#NC
7.309427157,#NC,#NC,#NC
7.409551441,0.174377441406,1.39685058594,0.455444335938
7.509671578,#NC,#NC,#NC
7.609779685,#NC,#NC,#NC
7.709888161,#NC,#NC,#NC
7.810025693,#NC,#NC,#NC
7.910167676,#NC,#NC,#NC
8.010294898,0.145935058594,1.404296875,0.31787109375
8.110404350,#NC,#NC,#NC
8.210513087,#NC,#NC,#NC
8.310622008,#NC,#NC,#NC
8.410731144,#NC,#NC,#NC
8.510848941,0.0580444335938,1.28228759766,0.107666015625
8.610957381,#NC,#NC,#NC
8.711075933,#NC,#NC,#NC
8.811216217,#NC,#NC,#NC
8.911351700,#NC,#NC,#NC
9.011462095,#NC,#NC,#NC
9.111590210,0.0671997070312,1.3388671875,0.157348632812
9.211698812,#NC,#NC,#NC
9.311806931,#NC,#NC,#NC
9.411915324,#NC,#NC,#NC
9.512041842,#NC,#NC,#NC
9.612159242,0.321716308594,1.75366210938,0.444213867188
9.712275984,0.133544921875,1.38555908203,0.286926269531
9.812419698,#NC,#NC,#NC
9.912563129,#NC,#NC,#NC
10.012684267,#NC,#NC,#NC
10.112805299,#NC,#NC,#NC
10.212935540,0.0679931640625,1.3291015625,0.161193847656
10.313439406,#NC,#NC,#NC
10.413562780,#NC,#NC,#NC
10.513685264,#NC,#NC,#NC
10.613807827,#NC,#NC,#NC
10.713929249,#NC,#NC,#NC
10.814081684,1.16796875,2.36492919922,1.56671142578
10.914221630,#NC,#NC,#NC
11.014337529,#NC,#NC,#NC
11.114458133,#NC,#NC,#NC
11.214579836,#NC,#NC,#NC
11.314708685,0.0703125,1.37951660156,0.142883300781
11.414824655,#NC,#NC,#NC
11.514942930,#NC,#NC,#NC
11.615063925,#NC,#NC,#NC
11.715137314,#NC,#NC,#NC
11.815284766,#NC,#NC,#NC
11.915431050,243.659118652,246.839294434,276.068603516
12.015543966,#NC,#NC,#NC
12.115653623,#NC,#NC,#NC
12.215762679,#NC,#NC,#NC
12.315882615,#NC,#NC,#NC
12.415998347,0.133972167969,1.4169921875,0.191040039062
12.516116361,0.27001953125,1.591796875,0.45458984375
12.616222019,#NC,#NC,#NC
12.716327175,#NC,#NC,#NC
12.816464155,#NC,#NC,#NC
12.916601180,#NC,#NC,#NC
13.016730987,0.382019042969,1.62658691406,0.611206054688
13.116850061,#NC,#NC,#NC
13.216954848,#NC,#NC,#NC
13.317072323,#NC,#NC,#NC
13.417184982,#NC,#NC,#NC
13.517293763,#NC,#NC,#NC
13.617408262,0.006103515625,1.32434082031,0.0481567382812
13.717512610,#NC,#NC,#NC
13.817644807,#NC,#NC,#NC
13.917781766,#NC,#NC,#NC
14.017898163,#NC,#NC,#NC
14.118028100,0.123718261719,1.34515380859,0.18408203125
14.218138489,#NC,#NC,#NC
14.318251100,#NC,#NC,#NC
14.418361471,#NC,#NC,#NC
14.518470070,#NC,#NC,#NC
14.618581415,#NC,#NC,#NC
14.718702554,0.00921630859375,1.32366943359,0.0512084960938
14.818835307,#NC,#NC,#NC
14.918973810,#NC,#NC,#NC
15.019094131,#NC,#NC,#NC
15.119227180,#NC,#NC,#NC
15.219355572,0.146911621094,1.36932373047,0.151306152344
15.319476583,7.14031982422,7.642578125,12.0779418945
15.419587773,#NC,#NC,#NC
15.519701598,#NC,#NC,#NC
15.619813895,#NC,#NC,#NC
15.719948618,#NC,#NC,#NC
15.820120435,168.903869629,173.335327148,193.482666016
15.920291249,#NC,#NC,#NC
16.020464427,#NC,#NC,#NC
16.120632076,#NC,#NC,#NC
16.220805399,#NC,#NC,#NC
16.320977020,#NC,#NC,#NC
16.421164493,59.9940185547,61.0182495117,549.962585449
16.521338171,#NC,#NC,#NC
16.621506297,#NC,#NC,#NC
16.721674625,#NC,#NC,#NC
16.821851315,#NC,#NC,#NC
16.922037946,59.8729858398,60.6119995117,543.533508301
17.022208657,#NC,#NC,#NC
17.122379937,#NC,#NC,#NC
17.222553125,#NC,#NC,#NC
17.322729640,#NC,#NC,#NC
17.422898442,#NC,#NC,#NC
17.523080319,60.3634033203,61.5917358398,548.358032227
17.623262399,#NC,#NC,#NC
17.723432918,#NC,#NC,#NC
17.823604168,#NC,#NC,#NC
17.923769459,#NC,#NC,#NC
18.023952908,59.8206787109,60.555847168,543.51940918
18.124119772,#NC,#NC,#NC
18.224287832,#NC,#NC,#NC
18.324457031,#NC,#NC,#NC
18.424620368,#NC,#NC,#NC
18.524793945,#NC,#NC,#NC
18.624974066,60.4744873047,61.5971679688,552.698181152
18.725139869,#NC,#NC,#NC
18.825311743,#NC,#NC,#NC
18.925484182,#NC,#NC,#NC
19.025650807,#NC,#NC,#NC
19.125826283,#NC,#NC,#NC
19.226008774,60.0396118164,61.2886352539,553.925354004
19.326181660,#NC,#NC,#NC
19.426357101,#NC,#NC,#NC
19.526527469,#NC,#NC,#NC
19.626691870,#NC,#NC,#NC
19.726879670,59.9139404297,61.0570068359,551.467468262
19.827055010,#NC,#NC,#NC
19.927239578,#NC,#NC,#NC
20.027405022,#NC,#NC,#NC
20.127602121,#NC,#NC,#NC
20.227768813,#NC,#NC,#NC
20.327951733,60.0042724609,61.2246704102,552.216064453
20.428110230,#NC,#NC,#NC
20.528267848,#NC,#NC,#NC
20.628435059,#NC,#NC,#NC
20.728603572,#NC,#NC,#NC
20.828784293,59.9128417969,60.9291992188,549.623168945
20.928956558,#NC,#NC,#NC
21.029128315,#NC,#NC,#NC
