timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
0.200301582,#NC,#NC,#NC
0.300443542,#NC,#NC,#NC
0.400612911,#NC,#NC,#NC
0.500820655,#NC,#NC,#NC
0.601045455,2.99517822266,1.88598632812,936.318969727
0.701251009,#NC,#NC,#NC
0.801439457,#NC,#NC,#NC
0.901602456,#NC,#NC,#NC
1.001737367,#NC,#NC,#NC
1.101870536,1.29840087891,0.0565185546875,0.143615722656
1.201991381,#NC,#NC,#NC
1.302116344,#NC,#NC,#NC
1.402244428,#NC,#NC,#NC
1.502373158,1.32684326172,0.011474609375,0.101623535156
1.602501766,#NC,#NC,#NC
1.702634204,#NC,#NC,#NC
1.802804636,#NC,#NC,#NC
1.902915009,#NC,#NC,#NC
2.003035330,1.30285644531,0.0305786132812,0.142822265625
2.103149194,#NC,#NC,#NC
2.203260122,#NC,#NC,#NC
2.303372821,#NC,#NC,#NC
2.403517487,1.26940917969,0.0,0.2138671875
2.503625598,#NC,#NC,#NC
2.603738468,#NC,#NC,#NC
2.703849189,#NC,#NC,#NC
2.804005366,#NC,#NC,#NC
2.904155124,1.38891601562,0.108459472656,0.490539550781
3.004280274,#NC,#NC,#NC
3.104402112,#NC,#NC,#NC
3.204525015,#NC,#NC,#NC
3.304656139,1.59558105469,0.372009277344,1.17260742188
3.404788438,#NC,#NC,#NC
3.504916494,#NC,#NC,#NC
3.605037969,#NC,#NC,#NC
3.705165218,#NC,#NC,#NC
3.805341181,1.30548095703,0.00384521484375,0.0924682617188
3.905486546,#NC,#NC,#NC
4.005628884,#NC,#NC,#NC
4.105761774,#NC,#NC,#NC
4.205916255,1.32745361328,0.0091552734375,0.103149414062
4.306060101,#NC,#NC,#NC
4.406198197,#NC,#NC,#NC
4.506334469,#NC,#NC,#NC
4.606473409,#NC,#NC,#NC
4.706620084,1.28344726562,0.0313720703125,0.243713378906
4.806771994,#NC,#NC,#NC
4.907058348,#NC,#NC,#NC
5.007174103,#NC,#NC,#NC
5.107286996,#NC,#NC,#NC
5.207410741,1.35766601562,0.0794067382812,0.326904296875
5.307522810,#NC,#NC,#NC
5.407638284,#NC,#NC,#NC
5.507751937,#NC,#NC,#NC
5.607870273,1.30596923828,0.0313110351562,0.171081542969
5.707979941,#NC,#NC,#NC
5.808098090,#NC,#NC,#NC
5.908210995,#NC,#NC,#NC
6.008327194,#NC,#NC,#NC
6.108449001,1.27941894531,0.0603637695312,0.124572753906
6.208571063,#NC,#NC,#NC
6.308690488,#NC,#NC,#NC
6.408813473,#NC,#NC,#NC
6.508938292,1.31530761719,0.0023193359375,0.203247070312
