timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
0.400773719,295.00402832,294.936157227,323.476196289
0.701414131,2.89239501953,2.70025634766,881.688659668
0.901751171,211.991516113,212.725097656,382.232971191
1.202096965,0.0389404296875,0.0252075195312,1.52075195312
1.502438394,0.052734375,0.00384521484375,1.33898925781
1.702690361,0.0146484375,0.00372314453125,1.42553710938
1.802854297,0.0325927734375,0.0360717773438,1.52166748047
2.003142219,0.0855102539062,0.0977172851562,1.48510742188
2.303470735,0.0228881835938,0.0137329101562,1.36022949219
2.503708470,0.126586914062,0.0867919921875,1.61004638672
2.603821757,0.0879516601562,0.0425415039062,1.42126464844
2.804073281,0.0137939453125,0.00311279296875,1.38159179688
3.104469096,0.329956054688,0.323852539062,1.80419921875
3.404840188,0.0153198242188,0.0496215820312,1.42608642578
3.605084984,0.0511474609375,0.00384521484375,1.31378173828
3.905571813,0.180908203125,0.158813476562,1.74176025391
4.205908910,0.0252075195312,0.046630859375,1.34881591797
4.406134747,0.0023193359375,0.0382080078125,1.41912841797
4.706488027,0.0526733398438,0.00079345703125,1.51892089844
5.006913496,0.0725708007812,0.0557861328125,1.49444580078
5.207166192,0.11767578125,0.122192382812,1.58203125
5.507539892,0.0023193359375,0.0427856445312,1.37805175781
5.808037540,0.0488891601562,0.0015869140625,1.33312988281
6.008391570,3.25897216797,3.44586181641,8.96307373047
6.308722680,0.0305786132812,0.0504150390625,1.33575439453
6.609041344,0.00384521484375,0.0389404296875,1.39453125
6.809287053,0.060302734375,0.0167846679688,1.38464355469
7.110090675,0.297790527344,0.321533203125,2.06219482422
7.410440047,0.125305175781,0.132873535156,1.72924804688
7.610668687,0.117614746094,0.161193847656,1.71014404297
7.911083418,301.468505859,302.070861816,333.585754395
8.211451056,0.459045410156,0.452941894531,2.19061279297
8.411682431,0.0244750976562,0.0488891601562,1.36260986328
8.712025502,0.0153198242188,0.0397338867188,1.43670654297
9.012477902,0.146606445312,0.0947265625,1.44860839844
9.212711105,0.0160522460938,0.0084228515625,1.43823242188
9.513068758,0.08935546875,0.0435180664062,1.49633789062
9.813474946,0.00689697265625,0.0458374023438,1.34423828125
10.013760571,0.107727050781,0.119995117188,1.59063720703
10.314111478,0.0137939453125,0.00537109375,1.49853515625
10.614447563,0.0481567382812,0.00537109375,1.43206787109
10.814712240,0.028076171875,0.0840454101562,1.43237304688
10.914857284,0.343383789062,0.393310546875,2.18933105469
11.115109702,0.1123046875,0.0771484375,1.42840576172
11.415455095,0.0305786132812,0.0305786132812,1.55816650391
11.615699041,0.0881958007812,0.0875244140625,1.39263916016
11.715839193,0.129577636719,0.0910034179688,1.5458984375
11.916140015,0.232666015625,0.24951171875,1.80786132812
12.216486646,0.0641479492188,0.00921630859375,1.37097167969
12.516832933,0.00994873046875,0.00384521484375,1.37945556641
12.717087080,0.0519409179688,0.0030517578125,1.42065429688
13.017576730,0.0984497070312,0.129821777344,1.70483398438
13.317926466,0.137451171875,0.0794677734375,1.58184814453
13.518165639,0.0512084960938,0.0435180664062,1.50317382812
13.818535569,0.046630859375,0.0023193359375,1.34887695312
14.118969814,35.6795043945,35.7326049805,438.253967285
14.319223987,34.5278320312,34.5127563477,437.970336914
14.619601041,34.1591796875,34.2415771484,437.598022461
14.919978717,34.0143432617,33.9838867188,436.536865234
15.120233267,34.2731933594,34.3305053711,437.864746094
15.420611200,34.2236938477,34.15234375,436.633972168
15.720986209,34.4881591797,34.5012817383,438.49029541
15.921241868,34.1586914062,34.0490112305,436.698364258
16.221634320,33.8991699219,33.9213867188,438.825378418
16.522009517,34.15625,34.0848999023,438.365966797
16.722265306,34.0883178711,34.1846313477,438.004638672
17.022641109,34.1884765625,34.1315917969,435.665222168
17.323015044,34.3088378906,34.3697509766,438.277160645
17.523270943,34.2692260742,34.1390380859,435.206237793
17.823645790,34.3209838867,34.3444213867,438.765075684
18.124019304,33.9338378906,33.8811035156,437.788513184
18.324273099,34.1826782227,34.1986694336,437.016967773
18.624644132,34.3566894531,34.245300293,436.348571777
18.925015404,34.2197875977,34.2284545898,436.81060791
19.125259319,34.0817871094,34.0257568359,438.219299316
19.225389663,35.0063476562,33.5406494141,430.629455566
19.425641190,34.2702636719,34.2660522461,438.042907715
19.726012717,34.2139282227,34.2108764648,436.498901367
19.926274868,34.1600341797,34.2077636719,436.90826416
20.026406061,33.8538818359,33.7760009766,439.253417969
20.226660455,34.2671508789,34.2333374023,438.440856934
20.527031403,33.7476196289,33.7857666016,437.45513916
20.727295793,34.882019043,34.8787231445,438.292297363
20.827428889,34.6265869141,34.5877685547,437.783081055
21.027682949,34.0757446289,34.1034545898,440.234008789
21.328061558,34.2412719727,34.1792602539,436.928588867
21.628436315,34.1793212891,34.1762695312,437.671386719
21.828691180,34.1551513672,34.1392211914,437.945678711
22.129071943,34.1799316406,34.2295532227,435.619384766
22.429454748,34.0969238281,34.0305175781,436.322021484
22.629707794,34.3638305664,34.428527832,438.420593262
22.930083277,34.321472168,34.333190918,436.872741699
23.230454938,34.2082519531,34.2072143555,437.922241211
23.430708194,34.3915405273,34.3336181641,439.111755371
23.731085530,34.1569824219,34.1936035156,437.899353027
24.031462552,33.88671875,33.8516845703,436.690856934
24.231715439,34.38671875,34.4584350586,438.371520996
24.532090406,34.0760498047,33.9938964844,438.25390625
24.832463833,34.4849243164,34.5435180664,437.222045898
25.032712535,34.3665771484,34.354675293,437.261108398
25.333082852,34.1021118164,34.1204223633,438.621337891
25.633461518,34.0201416016,34.0042724609,436.110107422
25.833714328,34.3394165039,34.4079589844,437.752075195
26.134087628,34.1674804688,34.1278686523,438.385498047
26.434459936,34.2980957031,34.3436889648,436.379577637
26.634713886,34.1730957031,34.1804199219,437.229187012
26.935088262,34.0944213867,34.1076049805,437.077636719
27.235459952,34.254699707,34.2660522461,437.614440918
27.435713545,34.2077026367,34.2661132812,437.385498047
27.736088922,34.4513549805,34.4591674805,437.672241211
28.036463293,33.9434204102,33.9261474609,437.684143066
28.236729721,34.1273803711,34.0932617188,436.077514648
28.336860219,34.548034668,34.4813232422,437.970703125
28.537114948,34.1518554688,34.1920776367,437.638244629
28.837492007,33.9191894531,33.844909668,437.888427734
29.037774199,33.9983520508,33.9372558594,437.590393066
29.137903932,33.9729614258,33.9963378906,438.560424805
29.338156106,34.1559448242,34.157043457,437.922119141
29.638534855,34.1434326172,34.1975097656,437.809326172
29.838799051,33.5900268555,33.5369262695,435.836975098
29.938928878,34.3086547852,34.244934082,437.833435059
30.139181104,34.5413818359,34.4973754883,435.140869141
30.439553708,34.3239746094,34.3101196289,438.528503418
30.739925921,34.1915893555,34.2786865234,439.403015137
30.940176103,34.3127441406,34.2886962891,436.832519531
31.240546448,34.2191772461,34.19921875,438.480407715
31.540917502,33.9674072266,33.9724731445,439.175231934
31.741168031,34.0295410156,34.0375976562,437.499328613
32.041512017,34.1094360352,34.1544799805,436.071228027
32.341885031,34.2444458008,34.2380981445,439.338439941
32.542133696,34.0125732422,33.9956665039,437.481689453
32.842508165,34.1305541992,34.1395874023,436.746520996
33.142877457,34.1391601562,34.1686401367,436.282714844
33.343128146,34.2223510742,34.1766357422,437.275695801
