timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
0.601107022,1.78863525391,1.91033935547,926.120239258
1.101862615,0.0244140625,0.0305786132812,1.48248291016
1.602405362,0.0274658203125,0.0321044921875,1.52136230469
2.103011948,0.0565185546875,0.103088378906,1.47259521484
2.603576678,0.00616455078125,0.00457763671875,1.42590332031
3.104232393,0.0580444335938,0.0641479492188,1.51617431641
3.604790327,0.0321044921875,0.03515625,1.47100830078
4.105430803,0.0572509765625,0.118408203125,1.45892333984
4.605998942,0.00616455078125,0.016845703125,1.52465820312
5.106641397,0.0572509765625,0.058837890625,1.49182128906
5.607241525,0.0313110351562,0.0336303710938,1.4833984375
6.107877669,0.0634155273438,0.122985839844,1.48101806641
6.608418270,0.00457763671875,0.0084228515625,1.42663574219
7.109023883,0.083251953125,0.0947265625,1.49078369141
7.609571012,0.0336303710938,0.0382080078125,1.39691162109
8.110161398,0.0908813476562,0.132080078125,1.47143554688
8.610696785,0.00537109375,0.00921630859375,1.39001464844
9.111294272,0.0794677734375,0.076416015625,1.478515625
9.611827851,0.0488891601562,0.0397338867188,1.38696289062
10.112432323,0.0633544921875,0.100830078125,1.39398193359
10.613372946,0.00457763671875,0.00537109375,1.4091796875
11.114229167,87.4909667969,87.7927856445,925.077758789
11.615201087,89.7537231445,89.7153930664,924.733642578
12.116189676,88.9505004883,88.8636474609,918.750061035
12.617174580,88.479675293,88.7000732422,922.560852051
13.118238118,88.478515625,88.4020996094,928.440856934
13.619155356,87.5236206055,87.5921630859,922.929016113
14.120113686,89.0990600586,89.3670654297,926.602478027
14.621144468,88.8032226562,88.4266357422,927.276672363
15.122228424,87.7971191406,87.8145751953,927.169616699
15.623180376,87.7639160156,88.0811157227,925.509216309
16.124155282,87.2717285156,87.6162109375,915.544128418
16.625111022,88.2565307617,88.329284668,920.979980469
17.126239540,88.8709106445,88.8206176758,931.011352539
17.627157746,89.9219360352,89.257019043,920.286804199
18.128092544,89.3430175781,89.2734985352,919.124267578
18.629061932,87.5816040039,88.0077514648,922.489868164
19.130024688,87.1604614258,87.0928955078,915.674377441
19.630962442,87.7189331055,87.8723144531,916.088317871
20.131945312,87.8721313477,87.7700805664,924.211181641
20.632965995,88.7885131836,88.9252929688,917.892883301
21.134109064,89.1624755859,89.165222168,923.945800781
21.635094656,89.3416137695,89.3062133789,920.794921875
22.136057009,87.8964233398,87.0739135742,920.433654785
22.637059912,87.95703125,88.323059082,922.456787109
23.138230601,87.8918457031,88.0805664062,927.914611816
23.639213039,88.2478637695,87.8850097656,913.882385254
24.140190993,88.0157470703,88.2496948242,915.777648926
24.641171621,90.5678100586,90.5606689453,929.18963623
25.142253122,87.3073120117,87.9086914062,924.203613281
25.643174078,88.0924682617,88.0254516602,919.67791748
26.144130994,87.3812255859,87.4429321289,913.614135742
26.645104650,87.5904541016,87.8657226562,920.110595703
27.146228914,88.6409912109,89.1848754883,924.31640625
27.647158480,89.1136474609,89.2545776367,927.153808594
28.148175407,87.6744384766,87.9970092773,919.765014648
28.649193114,88.1638183594,88.3781738281,924.781616211
29.150255962,88.4720458984,88.6651611328,928.809692383
29.651226539,88.8382568359,89.1272583008,929.819580078
30.152228731,90.5783081055,90.94921875,928.503051758
30.653229682,89.4299926758,89.4255371094,924.212341309
31.154244390,89.9158935547,90.4250488281,928.844543457
31.655285125,88.8811035156,88.950378418,930.952331543
32.156272699,88.9568481445,89.2088623047,921.123168945
32.657283033,88.6447143555,89.0622558594,920.17956543
33.158422043,88.9953613281,88.6610717773,925.238891602
33.659406252,88.6026000977,88.8324584961,924.909484863
34.160416173,87.5590820312,88.3823242188,928.537719727
34.661428829,88.3599853516,88.5217285156,915.911743164
35.162417370,88.992980957,88.9755249023,922.299133301
35.663367982,89.3557128906,89.7396240234,927.052307129
36.164365767,88.2587890625,88.6630859375,923.365844727
36.665333055,89.9024658203,89.7675170898,922.503967285
37.166417253,87.7696533203,88.1965332031,923.268005371
37.667377400,88.9763793945,88.9473876953,924.281433105
38.168345979,89.9803466797,89.9764404297,924.604003906
38.669350723,87.8087158203,87.9808959961,921.915771484
39.170409422,87.2501220703,86.9806518555,917.733947754
39.671392160,89.6314086914,89.6654052734,927.469177246
40.172377324,90.2284545898,90.1194458008,927.815551758
40.673356255,88.2828369141,88.6661376953,926.795227051
41.174413900,89.2906494141,89.4719848633,927.284545898
41.675381081,87.8790283203,87.8833618164,920.925292969
42.176363333,87.0835571289,87.1907958984,921.135498047
42.677364983,88.2230834961,88.2595825195,926.846008301
43.178387449,89.1731567383,89.2474975586,930.433227539
43.679376923,89.1834716797,88.9443969727,925.521911621
44.180371382,88.4923095703,88.5850219727,926.756774902
44.681336622,87.9496459961,88.3807373047,927.61340332
45.182425190,89.272644043,89.5366821289,928.65423584
45.683392164,88.7396240234,88.7698974609,934.177490234
46.184396053,88.8309326172,89.1235961914,933.328369141
46.685404968,89.5306396484,89.5607910156,926.888305664
47.186466763,88.9732666016,89.1107788086,926.820373535
47.687439500,89.3596801758,89.6189575195,928.331665039
48.188448850,88.946105957,89.3498535156,932.040649414
48.689432201,89.7205200195,89.8076782227,925.904846191
49.090213578,116.957763672,101.818603516,44.4063110352
49.190410505,87.2156982422,86.9215087891,910.563293457
49.591227846,91.6080932617,90.3581542969,939.494262695
49.691447764,89.3365478516,89.0922851562,929.788146973
50.092225845,90.8317871094,90.0097045898,930.168334961
50.192444002,90.3209838867,90.4624023438,933.441467285
50.593239580,87.233581543,86.5805664062,919.655212402
50.693460425,91.7897338867,92.8461303711,935.677856445
51.094424218,89.2307128906,89.0459594727,925.017150879
51.194620346,88.630065918,89.5723266602,930.184753418
51.595403479,89.4672241211,89.1280517578,922.4921875
51.695599341,82.9079589844,83.9813842773,883.117858887
52.096405897,89.8369750977,89.9248046875,925.956726074
52.196627026,94.0572509766,94.6463012695,940.23425293
52.597450089,87.3253173828,87.4002685547,921.142578125
52.697650318,106.830505371,109.729858398,969.619750977
53.098608738,88.7341308594,88.8302001953,925.465637207
53.599575733,88.3374633789,88.6950683594,918.709899902
54.100589132,88.8947753906,89.0101928711,928.571899414
54.601572700,89.3443603516,89.5994262695,932.053955078
55.102584575,87.9768066406,88.0218505859,925.983703613
55.603560493,88.1669921875,88.2177124023,919.082946777
56.104579619,88.5980224609,89.1865844727,922.763671875
56.605576194,88.4739990234,88.5845336914,918.903076172
57.106627170,88.6499023438,88.5921630859,914.917358398
57.607583950,89.0071411133,89.0571289062,920.598327637
58.108560854,87.3955688477,87.5012207031,918.057861328
58.609563417,88.3846435547,88.4856567383,913.708068848
59.110619624,87.7422485352,87.5120849609,922.160644531
59.611562691,88.1337280273,88.2844848633,914.433959961
60.112577524,88.1303100586,88.4846801758,923.067932129
60.613577091,88.56640625,89.0830078125,930.870727539
61.114509129,88.0162353516,87.4923706055,920.366088867
61.615454732,87.8922729492,88.3215332031,927.537963867
62.116455074,87.2512817383,87.1115112305,913.600341797
62.617459216,88.5484619141,88.3001708984,915.743896484
63.118412918,87.6495361328,87.9473266602,928.137939453
63.619402387,88.9108276367,88.7995605469,924.032470703
64.120400970,88.5772705078,88.7166748047,928.862854004
64.621380672,88.5587768555,88.9460449219,919.527282715
65.122397185,88.8666992188,88.7681884766,926.169433594
