copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt162.apt.emulab.net 1 128 0 0 90.000000 5.000000 90.000001 90000000755 7036503331 75321825455 524828768 0 504168830 0 24041449 0 24041449 3077305472 32.608302
1 apt172.apt.emulab.net 1 128 0 0 90.000000 5.000000 90.000002 90000002411 3361482016 77917877948 616157012 0 596040687 0 28220084 0 28220084 3612170752 38.275939
1 apt154.apt.emulab.net 1 128 0 0 90.000000 5.000000 90.000004 90000004088 3059484096 79187363962 548771076 0 545456987 0 25099449 0 25099449 3212729472 34.043306
1 apt180.apt.emulab.net 1 128 0 0 90.000000 5.000000 90.000005 90000005022 2801626580 79723318522 541808336 0 551413033 0 24554760 0 24554760 3143009280 33.304525
1 apt143.apt.emulab.net 1 128 0 0 90.000000 5.000000 90.000006 90000006111 6944820718 75874945730 510104591 0 488212352 0 23085096 0 23085096 2954892288 31.311165
1 apt155.apt.emulab.net 1 128 0 0 90.000000 5.000000 90.000007 90000006565 7054150580 75379013737 537104282 0 535953069 0 23928274 0 23928274 3062819072 32.454799
1 apt173.apt.emulab.net 1 128 0 0 90.000000 5.000000 90.000008 90000008338 8523400855 72378865450 652945041 0 621437946 0 28679053 0 28679053 3670918784 38.898455
1 apt140.apt.emulab.net 1 128 0 0 90.000000 5.000000 90.000008 90000007881 7310459440 74789580512 563764623 0 533320902 0 25313382 0 25313382 3240112896 34.333472
1 apt159.apt.emulab.net 1 128 0 0 90.000000 5.000000 90.000008 90000008442 3032863011 79374989399 549276758 0 541685568 0 24746581 0 24746581 3167562368 33.564699
1 apt178.apt.emulab.net 1 128 0 0 90.000000 5.000000 90.000010 90000009552 2920097567 79291619759 560543927 0 548438599 0 25515663 0 25515663 3266004864 34.607833
1 apt150.apt.emulab.net 1 128 0 0 90.000000 5.000000 90.000000 90000000305 2716817044 80100338187 787751348 0 494479414 0 21192437 0 21192437 2712631936 28.744082
1 apt188.apt.emulab.net 1 128 0 0 90.000000 5.000000 90.000005 90000005248 7556745444 74356203523 556083622 0 568178361 0 25332597 0 25332597 3242572416 34.359534
1 apt144.apt.emulab.net 1 128 0 0 90.000000 5.000000 90.000008 90000007591 7362307741 74572957822 585975400 0 552007915 0 25521424 0 25521424 3266742272 34.615647
1 apt160.apt.emulab.net 1 128 0 0 90.000000 5.000000 90.000007 90000006595 2671914791 80591113164 492012604 0 478604789 0 22388353 0 22388353 2865709184 30.366147
1 apt147.apt.emulab.net 1 128 0 0 90.000000 5.000000 90.000002 90000002094 7307446249 76683260736 389318705 0 407464750 0 28822626 0 28822626 3689296128 39.093188
