copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt162.apt.emulab.net 23 1024 0 0 90.000000 5.000000 90.000004 90000003832 305637523 88770611593 0 136463982 27382604 0 34984955 34984955 1521085 35824593920 379.611057
0 apt172.apt.emulab.net 23 1024 0 0 90.000000 5.000000 90.000012 90000011788 318839240 88785000446 0 129544078 27756532 0 34988957 34988957 1521259 35828691968 379.654481
0 apt143.apt.emulab.net 23 1024 0 0 90.000000 5.000000 90.000079 90000078990 326454628 88780823863 0 126657709 27406240 0 34985070 34985070 1521090 35824711680 379.612305
0 apt188.apt.emulab.net 23 1024 0 0 90.000000 5.000000 90.000091 90000090612 306269119 88770823784 0 133578139 27338789 0 34987508 34987508 1521196 35827208192 379.638759
0 apt173.apt.emulab.net 23 1024 0 0 90.000000 5.000000 90.000116 90000115807 317542060 88785435456 0 128368380 27489495 0 34982977 34982977 1520999 35822568448 379.589594
0 apt160.apt.emulab.net 23 1024 0 0 90.000000 5.000000 90.000055 90000055062 323915967 88781702787 0 131256518 27641033 0 34985806 34985806 1521122 35825465344 379.620291
0 apt180.apt.emulab.net 23 1024 0 0 90.000000 5.000000 90.000032 90000031590 305858414 88786100199 0 127032732 27607629 0 34987232 34987232 1521184 35826925568 379.635764
0 apt150.apt.emulab.net 23 1024 0 0 90.000000 5.000000 90.000096 90000095703 321407147 88697187722 0 140496830 31477601 0 33659833 33659833 1463471 34467668992 365.232563
0 apt159.apt.emulab.net 23 1024 0 0 90.000000 5.000000 90.000033 90000033003 322250366 88797290687 0 124719267 27672652 0 34986450 34986450 1521150 35826124800 379.627279
0 apt155.apt.emulab.net 23 1024 0 0 90.000000 5.000000 90.000104 90000103624 322809871 88761747000 0 138831404 28081650 0 34986588 34986588 1521156 35826266112 379.628776
0 apt154.apt.emulab.net 23 1024 0 0 90.000000 5.000000 90.000013 90000013063 310478531 88803786973 0 127881185 27623610 0 34988957 34988957 1521259 35828691968 379.654481
0 apt178.apt.emulab.net 23 1024 0 0 90.000000 5.000000 90.000142 90000142231 301209869 88784940088 0 129873230 27647577 0 34986795 34986795 1521165 35826478080 379.631022
0 apt140.apt.emulab.net 23 1024 0 0 90.000000 5.000000 90.000131 90000130555 325823178 88796077233 0 131171178 27353617 0 34986197 34986197 1521139 35825865728 379.624533
0 apt147.apt.emulab.net 23 1024 0 0 90.000000 5.000000 90.000066 90000065650 222047442 88975493795 0 106931453 23430519 0 34988704 34988704 1521248 35828432896 379.651736
0 apt144.apt.emulab.net 23 1024 0 0 90.000000 5.000000 90.000045 90000045492 317409554 88794469260 0 130280973 27725512 0 34830855 34830855 1514385 35666795520 377.938965
