timestamp,CBO.LLC_PCIE_MEM_TOTAL_BYTES
0.200439340,#NC#NC#NC#NC#NC#NC#NC#NC
0.300666548,#NC#NC#NC#NC#NC#NC#NC#NC
0.400914382,#NC#NC#NC#NC#NC#NC#NC#NC
0.501178568,#NC#NC#NC#NC#NC#NC#NC#NC
0.601425678,#NC#NC#NC#NC#NC#NC#NC#NC
0.701693188,#NC#NC#NC#NC#NC#NC#NC#NC
0.801946059,#NC#NC#NC#NC#NC#NC#NC#NC
0.902358977,#NC#NC#NC#NC#NC#NC#NC#NC
1.002558190,#NC#NC#NC#NC#NC#NC#NC#NC
1.102726127,#NC#NC#NC#NC#NC#NC#NC#NC
1.202905078,#NC#NC#NC#NC#NC#NC#NC#NC
1.303085671,#NC#NC#NC#NC#NC#NC#NC#NC
1.403264632,#NC#NC#NC#NC#NC#NC#NC#NC
1.503454830,#NC#NC#NC#NC#NC#NC#NC#NC
1.603639329,#NC#NC#NC#NC#NC#NC#NC#NC
1.703824709,#NC#NC#NC#NC#NC#NC#NC#NC
1.804033920,#NC#NC#NC#NC#NC#NC#NC#NC
1.904276305,#NC#NC#NC#NC#NC#NC#NC#NC
2.004445138,#NC#NC#NC#NC#NC#NC#NC#NC
2.104615202,#NC#NC#NC#NC#NC#NC#NC#NC
2.204796930,#NC#NC#NC#NC#NC#NC#NC#NC
2.304979317,#NC#NC#NC#NC#NC#NC#NC#NC
2.405148107,#NC#NC#NC#NC#NC#NC#NC#NC
2.505325977,#NC#NC#NC#NC#NC#NC#NC#NC
2.605502881,#NC#NC#NC#NC#NC#NC#NC#NC
2.705679528,#NC#NC#NC#NC#NC#NC#NC#NC
2.805883194,0.0488891601562
2.906081914,#NC#NC#NC#NC#NC#NC#NC#NC
3.006265955,#NC#NC#NC#NC#NC#NC#NC#NC
3.106561918,#NC#NC#NC#NC#NC#NC#NC#NC
3.206745681,#NC#NC#NC#NC#NC#NC#NC#NC
3.306938335,#NC#NC#NC#NC#NC#NC#NC#NC
3.407120748,#NC#NC#NC#NC#NC#NC#NC#NC
3.507317319,#NC#NC#NC#NC#NC#NC#NC#NC
3.607500760,#NC#NC#NC#NC#NC#NC#NC#NC
3.707709263,#NC#NC#NC#NC#NC#NC#NC#NC
3.807929274,#NC#NC#NC#NC#NC#NC#NC#NC
3.908138181,#NC#NC#NC#NC#NC#NC#NC#NC
4.008328875,#NC#NC#NC#NC#NC#NC#NC#NC
4.108518735,#NC#NC#NC#NC#NC#NC#NC#NC
4.208713422,#NC#NC#NC#NC#NC#NC#NC#NC
4.308918952,#NC#NC#NC#NC#NC#NC#NC#NC
4.409122277,#NC#NC#NC#NC#NC#NC#NC#NC
4.509331789,#NC#NC#NC#NC#NC#NC#NC#NC
4.609528848,#NC#NC#NC#NC#NC#NC#NC#NC
4.709734878,#NC#NC#NC#NC#NC#NC#NC#NC
4.809980300,#NC#NC#NC#NC#NC#NC#NC#NC
4.910366882,#NC#NC#NC#NC#NC#NC#NC#NC
5.010604127,#NC#NC#NC#NC#NC#NC#NC#NC
5.110783737,#NC#NC#NC#NC#NC#NC#NC#NC
5.210969550,#NC#NC#NC#NC#NC#NC#NC#NC
5.311153017,#NC#NC#NC#NC#NC#NC#NC#NC
5.411331679,#NC#NC#NC#NC#NC#NC#NC#NC
5.511524537,0.220520019531
5.611714961,#NC#NC#NC#NC#NC#NC#NC#NC
5.711895060,#NC#NC#NC#NC#NC#NC#NC#NC
5.812092507,#NC#NC#NC#NC#NC#NC#NC#NC
5.912291882,#NC#NC#NC#NC#NC#NC#NC#NC
6.012476320,#NC#NC#NC#NC#NC#NC#NC#NC
6.112663663,#NC#NC#NC#NC#NC#NC#NC#NC
6.212852211,#NC#NC#NC#NC#NC#NC#NC#NC
6.313045047,#NC#NC#NC#NC#NC#NC#NC#NC
6.413239839,#NC#NC#NC#NC#NC#NC#NC#NC
6.513431924,#NC#NC#NC#NC#NC#NC#NC#NC
6.613609685,#NC#NC#NC#NC#NC#NC#NC#NC
6.713802289,#NC#NC#NC#NC#NC#NC#NC#NC
