timestamp,CBO.LLC_PCIE_MEM_TOTAL_BYTES
2.004887577,0.188842773438
3.908530038,0.201171875
5.712163064,0.265930175781
7.617188226,0.07177734375
9.420889133,0.0762939453125
11.324886656,655.500488281
13.228975390,655.309204102
15.032879931,652.671691895
16.936961768,655.429931641
18.740783796,655.341064453
20.644978524,640.40802002
22.549144297,653.294067383
24.352969501,650.713439941
26.257141843,655.528686523
28.061146444,655.439758301
29.965181420,655.401611328
31.869200362,655.188171387
33.673148450,655.760498047
35.577189694,652.843139648
37.381143482,655.116821289
39.285211126,655.61151123
41.189385201,652.717285156
42.993219631,638.24230957
44.897388324,653.071655273
46.701208068,653.211914062
48.605391975,655.368774414
50.509595390,656.114685059
52.313424353,655.602600098
54.217598428,653.316833496
56.021418552,655.403564453
57.925592351,656.092956543
59.829621907,655.287475586
61.633593068,640.752502441
63.537623213,641.064575195
65.341387771,655.338806152
67.245387040,655.361999512
69.149380918,640.930114746
70.953132793,655.249633789
72.857137117,655.734191895
74.660885532,640.269592285
76.564885513,640.714294434
78.468880779,649.890808105
80.272637725,655.248901367
82.176630700,655.360290527
83.980449277,655.656677246
85.884431748,638.195129395
87.788434532,655.432861328
89.592230082,655.53717041
91.496230622,650.364440918
93.300017287,655.450561523
95.204015624,655.50567627
97.108019411,655.629089355
98.911830985,650.600830078
100.815828289,1.8515625
102.722779503,0.157287597656
