copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt168.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000065 30000065255 98790499 29826904225 0 38466133 7864616 0 11737596 11737596 451446 12019298304 382.083203
0 apt178.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000095 30000095332 96190520 29828869675 0 38922979 7879454 0 11737596 11737596 451446 12019298304 382.083203
0 apt154.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000116 30000116019 94775530 29830568534 0 38769549 7954272 0 11737596 11737596 451446 12019298304 382.083203
0 apt190.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000057 30000056755 94891562 29831968050 0 37854522 7811636 0 11737596 11737596 451446 12019298304 382.083203
0 apt159.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000005 30000005128 91717043 29833347112 0 38670730 7894871 0 11737544 11737544 451444 12019245056 382.081510
0 apt189.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000104 30000103663 99755773 29826582482 0 38054579 7802279 0 11737570 11737570 451445 12019271680 382.082357
0 apt141.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000105 30000104957 95243850 29829575395 0 39342208 7953355 0 11737622 11737622 451447 12019324928 382.084049
0 apt187.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000147 30000146847 100166179 29824397099 0 39888322 7806052 0 11737622 11737622 451447 12019324928 382.084049
0 apt192.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000120 30000120347 104959162 29819824966 0 39463930 7806771 0 11737596 11737596 451446 12019298304 382.083203
0 apt172.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000088 30000088184 94831474 29829752258 0 40241584 7806192 0 11737622 11737622 451447 12019324928 382.084049
0 apt185.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000130 30000129860 99601443 29825420719 0 39464500 7820645 0 11737596 11737596 451446 12019298304 382.083203
0 apt137.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000081 30000081115 96796842 29828662606 0 38467861 7972846 0 11737622 11737622 451447 12019324928 382.084049
0 apt160.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000049 30000048966 91776660 29833415171 0 38701904 7873004 0 11736166 11736166 451391 12017833984 382.036654
0 apt181.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000063 30000062736 94774450 29831070670 0 38080429 7976488 0 11737544 11737544 451444 12019245056 382.081510
0 apt164.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000096 30000096342 70132939 29863728884 0 32907116 7172771 0 11737622 11737622 451447 12019324928 382.084049
1 apt159.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000036 30000036191 70166856 28652661254 1208312206 0 8634702 0 11200072 0 430772 11468873728 364.585677
1 apt181.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000056 30000055643 71976471 28615767096 1239885425 0 8446454 0 11200072 0 430772 11468873728 364.585677
1 apt154.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000028 30000028459 103511638 28618562991 1214839099 0 8395540 0 11200098 0 430773 11468900352 364.586523
1 apt192.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000028 30000028038 72995856 28626049008 1230940595 0 9356521 0 11200098 0 430773 11468900352 364.586523
1 apt172.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000036 30000036423 101326012 28610683373 1223230701 0 8314041 0 11200098 0 430773 11468900352 364.586523
1 apt141.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000010 30000009929 105742423 28588296214 1242659351 0 8285674 0 11200098 0 430773 11468900352 364.586523
1 apt187.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000035 30000035419 101350001 28575106552 1260846273 0 8970356 0 11200098 0 430773 11468900352 364.586523
1 apt190.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000027 30000027216 78016939 28608015615 1236755494 0 8530482 0 11200098 0 430773 11468900352 364.586523
1 apt168.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000032 30000031505 102163613 28454744232 1378874552 0 8647410 0 11200098 0 430773 11468900352 364.586523
1 apt185.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000034 30000034333 71462725 28622325707 1236617482 0 8360899 0 11200072 0 430772 11468873728 364.585677
1 apt189.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000031 30000030718 107265689 28583044100 1246284493 0 8138230 0 11200098 0 430773 11468900352 364.586523
1 apt164.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000023 30000023212 68037953 28893435285 1006795317 0 7254145 0 11200072 0 430772 11468873728 364.585677
1 apt137.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000017 30000017221 70077448 28606544214 1255457880 0 8289021 0 11200046 0 430771 11468847104 364.584831
1 apt178.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000028 30000028191 71404858 28454566864 1403052530 0 8884957 0 11200098 0 430773 11468900352 364.586523
1 apt160.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000117 30000116993 103145560 28602203231 1235467512 0 8435442 0 11198226 0 430701 11466983424 364.525586
