copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt154.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000074 30000073512 97833633 29825284022 0 42196163 7712369 0 11738350 11738350 451475 12020070400 382.107747
0 apt164.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000075 30000074867 70844863 29860864176 0 33530641 6784449 0 11738350 11738350 451475 12020070400 382.107747
0 apt185.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000129 30000128785 98270693 29826513661 0 40416863 7782848 0 11737388 11737388 451438 12019085312 382.076432
0 apt137.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000116 30000116166 98631922 29824294059 0 41972510 7754079 0 11737310 11737310 451435 12019005440 382.073893
0 apt192.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000089 30000089040 97930557 29825693769 0 41558073 7682854 0 11738350 11738350 451475 12020070400 382.107747
0 apt172.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000047 30000047237 102167597 29822528436 0 41007019 7662424 0 11738350 11738350 451475 12020070400 382.107747
0 apt181.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000137 30000137221 100088316 29822383652 0 41795559 7786570 0 11737310 11737310 451435 12019005440 382.073893
0 apt178.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000118 30000117723 93381237 29831941085 0 40114321 7678217 0 11738298 11738298 451473 12020017152 382.106055
0 apt160.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000065 30000064583 102203050 29822233911 0 40947629 7705609 0 11738324 11738324 451474 12020043776 382.106901
0 apt187.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000029 30000029328 99515920 29825511493 0 40320342 7776188 0 11733956 11733956 451306 12015570944 381.964714
0 apt190.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000057 30000057032 100227855 29824779868 0 40469000 7663944 0 11738324 11738324 451474 12020043776 382.106901
0 apt141.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000088 30000087763 99479276 29823720640 0 42010334 7756107 0 11738324 11738324 451474 12020043776 382.106901
0 apt189.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000031 30000031043 94695479 29830079304 0 40382606 7690079 0 11738324 11738324 451474 12020043776 382.106901
0 apt159.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000039 30000039217 100358331 29823385360 0 41522392 7722132 0 11736400 11736400 451400 12018073600 382.044271
0 apt168.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000063 30000063211 94300181 29832047312 0 39060972 7687116 0 11738350 11738350 451475 12020070400 382.107747
1 apt141.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000011 30000010815 104245166 28592545094 1236625096 0 11944295 0 11165726 0 429451 11433703424 363.467643
1 apt168.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000020 30000019742 103489211 28551560525 1278214712 0 12224838 0 11165752 0 429452 11433730048 363.468490
1 apt154.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000028 30000027551 103941325 28554897917 1274783482 0 11893954 0 11165752 0 429452 11433730048 363.468490
1 apt190.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000025 30000025088 74945615 28623637298 1231210052 0 11542610 0 11165804 0 429454 11433783296 363.470182
1 apt160.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000023 30000023265 102496363 28600963189 1231958382 0 10842992 0 11165804 0 429454 11433783296 363.470182
1 apt159.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000132 30000131931 78272101 28637184024 1206800463 0 10952072 0 11165856 0 429456 11433836544 363.471875
1 apt164.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000043 30000042879 67500118 28884720378 1011849969 0 10534531 0 11165804 0 429454 11433783296 363.470182
1 apt185.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000069 30000069399 77721946 28600036294 1245297772 0 10924904 0 11165778 0 429453 11433756672 363.469336
1 apt181.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000072 30000071752 75201800 28551681185 1301199726 0 12056535 0 11165726 0 429451 11433703424 363.467643
1 apt189.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000054 30000054206 98557949 28488205777 1343767176 0 12550042 0 11165778 0 429453 11433756672 363.469336
1 apt137.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000029 30000029061 75935274 28591373144 1257950090 0 11797752 0 11165804 0 429454 11433783296 363.470182
1 apt178.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000029 30000028847 74607522 28562793347 1288093097 0 12139903 0 11165804 0 429454 11433783296 363.470182
1 apt192.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000056 30000055726 74737101 28536992597 1315746519 0 11215154 0 11165778 0 429453 11433756672 363.469336
1 apt172.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000035 30000035431 94195221 28611580827 1226219231 0 11596001 0 11165804 0 429454 11433783296 363.470182
1 apt187.apt.emulab.net 26 1024 0 0 30.000000 5.000000 30.000653 30000652800 101987696 28581174363 1253122621 0 11053839 0 11164894 0 429419 11432851456 363.440560
