copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt164.apt.emulab.net 3 1024 0 0 30.000000 5.000000 30.000000 30000000320 533681746 28781980850 0 41789234 53935671 0 11712891 11712891 3904297 11994000384 381.279004
0 apt190.apt.emulab.net 3 1024 0 0 30.000000 5.000000 30.000008 30000008344 537073590 28480783543 0 56376073 99121359 0 12768855 12768855 4256285 13075307520 415.652832
0 apt185.apt.emulab.net 3 1024 0 0 30.000000 5.000000 30.000016 30000016428 480685279 28599408226 0 52984386 91306096 0 11834853 11834853 3944951 12118889472 385.249121
0 apt172.apt.emulab.net 3 1024 0 0 30.000000 5.000000 30.000016 30000016110 811196997 28295654214 0 57099764 102001464 0 12761859 12761859 4253953 13068143616 415.425098
0 apt137.apt.emulab.net 3 1024 0 0 30.000000 5.000000 30.000023 30000023479 437757573 28747989151 0 46127479 82760549 0 10461927 10461927 3487309 10713013248 340.557520
0 apt189.apt.emulab.net 3 1024 0 0 30.000000 5.000000 30.000013 30000012648 697488002 28475322456 0 51135637 88679161 0 11419986 11419986 3806662 11694065664 371.744336
0 apt181.apt.emulab.net 3 1024 0 0 30.000000 5.000000 30.000004 30000003911 476929414 28640063889 0 51063178 92882153 0 11004810 11004810 3668270 11268925440 358.229492
0 apt160.apt.emulab.net 3 1024 0 0 30.000000 5.000000 30.000000 30000000335 730163544 28445324697 0 52341762 92487467 0 11625963 11625963 3875321 11904986112 378.449316
0 apt168.apt.emulab.net 3 1024 0 0 30.000000 5.000000 30.000000 30000000083 666322963 28539135742 0 49495019 95506403 0 11014632 11014632 3671544 11278983168 358.549219
0 apt154.apt.emulab.net 3 1024 0 0 30.000000 5.000000 30.000000 30000000376 643792903 28610143685 0 47430358 88231182 0 10465653 10465653 3488551 10716828672 340.678809
0 apt159.apt.emulab.net 3 1024 0 0 30.000000 5.000000 30.000001 30000001150 497061951 28595657008 0 51884726 91743336 0 11754273 11754273 3918091 12036375552 382.626074
0 apt192.apt.emulab.net 3 1024 0 0 30.000000 5.000000 30.000006 30000006312 473876615 28622931087 0 50415908 90281246 0 11467455 11467455 3822485 11742673920 373.289551
0 apt178.apt.emulab.net 3 1024 0 0 30.000000 5.000000 30.000002 30000001849 453184142 28680297092 0 49063457 91205189 0 11075010 11075010 3691670 11340810240 360.514648
0 apt141.apt.emulab.net 3 1024 0 0 30.000000 5.000000 30.000017 30000016723 644868248 28610170878 0 46699241 89827938 0 10430139 10430139 3476713 10680462336 339.522754
0 apt187.apt.emulab.net 3 1024 0 0 30.000000 5.000000 30.000015 30000015347 685992970 28469377352 0 53789631 87691131 0 11809392 11809392 3936464 12092817408 384.420313
