copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt154.apt.emulab.net 27 128 0 0 30.000000 5.000000 30.000004 30000004496 601708077 23066000647 4058482520 0 42845465 0 60851142 0 2253746 7788946176 247.603931
1 apt190.apt.emulab.net 27 128 0 0 30.000000 5.000000 30.000002 30000002036 391113597 23326303061 3876628684 0 42939739 0 61536510 0 2279130 7876673280 250.392700
1 apt159.apt.emulab.net 27 128 0 0 30.000000 5.000000 30.000002 30000002494 465918424 23318031347 3862747230 0 42475703 0 61209594 0 2267022 7834828032 249.062476
1 apt187.apt.emulab.net 27 128 0 0 30.000000 5.000000 30.000085 30000085137 545537767 23263530895 3930412547 0 42986415 0 61771842 0 2287846 7906795776 251.350269
1 apt189.apt.emulab.net 27 128 0 0 30.000000 5.000000 30.000061 30000060831 562202122 23257818239 3975032038 0 43443336 0 61464339 0 2276457 7867435392 250.099036
1 apt164.apt.emulab.net 27 128 0 0 30.000000 5.000000 30.000032 30000031849 393428508 24973609210 2742151578 0 38998581 0 61518825 0 2278475 7874409600 250.320740
1 apt160.apt.emulab.net 27 128 0 0 30.000000 5.000000 30.000013 30000013055 578923310 23311425241 3872130615 0 42399612 0 61065765 0 2261695 7816417920 248.477234
1 apt185.apt.emulab.net 27 128 0 0 30.000000 5.000000 30.000003 30000002860 342481894 23319874606 3920162553 0 42775739 0 61759773 0 2287399 7905250944 251.301160
1 apt141.apt.emulab.net 27 128 0 0 30.000000 5.000000 30.000001 30000001347 595639941 23225619666 3968998360 0 42426511 0 60957603 0 2257689 7802573184 248.037122
1 apt168.apt.emulab.net 27 128 0 0 30.000000 5.000000 30.000047 30000047435 561299024 23270001814 3983090712 0 42678686 0 61156215 0 2265045 7827995520 248.845276
1 apt178.apt.emulab.net 27 128 0 0 30.000000 5.000000 30.000055 30000054852 361874481 23313154693 3988984550 0 42868960 0 61380612 0 2273356 7856718336 249.758350
1 apt172.apt.emulab.net 27 128 0 0 30.000000 5.000000 30.000038 30000037783 625945040 23259831415 3875605922 0 42632095 0 61358472 0 2272536 7853884416 249.668262
1 apt192.apt.emulab.net 27 128 0 0 30.000000 5.000000 30.000061 30000061439 361650903 23313786941 3970550473 0 42896723 0 61524063 0 2278669 7875080064 250.342053
1 apt181.apt.emulab.net 27 128 0 0 30.000000 5.000000 30.000005 30000004644 452311969 22938054502 4185874178 0 50831003 0 49522779 0 1834177 6338915712 201.508704
1 apt137.apt.emulab.net 27 128 0 0 30.000000 5.000000 30.000049 30000049231 378577150 23330872035 3967763997 0 42871950 0 61095681 0 2262803 7820247168 248.598962
