timestamp,CBO.LLC_PCIE_MEM_TOTAL_BYTES
2.000380979,2.65454101562
3.000622700,2.06732177734
4.000865889,0.50341796875
5.001113414,1.66314697266
6.001357947,2.07513427734
7.001623823,2.57086181641
8.001900852,1.87933349609
9.002176437,1.57116699219
10.002479128,2.71496582031
11.003745920,1.67840576172
12.004009537,1.13012695312
13.004249295,3310.43572998
14.004483040,3323.56616211
15.004722518,3572.83850098
16.004959233,3374.56054688
17.005195580,3311.18823242
18.005432114,3276.74523926
19.005667585,3397.68768311
20.005903384,3291.37872314
21.006139438,3283.94421387
22.006379652,3329.09710693
23.006623521,3389.01757812
24.006874788,3281.8503418
25.007109202,3336.27746582
26.007347648,3426.86669922
27.007583578,3330.10021973
28.007820266,3483.68133545
29.008055661,3401.67279053
30.008296921,3244.40026855
31.008529025,3370.75305176
32.008764218,3350.43896484
33.008999901,3580.98486328
34.009242482,3466.34106445
35.009478665,3324.63604736
36.009714150,3621.91534424
37.009953220,3489.39630127
38.010191034,3379.84753418
39.010438363,3398.30096436
40.010634135,3296.70068359
41.010868844,3402.54736328
42.011101029,3320.93792725
43.011332399,3270.89190674
44.011560065,3416.11590576
45.011796087,3293.78613281
46.012022503,3346.30340576
47.012253221,3383.23321533
48.012482771,3410.82989502
49.012713013,3391.05084229
50.012942597,3419.75585938
51.013175231,3491.18688965
52.013405437,3333.87365723
53.013639013,3390.39782715
54.013866359,3445.32556152
55.014094410,3442.54907227
56.014324058,3336.12878418
57.014559777,3316.35668945
58.014798210,3423.58062744
59.015024493,3561.15179443
60.015254974,3423.14929199
61.015484132,3420.00982666
62.015716461,3255.89813232
63.015949044,3310.56262207
64.016182300,3312.49493408
65.016413365,3437.39904785
66.016641772,3640.16668701
67.016868822,3360.58380127
68.017097797,3336.04406738
69.017329301,3503.84875488
70.017558419,3291.47644043
71.018027326,3386.40356445
72.019263263,3372.31091309
73.019659174,3.21728515625
73.019659174,3.60192871094
