copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt178.apt.emulab.net 8 128 0 0 60.000000 5.000000 60.000001 60000000931 1239821448 47965679105 5846763295 0 206964663 0 86847208 0 10855901 11116442624 176.691097
1 apt154.apt.emulab.net 8 128 0 0 60.000000 5.000000 60.000003 60000002964 2152243677 48512642289 5448855598 0 181935094 0 76750680 0 9593835 9824087040 156.149658
1 apt190.apt.emulab.net 8 128 0 0 60.000000 5.000000 60.000004 60000004335 1203146522 48944788091 5374946661 0 187514647 0 78815904 0 9851988 10088435712 160.351367
1 apt192.apt.emulab.net 8 128 0 0 60.000000 5.000000 60.000008 60000008420 1212425636 48219575910 5802054006 0 202630407 0 84951120 0 10618890 10873743360 172.833496
1 apt168.apt.emulab.net 8 128 0 0 60.000000 5.000000 60.000011 60000010958 2314105093 47148195239 6062993147 0 206101637 0 87027744 0 10878468 11139551232 177.058398
1 apt187.apt.emulab.net 8 128 0 0 60.000000 5.000000 60.000015 60000014570 2155882392 48475264448 5393713544 0 181667869 0 77001560 0 9625195 9856199680 156.660075
1 apt141.apt.emulab.net 8 128 0 0 60.000000 5.000000 60.000015 60000014804 2168335817 48511976218 5425418805 0 183147507 0 77822416 0 9727802 9961269248 158.330111
1 apt164.apt.emulab.net 8 128 0 0 60.000000 5.000000 60.000015 60000015099 1707114822 51932659668 2751558819 0 146934024 0 76268360 0 9533545 9762350080 155.168376
1 apt172.apt.emulab.net 8 128 0 0 60.000000 5.000000 60.000017 60000017031 2380952314 48132023322 5547277245 0 189799804 0 78956328 0 9869541 10106409984 160.637061
1 apt181.apt.emulab.net 8 128 0 0 60.000000 5.000000 60.000003 60000002619 1332375065 48018971571 5872027759 0 203594801 0 76266352 0 9533294 9762093056 155.164290
1 apt185.apt.emulab.net 8 128 0 0 60.000000 5.000000 60.000012 60000011995 1113964369 49254321145 5185596417 0 181121900 0 76668176 0 9583522 9813526528 155.981803
1 apt159.apt.emulab.net 8 128 0 0 60.000000 5.000000 60.000017 60000016516 1110178860 49831849925 4891864716 0 172376225 0 72540632 0 9067579 9285200896 147.584294
1 apt189.apt.emulab.net 8 128 0 0 60.000000 5.000000 60.000019 60000018518 2277466135 47365314815 6006249227 0 203730937 0 85421736 0 10677717 10933982208 173.790967
1 apt137.apt.emulab.net 8 128 0 0 60.000000 5.000000 60.000015 60000014530 1199008559 49152295562 5244456771 0 184242154 0 77901736 0 9737717 9971422208 158.491488
1 apt160.apt.emulab.net 8 128 0 0 60.000000 5.000000 60.000008 60000007734 2093232697 49202111104 5059372200 0 171444963 0 72357760 0 9044720 9261793280 147.212240
