timestamp,CBO.LLC_PCIE_MEM_TOTAL_BYTES
2.000540813,1.32263183594
3.000781037,2.22344970703
4.001021998,3.13604736328
5.001242987,0.778259277344
6.001489609,4.32757568359
7.001738058,1.64050292969
8.001983016,1.10675048828
9.002229537,1.78564453125
10.002487814,1.84649658203
11.003715957,0.853088378906
12.005098305,4898.43322754
13.005429770,4984.3447876
14.010863939,4973.20599365
15.011285909,4990.06408691
16.011709668,4987.04870605
17.012047454,5000.69494629
18.012377063,4968.78820801
19.012702208,5004.22088623
20.013022548,4985.14276123
21.013358830,4977.10040283
22.013681025,5005.94378662
23.014011701,4998.71807861
24.014345406,4981.05212402
25.014675736,4977.15484619
26.015012640,4990.70684814
27.015366378,4970.02331543
28.015701243,5005.05926514
29.016037582,4971.71447754
30.016358772,4990.09222412
31.016689735,5002.35467529
32.017020594,4971.93585205
33.017338918,5003.9586792
34.017665635,4863.28479004
35.018003937,4982.01397705
36.018339622,4961.39782715
37.018676950,4927.03027344
38.019014517,4999.21789551
39.019364436,4984.18347168
40.019715223,4981.73425293
41.020050229,4993.2130127
42.020378454,4998.41876221
43.020707219,4958.5322876
44.021045033,4983.61010742
45.021377444,5008.90100098
46.021710078,4978.88745117
47.022043127,4967.89984131
48.022380254,4809.29925537
49.022709296,5004.88256836
50.023048369,4984.44592285
51.023386384,4895.03875732
52.023724197,4983.32922363
53.024042420,4977.35424805
54.024345563,4990.62255859
55.024670540,4989.6239624
56.024999729,4869.03149414
57.025339798,4999.91333008
58.025670792,4974.71606445
59.025995101,4979.34136963
60.026339988,4990.86364746
61.026679227,4998.81463623
62.027002449,4993.70922852
63.027399441,4975.42407227
64.027751646,4944.67028809
65.028085940,4984.45495605
66.028409870,4966.39019775
67.028731614,4971.82788086
68.029060989,4994.88848877
69.029385001,4988.79516602
70.029731457,4979.62658691
71.029987699,5009.36889648
72.030391036,0.488830566406
72.030391036,1.28363037109
