timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
2.000409111,969.19329834,969.376159668,4132.6696167
3.000597642,497.668884277,509.933654785,1903.26385498
4.000758482,2.01007080078,2.06024169922,17.8114013672
5.000929917,1.59051513672,1.49407958984,15.7266235352
6.001094877,1.38275146484,1.19030761719,15.0963134766
7.001272496,1.662109375,1.28039550781,15.5466918945
8.001443093,1.85260009766,1.50628662109,15.4353027344
9.001606371,1.67553710938,1.57495117188,15.3099975586
10.001772620,2.435546875,2.74542236328,16.8939208984
11.001940235,2.17608642578,2.48773193359,16.780456543
12.002105665,381.655029297,368.446960449,379.61920166
13.002268221,2.38940429688,2.57452392578,17.3120727539
14.002426408,1.29876708984,1.21014404297,15.2713012695
15.003067404,8.14245605469,7.95086669922,29.7293701172
16.003228405,1.28576660156,1.11157226562,15.4106445312
17.003366684,419.960388184,420.310058594,5224.05743408
18.003500968,408.242858887,408.228210449,5217.8336792
19.003648258,408.366699219,408.731323242,5216.98797607
20.003786504,407.801330566,407.816345215,5215.69085693
21.003922173,405.256530762,405.750793457,5224.2076416
22.004060849,408.252502441,408.646179199,5213.15893555
23.004194138,407.284423828,407.520324707,5214.85534668
24.004329461,407.700195312,407.154846191,5215.73217773
25.004468587,405.776550293,404.993652344,5219.93188477
26.004624217,407.141296387,406.797729492,5215.77539062
27.004760067,408.349060059,407.90435791,5213.47839355
28.004896242,408.228820801,408.02154541,5214.52648926
29.005037816,406.922424316,406.39855957,5219.25360107
30.005169673,405.036621094,405.255371094,5218.53515625
31.005301472,407.174804688,408.095947266,5214.74249268
32.005433928,407.199279785,407.944702148,5214.88476562
33.005567924,405.435546875,406.170471191,5218.00439453
34.005700245,405.018188477,404.598388672,5221.3157959
35.005833989,408.915710449,408.721130371,5211.17980957
36.005970204,405.094726562,404.294189453,5218.08587646
37.006104076,410.341308594,409.952758789,5210.79504395
38.006236744,413.69128418,413.203674316,5219.14691162
39.006372046,410.720275879,411.085388184,5205.3572998
40.006509505,409.440856934,409.780395508,5212.89874268
41.006642407,406.195678711,406.359130859,5218.70782471
42.006772173,407.34765625,406.789489746,5216.86523438
43.006905994,407.859924316,408.010253906,5212.92877197
44.007040950,409.047302246,409.309082031,5211.71832275
45.007173967,408.919555664,408.742675781,5215.46270752
46.007310184,408.987426758,409.419189453,5213.02307129
47.007444026,410.304931641,409.665344238,5212.73120117
48.007577671,411.251220703,411.054626465,5206.51251221
49.007712078,408.744995117,409.18951416,5215.88330078
50.007844095,407.608703613,408.202270508,5213.89202881
51.007976329,404.853088379,404.997314453,5222.17120361
52.008110586,408.591674805,408.919799805,5212.03082275
53.008244893,405.766967773,406.352905273,5217.8616333
54.008377851,407.751159668,408.392272949,5215.44439697
55.008519228,408.49786377,407.810180664,5214.42388916
56.008663323,409.292907715,409.047424316,5209.77471924
57.008798370,408.351013184,407.8515625,5211.72418213
58.008940344,407.590270996,407.433105469,5214.2366333
59.009077094,406.055847168,405.445617676,5218.5369873
60.009212301,407.298217773,408.206970215,5216.82647705
61.009345051,408.241271973,409.042663574,5215.72625732
62.009477458,406.19342041,406.486816406,5217.3772583
63.009612193,407.774902344,407.859558105,5215.31231689
64.009746596,411.082763672,410.254760742,5207.79467773
65.009879217,404.019592285,403.915466309,5220.46447754
66.010012908,407.239318848,406.995117188,5218.42321777
67.010145211,409.564025879,409.422790527,5211.25244141
68.010285490,410.003356934,410.056884766,5208.75671387
69.010419806,409.073364258,408.775085449,5214.15240479
70.010552820,408.624755859,408.649658203,5214.28521729
71.010684611,403.320861816,404.413513184,5222.12371826
72.010819468,407.376342773,406.820861816,5216.78771973
73.010950593,406.356445312,406.218994141,5214.28497314
74.011082886,406.968811035,406.842956543,5214.61230469
75.011254050,408.01171875,407.872802734,5217.40197754
76.011458742,405.474243164,404.586914062,5219.07281494
77.011712900,285.366394043,290.415222168,727.854248047
77.011712900,0.833129882812,1.10339355469,6.54095458984
