timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
2.000418863,521.143920898,520.876831055,3889.79351807
3.000561990,520.683349609,523.677429199,2671.55163574
4.000700535,1.56811523438,1.51843261719,15.2853393555
5.000814670,6.46746826172,5.39392089844,19.4829101562
6.000928195,3.20922851562,3.09783935547,19.2611694336
7.001063376,2.79449462891,2.64001464844,16.698425293
8.001212662,1.27410888672,1.2666015625,14.9456787109
9.001330080,1.31414794922,1.5126953125,15.1157836914
10.001452383,9.67016601562,9.73974609375,27.2260742188
11.001591435,2.97076416016,2.86383056641,18.009765625
12.001747281,1.74505615234,2.14587402344,15.9046020508
13.001895542,1.63665771484,1.32000732422,15.0660400391
14.002051121,1.24957275391,1.08917236328,15.3157958984
15.002221454,2.05426025391,2.13269042969,16.147644043
16.002975966,313.902832031,314.20526123,2925.13824463
17.003186599,923.57220459,924.559387207,8650.08325195
18.003398348,923.196594238,923.87713623,8621.4619751
19.003623566,916.817138672,918.540344238,8615.70410156
20.003832846,921.719177246,920.763671875,8665.73822021
21.004047511,937.740112305,937.512023926,8600.78045654
22.004257372,921.645019531,920.430847168,8654.90612793
23.004465006,932.294921875,932.740478516,8639.31091309
24.004672388,925.484313965,926.509094238,8656.81134033
25.004879066,920.489685059,921.424804688,8690.80126953
26.005087944,927.045471191,926.672973633,8601.47827148
27.005286361,921.444824219,921.924560547,8567.4788208
28.005488437,923.627197266,922.97442627,8642.50054932
29.005704209,931.259460449,930.976196289,8642.76379395
30.005916631,916.50201416,917.188720703,8633.14630127
31.006137732,919.373596191,920.628967285,8615.62347412
32.006333643,934.705749512,934.174987793,8683.50866699
33.006519919,918.468383789,919.839233398,8625.27471924
34.006709637,928.169067383,926.655761719,8640.00079346
35.006927254,929.295166016,928.270507812,8696.69219971
36.007130793,929.098999023,930.849914551,8652.76434326
37.007346123,928.560302734,929.820739746,8619.0213623
38.007576193,928.118774414,929.93347168,8633.20788574
39.007773833,912.286865234,912.772033691,8597.49975586
40.007964311,932.940734863,933.438720703,8635.61138916
41.008188424,921.010070801,922.397644043,8594.31207275
42.008393458,926.100830078,927.60357666,8669.53411865
43.008616906,932.635253906,933.733337402,8679.20629883
44.008821149,938.685241699,939.484985352,8640.84680176
45.009017349,923.446350098,923.731140137,8596.04034424
46.009223191,922.051452637,920.929138184,8640.10101318
47.009435736,922.136779785,922.499389648,8605.21514893
48.009635672,933.602966309,934.076293945,8655.23999023
49.009842771,922.609802246,922.588989258,8632.04943848
50.010045019,922.977233887,924.604736328,8624.63085938
51.010264820,917.510742188,919.045043945,8615.23846436
52.010504922,934.063903809,935.007202148,8667.75585938
53.010721243,925.523864746,924.683898926,8587.47436523
54.010929895,925.969421387,925.92010498,8649.88665771
55.011136421,932.418884277,931.270935059,8653.253479
56.011357901,920.212280273,920.85723877,8661.89453125
57.011563405,927.591308594,928.981140137,8609.19262695
58.011771024,923.191589355,925.565917969,8667.86767578
59.011988582,929.362182617,928.625854492,8670.16522217
60.012204370,930.529724121,928.306335449,8696.28649902
61.012426681,930.186218262,931.189819336,8677.34741211
62.012650610,925.98034668,927.489685059,8696.01745605
63.012860791,924.937927246,925.405761719,8657.66503906
64.013068631,917.567138672,919.846313477,8611.39959717
65.013280336,917.08026123,918.360046387,8582.28759766
66.013489613,925.225219727,925.032897949,8649.69927979
67.013697148,924.744995117,925.856933594,8657.53259277
68.013903989,919.69921875,920.386047363,8595.58825684
69.014116744,921.819641113,921.506408691,8670.97540283
70.014324322,923.824584961,924.637390137,8662.62042236
71.014530650,928.702331543,928.325256348,8685.67504883
72.014724995,924.762817383,925.096679688,8632.85931396
73.014940629,917.440002441,919.621276855,8650.65551758
74.015148328,922.943847656,924.335754395,8615.78631592
75.015349022,924.326049805,921.467712402,8667.61999512
76.015533640,3170.15893555,3136.72094727,6482.81170654
77.015704643,16.4297485352,16.4295043945,44.7319335938
77.015704643,5.99450683594,5.90649414062,16.606628418
