copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt154.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000003 60000002512 1486090340 48574641401 5960535383 0 125029459 0 92657516 0 6618394 11860162048 188.512199
1 apt141.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000024 60000024395 1393454038 49224636293 5590048547 0 120754005 0 88456480 0 6318320 11322429440 179.965169
1 apt159.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000006 60000005729 858493954 49608786128 5387571975 0 116712498 0 86725800 0 6194700 11100902400 176.444092
1 apt189.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000005 60000005445 1535073498 47865097614 6283047244 0 135525646 0 100986690 0 7213335 12926296320 205.457947
1 apt181.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000169 60000169351 1114264652 47314515985 6704244604 0 146856342 0 90106702 0 6436193 11533657856 183.322555
1 apt137.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000008 60000007580 828295591 49512790149 5533886732 0 120294140 0 88839198 0 6345657 11371417344 180.743811
1 apt190.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000008 60000008362 1046171619 48159849487 6106351623 0 132782430 0 98524482 0 7037463 12611133696 200.448572
1 apt168.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000012 60000012305 1523420329 48047860663 6212197203 0 134729449 0 100002112 0 7143008 12800270336 203.454818
1 apt185.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000013 60000012789 920227010 47964528109 6334517684 0 136298962 0 101605588 0 7257542 13005515264 206.717098
1 apt164.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000015 60000014538 997380554 52377406568 3262085907 0 91509530 0 86598652 0 6185618 11084627456 176.185409
1 apt187.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000026 60000026260 1609329714 47468928889 6501389467 0 138483548 0 102955174 0 7353941 13178262272 209.462838
1 apt178.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000027 60000026505 907825698 48478194975 6095086207 0 134291403 0 99286866 0 7091919 12708718848 201.999646
1 apt160.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000007 60000006826 1375238002 49406342537 5463302932 0 116177336 0 86702070 0 6193005 11097864960 176.395813
1 apt172.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000011 60000011113 1698546701 47900025835 6206701672 0 132055642 0 98796824 0 7056916 12645993472 201.002653
1 apt192.apt.emulab.net 14 128 0 0 60.000000 5.000000 60.000004 60000004100 941955092 48258083320 6166042073 0 134620215 0 100117024 0 7151216 12814979072 203.688607
