copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt190.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000001 60000001093 997534473 48075341165 6183286392 0 125739708 0 100856175 0 6723745 12909590400 205.192413
1 apt185.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000018 60000017995 877459354 47913053743 6311177396 0 127101867 0 102635190 0 6842346 13137304320 208.811829
1 apt178.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000000 60000000449 917451773 47711849212 6504835346 0 129975637 0 104667705 0 6977847 13397466240 212.946991
1 apt164.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000006 60000006202 976698905 52090547492 3437107594 0 89861659 0 90696990 0 6046466 11609214720 184.523499
1 apt159.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000016 60000016271 797927858 49557941478 5387983618 0 109684619 0 88277685 0 5885179 11299543680 179.601410
1 apt187.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000021 60000021018 1488588495 47668247985 6376874643 0 128214706 0 102571920 0 6838128 13129205760 208.683105
1 apt192.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000022 60000021994 933617879 47901216785 6403333749 0 128234918 0 103302945 0 6886863 13222776960 210.170380
1 apt141.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000024 60000024101 1410347185 48474617686 5984426409 0 119863102 0 95571825 0 6371455 12233193600 194.441376
1 apt189.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000028 60000027614 1502610034 47583597178 6491398511 0 129831892 0 103814220 0 6920948 13288220160 211.210571
1 apt154.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000032 60000032437 1444696903 48341680249 6075593230 0 118688082 0 95224980 0 6348332 12188797440 193.735718
1 apt168.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000036 60000035638 1491313860 47391844724 6585480598 0 130979616 0 105040755 0 7002717 13445216640 213.705963
1 apt172.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000000 60000000292 1669806930 47765164819 6282334346 0 126303212 0 101191215 0 6746081 12952475520 205.874054
1 apt181.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000001 60000001105 1085463825 47284972555 6763551529 0 138169077 0 88953570 0 5930238 11386056960 180.976501
1 apt160.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000029 60000028672 1363130163 49315856543 5460569628 0 110722115 0 88376520 0 5891768 11312194560 179.802490
1 apt137.apt.emulab.net 15 128 0 0 60.000000 5.000000 60.000024 60000024334 859284443 48755821211 5911757246 0 119245750 0 95478375 0 6365225 12221232000 194.251251
