copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt168.apt.emulab.net 18 1024 0 0 60.000000 5.000000 60.000005 60000005465 220743755 59122453170 0 90487864 23049184 0 22933980 22933980 1274110 23484395520 373.274414
0 apt164.apt.emulab.net 18 1024 0 0 60.000000 5.000000 60.000018 60000017747 154187596 59272097556 0 81501470 19598422 0 23036814 23036814 1279823 23589697536 374.948145
0 apt159.apt.emulab.net 18 1024 0 0 60.000000 5.000000 60.000063 60000063114 234430513 59114901281 0 92918034 23668659 0 23005026 23005026 1278057 23557146624 374.430762
0 apt178.apt.emulab.net 18 1024 0 0 60.000000 5.000000 60.000074 60000073988 228113445 59113866161 0 92419756 23527129 0 22950630 22950630 1275035 23501445120 373.545410
0 apt181.apt.emulab.net 18 1024 0 0 60.000000 5.000000 60.000046 60000046183 269417754 58951951252 0 108353302 28594393 0 22854942 22854942 1269719 23403460608 371.987988
0 apt141.apt.emulab.net 18 1024 0 0 60.000000 5.000000 60.000115 60000114649 233982218 59113077719 0 93461405 23100864 0 22988232 22988232 1277124 23539949568 374.157422
0 apt160.apt.emulab.net 18 1024 0 0 60.000000 5.000000 60.000149 60000148700 235040847 59117803753 0 92275313 23331283 0 23014962 23014962 1278609 23567321088 374.592480
0 apt185.apt.emulab.net 18 1024 0 0 60.000000 5.000000 60.000088 60000088131 217552624 59119569830 0 90735726 23577825 0 22884120 22884120 1271340 23433338880 372.462891
0 apt192.apt.emulab.net 18 1024 0 0 60.000000 5.000000 60.000109 60000109142 222021970 59117655991 0 90384363 23510079 0 22983894 22983894 1276883 23535507456 374.086816
0 apt187.apt.emulab.net 18 1024 0 0 60.000000 5.000000 60.000118 60000118107 216483113 59126426296 0 86327707 23143064 0 22877154 22877154 1270953 23426205696 372.349512
0 apt172.apt.emulab.net 18 1024 0 0 60.000000 5.000000 60.000026 60000025697 229926268 59122719264 0 91648599 23198869 0 23042160 23042160 1280120 23595171840 375.035156
0 apt137.apt.emulab.net 18 1024 0 0 60.000000 5.000000 60.000138 60000137876 227790445 59124174132 0 89318870 23511256 0 22998150 22998150 1277675 23550105600 374.318848
0 apt154.apt.emulab.net 18 1024 0 0 60.000000 5.000000 60.000095 60000094675 230141237 59111065577 0 92989490 23458673 0 22962510 22962510 1275695 23513610240 373.738770
0 apt190.apt.emulab.net 18 1024 0 0 60.000000 5.000000 60.000051 60000051132 232747096 59113806756 0 95217666 23505720 0 23035518 23035518 1279751 23588370432 374.927051
0 apt189.apt.emulab.net 18 1024 0 0 60.000000 5.000000 60.000036 60000036250 221517748 59115239806 0 94033393 23121057 0 22996602 22996602 1277589 23548520448 374.293652
