timestamp,CBO.LLC_DDIO_MEM_TOTAL_BYTES
3.000742750,1.24365234375
5.001239816,0.686340332031
7.001721977,0.574462890625
9.002571563,2.28765869141
11.003014239,1.52398681641
13.003462347,1.47265625
15.003921321,1.40240478516
17.004490252,357.532836914
19.005182822,396.72833252
21.005831179,394.865356445
22.006114061,387.158691406
24.006651355,399.07232666
26.007205463,407.253845215
28.007749606,398.180969238
30.008299379,392.553955078
32.009175507,404.352233887
34.009826239,398.145996094
36.010362900,396.780578613
38.010889530,394.838806152
40.011422945,394.55859375
41.011712525,385.547485352
43.012255197,391.116027832
45.013181218,384.633544922
47.013833540,400.710998535
49.014383073,352.534545898
51.014919017,395.034179688
53.015466410,391.210449219
55.016003741,388.127624512
57.016560953,390.057617188
59.017471414,387.894592285
62.018369159,393.456054688
64.018906279,383.403930664
66.019460128,396.143127441
68.020005684,406.590576172
70.020558002,384.277160645
72.021460614,396.218811035
74.022104736,394.575195312
76.022648636,388.67401123
78.023384458,1.23529052734
