timestamp,CBO.LLC_DDIO_MEM_TOTAL_BYTES
4.001036333,1.57159423828
6.001457518,1.89782714844
9.002101811,1.06848144531
11.002562810,1.31256103516
13.003408702,6103.95013428
16.004095383,6106.95965576
18.004541429,6105.65539551
20.004988640,6102.03546143
23.005647201,6107.55291748
25.006094967,6104.57373047
28.006759543,6105.3036499
30.007243049,6101.70593262
32.007697508,6105.3850708
35.008356509,6104.55413818
37.008797481,6104.75177002
42.009931326,6104.60748291
44.010382136,6103.63983154
47.011038526,6105.91088867
49.011662217,6101.8069458
51.012108698,6106.48974609
54.012759971,6102.29663086
56.013205227,6106.28753662
59.013878421,6105.77178955
61.014319306,6101.37445068
63.014762611,6099.52490234
66.015407039,6104.0458374
68.015886336,6105.86383057
70.016335456,6104.50299072
73.016983000,6093.96350098
74.017331081,1.63439941406
