timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
2.000265760,1052.42687988,1039.50830078,4810.70306396
3.000423002,336.705871582,324.466430664,340.62701416
4.000581685,354.231994629,342.163269043,355.998535156
5.000717133,320.445373535,308.414306641,319.450256348
6.000876533,381.094421387,368.33392334,384.201660156
7.001016834,292.019592285,280.055236816,288.77734375
8.001160278,146.24407959,134.289306641,150.256958008
9.001292282,376.754638672,364.195800781,379.881958008
10.001945882,312.691894531,300.71887207,311.656311035
11.002108599,132.223937988,119.553771973,133.571228027
12.002263383,164.018859863,151.911560059,166.726928711
13.002411010,130.97644043,118.280761719,132.664367676
14.002573492,195.277160645,181.297668457,194.823303223
15.002742508,489.374206543,476.66973877,507.789123535
16.002926345,375.634094238,362.162841797,1056.16339111
17.003106742,460.213500977,449.65234375,3527.13397217
18.003285477,461.266967773,450.613769531,3534.37341309
19.003472244,460.661315918,449.901123047,3530.98565674
20.003652916,460.156433105,449.609863281,3532.30041504
21.003832775,461.488647461,450.687683105,3536.89129639
22.004015165,461.873840332,451.263244629,3533.722229
23.004196489,461.592407227,450.995361328,3531.94628906
24.004380187,460.576782227,449.602966309,3526.23400879
25.004563630,462.635742188,452.373474121,3536.70300293
26.004745407,462.141235352,451.895690918,3538.29864502
27.004927356,460.456176758,449.970336914,3533.37902832
28.005106386,461.971069336,450.833068848,3529.49536133
29.005289087,462.294250488,451.815612793,3538.5625
30.005472079,459.325927734,448.879211426,3526.93725586
31.005655380,462.846557617,451.823608398,3532.24829102
32.005831637,460.490722656,450.319702148,3539.10113525
33.006012991,460.435241699,449.99798584,3530.08483887
34.006194981,464.243530273,453.324035645,3544.38275146
35.006376078,461.81262207,451.352905273,3534.18273926
36.006559536,460.894714355,450.711669922,3531.59051514
37.006741228,460.803405762,450.739013672,3532.49365234
38.006922174,461.786254883,451.069702148,3534.36444092
39.007101850,461.385437012,450.790588379,3540.04443359
40.007285783,459.298156738,448.743530273,3528.75823975
41.007473304,461.810913086,450.999755859,3532.02325439
42.007656486,460.974609375,450.460021973,3528.10784912
43.007834774,460.243774414,449.873962402,3535.35760498
44.008013164,459.539367676,449.153808594,3534.0715332
45.008188223,459.539733887,448.790710449,3533.64050293
46.008365579,459.948059082,449.818115234,3532.84289551
47.008538323,461.423339844,451.017456055,3536.15234375
48.008711140,461.256835938,451.054382324,3531.23522949
49.008882847,460.65045166,450.244934082,3534.66607666
50.009063429,460.078308105,449.844482422,3536.67822266
51.009249110,460.26940918,449.587036133,3532.21899414
52.009425161,461.093261719,450.32232666,3535.68756104
53.009605747,458.997558594,448.022033691,3528.8168335
54.009787025,460.920227051,450.009277344,3531.24523926
55.009967925,459.917297363,449.466918945,3533.33868408
56.010145257,460.23614502,449.639160156,3533.72686768
57.010334931,461.976257324,451.111755371,3531.46478271
58.010512627,461.346252441,450.505371094,3533.00305176
59.010690662,460.404724121,449.776794434,3533.45977783
60.010869385,458.967346191,448.354797363,3529.69976807
61.011048939,459.892272949,449.292785645,3533.65270996
62.011229190,460.609680176,450.182678223,3530.86572266
63.011414531,460.49798584,450.045654297,3529.28674316
64.011594050,461.022827148,450.537597656,3531.41131592
65.011776193,461.939025879,451.154724121,3534.17218018
66.011953325,462.532043457,452.024169922,3532.42712402
67.012126267,459.897277832,449.362060547,3535.58215332
68.012305358,461.732299805,451.469116211,3535.0112915
69.012490332,462.265014648,451.557250977,3534.81488037
70.012668623,462.989440918,452.165649414,3537.19335938
71.012842456,459.891845703,449.289916992,3534.30151367
72.013023143,459.622375488,448.918518066,3533.77709961
73.013201710,462.139587402,451.724487305,3535.2746582
74.013383569,462.66583252,452.260253906,3537.98455811
75.013779422,460.265380859,449.799194336,3529.96624756
76.014175631,2554.3972168,2553.14300537,4964.08477783
77.014463593,412.456726074,401.865844727,623.384460449
78.014714905,6.97052001953,2.31390380859,5.19421386719
79.014946447,6.00006103516,2.54260253906,5.32415771484
79.014946447,2.04650878906,0.189270019531,0.840515136719
