copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt178.apt.emulab.net 17 128 0 0 60.000000 5.000000 60.000003 60000003047 899836661 55041012812 0 386436041 110331340 0 97142556 97142556 5714268 12434247168 197.637036
0 apt159.apt.emulab.net 17 128 0 0 60.000000 5.000000 60.000015 60000014831 855964094 55479661439 0 341608460 103839142 0 91961993 91961993 5409529 11771135104 187.097154
0 apt154.apt.emulab.net 17 128 0 0 60.000000 5.000000 60.000027 60000027089 932423322 55030201017 0 414860858 109707980 0 99018812 99018812 5824636 12674407936 201.454289
0 apt141.apt.emulab.net 17 128 0 0 60.000000 5.000000 60.000010 60000009770 935364690 54983156146 0 416962386 109122102 0 97916243 97916243 5759779 12533279104 199.211106
0 apt164.apt.emulab.net 17 128 0 0 60.000000 5.000000 60.000010 60000010408 631701353 56312458533 0 314039996 86525917 0 98375617 98375617 5786801 12592078976 200.145705
0 apt190.apt.emulab.net 17 128 0 0 60.000000 5.000000 60.000016 60000015831 879858769 55346988139 0 353174191 107001249 0 94501861 94501861 5558933 12096238208 192.264528
0 apt160.apt.emulab.net 17 128 0 0 60.000000 5.000000 60.000018 60000017963 855644378 55518097578 0 357709157 101199121 0 90951836 90951836 5350108 11641835008 185.041984
0 apt181.apt.emulab.net 17 128 0 0 60.000000 5.000000 60.000024 60000023559 1002988528 54692809383 0 444395624 119605637 0 101133527 101133527 5949031 12945091456 205.756687
0 apt187.apt.emulab.net 17 128 0 0 60.000000 5.000000 60.000003 60000003400 891064729 55115499359 0 389016458 109504967 0 98318480 98318480 5783440 12584765440 200.029460
0 apt172.apt.emulab.net 17 128 0 0 60.000000 5.000000 60.000034 60000034166 890030689 55341816235 0 367849719 105345350 0 94423270 94423270 5554310 12086178560 192.104635
0 apt192.apt.emulab.net 17 128 0 0 60.000000 5.000000 60.000035 60000035102 878490815 55126043370 0 373705398 109112115 0 96124698 96124698 5654394 12303961344 195.566199
0 apt137.apt.emulab.net 17 128 0 0 60.000000 5.000000 60.000009 60000008981 929519455 55023985659 0 393017584 110854789 0 97797600 97797600 5752800 12518092800 198.969727
0 apt168.apt.emulab.net 17 128 0 0 60.000000 5.000000 60.000014 60000014417 892083552 55065255615 0 392386721 108332737 0 96793291 96793291 5693723 12389541248 196.926455
0 apt189.apt.emulab.net 17 128 0 0 60.000000 5.000000 60.000028 60000027940 901439913 55133831304 0 369846150 107402339 0 95946283 95946283 5643899 12281124224 195.203212
0 apt185.apt.emulab.net 17 128 0 0 60.000000 5.000000 60.000004 60000004034 890436758 55096821773 0 375619119 111222134 0 98496657 98496657 5793921 12607572096 200.391962
