timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
2.000275684,1053.76623535,1056.17016602,5076.55767822
3.000417278,1.85906982422,2.06298828125,17.1287231445
4.000572188,480.179321289,480.030212402,540.430908203
5.000735505,1.84930419922,1.71295166016,16.1015014648
6.000910945,1.25354003906,1.13903808594,15.4389038086
7.001077928,774.31640625,774.876586914,794.463867188
8.001212078,0.964294433594,0.949951171875,14.8273925781
9.001359583,437.069519043,437.191955566,494.572570801
10.002003771,1.46130371094,1.44488525391,15.8455810547
11.002147981,336.117126465,338.529968262,393.762268066
12.002299341,722.684631348,718.567077637,735.740356445
13.002442400,870.354614258,869.990905762,891.942504883
14.002581473,1000.25744629,1002.85296631,1086.0
15.002726667,86.0836181641,86.267578125,1042.43902588
16.002859094,321.365539551,321.463500977,4108.1027832
17.002989391,321.011047363,320.924743652,4109.66668701
18.003118596,320.387939453,320.325683594,4102.54705811
19.003260293,320.125610352,320.358459473,4103.97747803
20.003393679,321.27746582,321.251037598,4104.74627686
21.003526647,320.142578125,319.956115723,4110.53137207
22.003658286,320.869995117,320.868225098,4106.9788208
23.003767058,320.191589355,320.232849121,4101.33734131
24.003895942,320.025512695,320.231140137,4105.43847656
25.004025214,319.545349121,319.542480469,4104.00311279
26.004155624,320.764709473,320.577575684,4106.32641602
27.004285547,320.142578125,320.190124512,4104.4118042
28.004413038,320.324523926,320.409423828,4100.26464844
29.004544322,319.078613281,319.003112793,4103.24273682
30.004676644,320.085998535,320.124511719,4105.59918213
31.004807055,320.179138184,320.193481445,4109.42358398
32.004937998,320.864746094,320.835754395,4107.89758301
33.005067852,319.743347168,319.932128906,4109.41833496
34.005199997,320.328796387,320.340637207,4108.64562988
35.005332384,321.196594238,321.018981934,4107.2979126
36.005465863,320.260437012,320.114440918,4109.01623535
37.005596629,320.086853027,320.034179688,4110.45819092
38.005727677,320.642333984,320.812072754,4103.26318359
39.005854514,320.94744873,320.82220459,4105.08172607
40.005983298,321.651611328,321.513427734,4105.23999023
41.006114395,320.006896973,320.330322266,4109.15228271
42.006244387,320.769042969,320.737792969,4105.15319824
43.006373771,321.255615234,321.086364746,4099.17773438
44.006504024,320.794006348,320.806274414,4109.93170166
45.006646782,320.622009277,320.858581543,4107.33831787
46.006780262,319.515075684,319.389343262,4105.23358154
47.006911140,320.218261719,320.231750488,4110.44592285
48.007039678,319.576293945,319.522338867,4099.86889648
49.007168700,320.377258301,320.428833008,4107.07275391
50.007299895,319.865478516,320.047485352,4102.69354248
51.007430827,321.899108887,321.901672363,4105.39520264
52.007562241,319.713928223,319.797973633,4107.69036865
53.007694140,320.187438965,320.325683594,4107.20233154
54.007829407,319.730712891,319.639099121,4100.55755615
55.007959191,320.673278809,320.511962891,4104.52685547
56.008087932,320.184509277,320.361999512,4106.2199707
57.008216031,321.449584961,321.587219238,4104.28869629
58.008344947,321.440063477,321.499938965,4104.73669434
59.008474630,320.25390625,320.232788086,4103.9052124
60.008605198,319.857666016,320.055419922,4104.67138672
61.008734025,320.273742676,320.495178223,4109.32751465
62.008863326,320.875610352,320.899230957,4102.56292725
63.008993606,320.377685547,320.326721191,4105.64459229
64.009121328,320.691711426,320.582885742,4106.57165527
65.009248364,320.78137207,320.627990723,4109.3916626
66.009374802,320.644348145,320.726989746,4103.82287598
67.009507259,320.288391113,320.224121094,4107.17565918
68.009642491,318.880432129,318.747070312,4107.66876221
69.009777429,320.241455078,320.160522461,4104.81628418
70.009908242,322.49005127,322.351379395,4107.89257812
71.010053102,320.476135254,320.569335938,4108.65447998
72.010185184,320.426635742,320.51965332,4097.86053467
73.010318296,320.09161377,320.074401855,4107.07617188
74.010655121,320.310241699,320.302368164,4104.11663818
75.011301491,1646.96826172,1644.37145996,4900.61328125
76.011465174,1050.93554688,1053.4173584,1320.86151123
77.011635300,5.94464111328,5.88702392578,20.2902832031
78.011797936,0.39990234375,0.413208007812,5.6630859375
78.011797936,0.149780273438,0.177368164062,3.08502197266
