copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt178.apt.emulab.net 26 128 0 0 60.000000 5.000000 60.000003 60000003465 747099011 55176812637 0 340817183 74375267 0 104456872 104456872 4017572 13370479616 212.518050
0 apt185.apt.emulab.net 26 128 0 0 60.000000 5.000000 60.000018 60000017627 743102846 55124949326 0 360722794 76770996 0 108522830 108522830 4173955 13890922240 220.790263
0 apt141.apt.emulab.net 26 128 0 0 60.000000 5.000000 60.000013 60000012637 744106847 55194446514 0 356426650 72719431 0 102821238 102821238 3954663 13161118464 209.190344
0 apt190.apt.emulab.net 26 128 0 0 60.000000 5.000000 60.000019 60000018636 769096733 55243874685 0 346767408 76224845 0 107575988 107575988 4137538 13769726464 218.863908
0 apt159.apt.emulab.net 26 128 0 0 60.000000 5.000000 60.000020 60000019870 756206588 55230200365 0 349177891 75960610 0 106885688 106885688 4110988 13681368064 217.459489
0 apt137.apt.emulab.net 26 128 0 0 60.000000 5.000000 60.000023 60000022521 727875612 55232042238 0 346882525 73483610 0 102921182 102921182 3958507 13173911296 209.393681
0 apt187.apt.emulab.net 26 128 0 0 60.000000 5.000000 60.000033 60000032523 753628489 55148639681 0 358692372 76017742 0 108474678 108474678 4172103 13884758784 220.692297
0 apt181.apt.emulab.net 26 128 0 0 60.000000 5.000000 60.000034 60000034352 796256741 55023412717 0 383534792 78493652 0 102315278 102315278 3935203 13096355584 208.160966
0 apt189.apt.emulab.net 26 128 0 0 60.000000 5.000000 60.000043 60000043203 752400581 55186680288 0 337007591 74069153 0 105407432 105407432 4054132 13492151296 214.451969
0 apt168.apt.emulab.net 26 128 0 0 60.000000 5.000000 60.000046 60000045827 755107631 55175301707 0 345039341 73707507 0 104469638 104469638 4018063 13372113664 212.544023
0 apt172.apt.emulab.net 26 128 0 0 60.000000 5.000000 60.000004 60000004340 785993062 55257384769 0 352655474 75406455 0 107492710 107492710 4134335 13759066880 218.694478
0 apt154.apt.emulab.net 26 128 0 0 60.000000 5.000000 60.000006 60000005508 740334747 55264188987 0 351072986 73279910 0 103030694 103030694 3962719 13187928832 209.616484
0 apt164.apt.emulab.net 26 128 0 0 60.000000 5.000000 60.000045 60000044637 535768595 56387986568 0 283375473 61605462 0 107764072 107764072 4144772 13793801216 219.246566
0 apt192.apt.emulab.net 26 128 0 0 60.000000 5.000000 60.000052 60000051963 746072027 55181623922 0 341143124 74805910 0 105428336 105428336 4054936 13494827008 214.494499
0 apt160.apt.emulab.net 26 128 0 0 60.000000 5.000000 60.000031 60000031136 760322193 55260102922 0 353866146 75092300 0 106881814 106881814 4110839 13680872192 217.451607
