copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt164.apt.emulab.net 28 128 0 0 60.000000 5.000000 60.000001 60000000591 508922647 55980926813 0 277951422 57221402 0 107771356 107771356 3848977 13794733568 219.261385
0 apt168.apt.emulab.net 28 128 0 0 60.000000 5.000000 60.000010 60000009702 745871924 54971607968 0 335333219 69961993 0 106509564 106509564 3803913 13633224192 216.694263
0 apt181.apt.emulab.net 28 128 0 0 60.000000 5.000000 60.000020 60000020068 783657264 54804091852 0 372409573 73487285 0 104493704 104493704 3731918 13375194112 212.592985
0 apt159.apt.emulab.net 28 128 0 0 60.000000 5.000000 60.000032 60000031849 738004350 55041180050 0 350405876 71300779 0 108163524 108163524 3862983 13844931072 220.059253
0 apt154.apt.emulab.net 28 128 0 0 60.000000 5.000000 60.000019 60000019138 737450727 55025196801 0 348562275 69590925 0 104846168 104846168 3744506 13420309504 213.310075
0 apt187.apt.emulab.net 28 128 0 0 60.000000 5.000000 60.000023 60000022611 749378650 54991096760 0 347499056 71620031 0 107773988 107773988 3849071 13795070464 219.266740
0 apt160.apt.emulab.net 28 128 0 0 60.000000 5.000000 60.000029 60000029449 756924417 55067423247 0 345241960 70851272 0 108185868 108185868 3863781 13847791104 220.104712
0 apt178.apt.emulab.net 28 128 0 0 60.000000 5.000000 60.000038 60000038082 730753314 54971648802 0 336071651 70520810 0 106663536 106663536 3809412 13652932608 217.007520
0 apt137.apt.emulab.net 28 128 0 0 60.000000 5.000000 60.000039 60000039204 730829784 55009783249 0 338440830 69335941 0 104450836 104450836 3730387 13369707008 212.505770
0 apt190.apt.emulab.net 28 128 0 0 60.000000 5.000000 60.000044 60000044383 753378593 55055917031 0 351021763 71740613 0 108862208 108862208 3887936 13934362624 221.480729
0 apt141.apt.emulab.net 28 128 0 0 60.000000 5.000000 60.000051 60000051372 740908619 54970266351 0 351007769 68893182 0 104437928 104437928 3729926 13368054784 212.479508
0 apt189.apt.emulab.net 28 128 0 0 60.000000 5.000000 60.000002 60000002497 743324762 54982541086 0 342583060 70265166 0 106912092 106912092 3818289 13684747776 217.513208
0 apt172.apt.emulab.net 28 128 0 0 60.000000 5.000000 60.000001 60000000999 763602289 55080190483 0 351871379 71174798 0 108760484 108760484 3884303 13921341952 221.273771
0 apt185.apt.emulab.net 28 128 0 0 60.000000 5.000000 60.000025 60000024868 742550175 54941114835 0 352647849 72213534 0 107886520 107886520 3853090 13809474560 219.495687
0 apt192.apt.emulab.net 28 128 0 0 60.000000 5.000000 60.000002 60000002164 728902832 54998277217 0 331580205 70653405 0 106834252 106834252 3815509 13674784256 217.354842
