timestamp,CBO.PCIE_DATA_BYTES
2.000376559,#NC#NC#NC#NC#NC#NC#NC#NC
3.000665469,0.0
4.000944668,0.030517578125
5.001240267,0.0
6.001531114,0.0
7.001879233,0.0
8.002161125,0.0152587890625
9.002318576,#NC#NC#NC#NC#NC#NC#NC#NC
10.002573781,0.0
11.002825216,0.0
12.003068608,0.0
13.003315221,0.0
14.004449116,0.0
15.004701427,0.0
16.004940629,#NC#NC#NC#NC#NC#NC#NC#NC
17.005181749,0.0
18.005414633,61.6818237305
19.005645260,61.8125
20.005917389,61.7100830078
21.006152853,61.8407592773
22.006377504,61.9588623047
23.006593240,#NC#NC#NC#NC#NC#NC#NC#NC
24.006823738,61.7843017578
25.007055088,61.899230957
26.007287766,61.8469238281
27.007520434,61.8792724609
28.007752202,61.8402709961
29.007995648,61.9571533203
30.008230733,61.9069824219
31.008441544,#NC#NC#NC#NC#NC#NC#NC#NC
32.008670982,61.6959838867
33.008903117,61.8719482422
34.009133551,61.6905517578
35.009361921,61.8794555664
36.009591220,61.9216308594
37.009820636,61.7102050781
38.010034208,#NC#NC#NC#NC#NC#NC#NC#NC
39.010265221,61.8673095703
40.010496636,61.7641601562
41.010723804,61.903503418
42.010954545,61.9307250977
43.011182647,61.7446289062
44.011417373,61.7208862305
45.011629039,#NC#NC#NC#NC#NC#NC#NC#NC
46.011856071,61.5122680664
47.012093621,61.7490234375
48.012324162,61.8131103516
49.012557015,61.8031005859
50.012785474,61.8118286133
51.013021499,61.8955078125
52.013231877,#NC#NC#NC#NC#NC#NC#NC#NC
53.013463801,60.8928833008
54.013750256,62.0137939453
55.013979792,61.9406738281
56.014212012,61.8314819336
57.014444174,61.8567504883
58.014674516,61.526550293
59.014904158,61.9069213867
60.015118227,#NC#NC#NC#NC#NC#NC#NC#NC
61.015349102,61.4492797852
62.015575687,61.8444824219
63.015807734,61.7025756836
64.016044233,61.6881713867
65.016273237,61.9163818359
66.016503664,61.9045410156
67.016713717,#NC#NC#NC#NC#NC#NC#NC#NC
68.016939712,61.8403320312
69.017170044,61.8060913086
70.017401407,61.8435668945
71.017630152,61.7666015625
72.017919470,61.854309082
73.018148811,61.8317260742
74.018354783,#NC#NC#NC#NC#NC#NC#NC#NC
75.018583457,61.3492431641
76.019685162,61.776550293
77.020334763,61.4064331055
78.020866147,0.0
79.021390726,0.0460205078125
79.021390726,0.0
