copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt114.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000005 10000004839 270869785 9430091490 0 33923534 67284680 0 2845371 2845371 2845371 364207488 34.733533
0 apt127.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000003 10000003340 254901415 9527343152 0 28551190 36752461 0 2714800 2714800 2714800 347494400 33.139648
0 apt115.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000002 10000002341 356338143 9182993780 0 34885472 70422455 0 2930328 2930328 2930328 375081984 35.770605
0 apt123.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000009 10000009137 279285568 9363979591 0 26286761 56754692 0 2222168 2222168 2222168 284437504 27.126074
0 apt121.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000002 10000002081 317682292 9254739366 0 31707657 66657630 0 2659639 2659639 2659639 340433792 32.466296
0 apt098.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000005 10000005259 241373954 9468719127 0 31902141 65988271 0 2706642 2706642 2706642 346450176 33.040063
0 apt099.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000000720 366636045 9161046153 0 35866530 75924688 0 2980181 2980181 2980181 381463168 36.379163
0 apt097.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000000 10000000123 272885999 9401427185 0 36182915 73664679 0 2995680 2995680 2995680 383447040 36.568359
0 apt117.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000008 10000008329 268925525 9342727514 0 28675438 60504786 0 2408526 2408526 2408526 308291328 29.400952
0 apt105.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000000586 305792257 9309857247 0 28774927 59259454 0 2430047 2430047 2430047 311046016 29.663660
0 apt102.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000001 10000000699 283300128 9346109601 0 27285621 61735236 0 2313146 2313146 2313146 296082688 28.236646
0 apt124.apt.emulab.net 1 128 0 0 10.000000 5.000000 10.000009 10000009462 296794205 9294973161 0 30005646 64263444 0 2555608 2555608 2555608 327117824 31.196387
