copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt079.apt.emulab.net 1 16384 24 128 60.000000 5.000000 60.000002 60000002325 239186637 59021778854 0 92000695 20256517 0 28916450 28916450 1156658 22503938048 7530.325521
0 apt127.apt.emulab.net 1 16384 24 128 60.000000 5.000000 60.000056 60000055663 166783103 59185507063 0 75320875 17475210 0 28919050 28919050 1156762 22505961472 7531.002604
0 apt143.apt.emulab.net 1 16384 24 128 60.000000 5.000000 60.000040 60000040132 243091722 59002774042 0 99379634 20274275 0 28903200 28903200 1156128 22493626368 7526.875000
0 apt078.apt.emulab.net 1 16384 24 128 60.000000 5.000000 60.000120 60000120092 243438516 59007253592 0 94141610 20302530 0 28904875 28904875 1156195 22494929920 7527.311198
0 apt126.apt.emulab.net 1 16384 24 128 60.000000 5.000000 60.000173 60000173122 229996457 59008960699 0 97958813 20463368 0 28845750 28845750 1153830 22448916480 7511.914062
0 apt088.apt.emulab.net 1 16384 24 128 60.000000 5.000000 60.000197 60000196880 239561550 59019447256 0 95608181 20245700 0 28915700 28915700 1156628 22503354368 7530.130208
0 apt091.apt.emulab.net 1 16384 24 128 60.000000 5.000000 60.000091 60000091058 237942194 59011671322 0 96684510 20237407 0 28901575 28901575 1156063 22492361728 7526.451823
0 apt074.apt.emulab.net 1 16384 24 128 60.000000 5.000000 60.000024 60000024252 233729492 58997378885 0 100981594 20792779 0 28900150 28900150 1156006 22491252736 7526.080729
0 apt128.apt.emulab.net 1 16384 24 128 60.000000 5.000000 60.000042 60000042484 233270839 59007093583 0 98688949 20447656 0 28909550 28909550 1156382 22498568192 7528.528646
0 apt087.apt.emulab.net 1 16384 24 128 60.000000 5.000000 60.000020 60000020269 242618137 59013751496 0 94705112 20394104 0 28826500 28826500 1153060 22433935360 7506.901042
0 apt086.apt.emulab.net 1 16384 24 128 60.000000 5.000000 60.000078 60000078143 240349223 59012677138 0 95948464 20460819 0 28827625 28827625 1153105 22434810880 7507.194010
0 apt122.apt.emulab.net 1 16384 24 128 60.000000 5.000000 60.000096 60000096474 242958730 59005804399 0 98821420 20316676 0 28915225 28915225 1156609 22502984704 7530.006510
0 apt123.apt.emulab.net 1 16384 24 128 60.000000 5.000000 60.000150 60000149594 238431456 59015065653 0 95630631 20418481 0 28831450 28831450 1153258 22437787648 7508.190104
0 apt085.apt.emulab.net 1 16384 24 128 60.000000 5.000000 60.000123 60000122537 237707321 59018077163 0 96140846 20435534 0 28822200 28822200 1152888 22430588928 7505.781250
0 apt125.apt.emulab.net 1 16384 24 128 60.000000 5.000000 60.000073 60000073255 224941674 59015888457 0 97017547 20501680 0 28853025 28853025 1154121 22454578176 7513.808594
0 apt128.apt.emulab.net 1 16384 24 1024 60.000000 5.000000 60.000007 60000006891 143152292 59463589197 0 56933780 10835184 0 15324125 15324125 612965 25107046400 3990.657552
0 apt079.apt.emulab.net 1 16384 24 1024 60.000000 5.000000 60.000020 60000020257 133410731 59464347902 0 52353459 10749789 0 15323825 15323825 612953 25106554880 3990.579427
0 apt085.apt.emulab.net 1 16384 24 1024 60.000000 5.000000 60.000032 60000032472 130923195 59460522576 0 56886677 11076219 0 15324400 15324400 612976 25107496960 3990.729167
0 apt126.apt.emulab.net 1 16384 24 1024 60.000000 5.000000 60.000066 60000065897 133001710 59460990618 0 56651470 11084365 0 15324475 15324475 612979 25107619840 3990.748698
0 apt087.apt.emulab.net 1 16384 24 1024 60.000000 5.000000 60.000091 60000090789 140937883 59465320401 0 55546078 10946476 0 15322175 15322175 612887 25103851520 3990.149740
0 apt122.apt.emulab.net 1 16384 24 1024 60.000000 5.000000 60.000125 60000125193 138042260 59461944054 0 57671885 10749719 0 15322675 15322675 612907 25104670720 3990.279948
0 apt143.apt.emulab.net 1 16384 24 1024 60.000000 5.000000 60.000150 60000150307 139541801 59465305075 0 58498157 10923197 0 15324200 15324200 612968 25107169280 3990.677083
0 apt123.apt.emulab.net 1 16384 24 1024 60.000000 5.000000 60.000097 60000097107 128973822 59465278390 0 56079568 10908829 0 15324525 15324525 612981 25107701760 3990.761719
0 apt091.apt.emulab.net 1 16384 24 1024 60.000000 5.000000 60.000110 60000110267 136110744 59466309030 0 56163288 10721585 0 15323900 15323900 612956 25106677760 3990.598958
0 apt127.apt.emulab.net 1 16384 24 1024 60.000000 5.000000 60.000008 60000007835 91426727 59551878918 0 44919234 9255568 0 15324275 15324275 612971 25107292160 3990.696615
0 apt088.apt.emulab.net 1 16384 24 1024 60.000000 5.000000 60.000043 60000042944 136171004 59467159834 0 55283185 10779078 0 15323925 15323925 612957 25106718720 3990.605469
0 apt074.apt.emulab.net 1 16384 24 1024 60.000000 5.000000 60.000082 60000081623 145285284 59458024341 0 57710105 10956528 0 15324425 15324425 612977 25107537920 3990.735677
0 apt086.apt.emulab.net 1 16384 24 1024 60.000000 5.000000 60.000036 60000035819 137393604 59461287843 0 56309016 11086463 0 15324425 15324425 612977 25107537920 3990.735677
0 apt078.apt.emulab.net 1 16384 24 1024 60.000000 5.000000 60.000132 60000132441 141714763 59467496380 0 54744073 10907665 0 15324175 15324175 612967 25107128320 3990.670573
0 apt125.apt.emulab.net 1 16384 24 1024 60.000000 5.000000 60.000055 60000055051 137538639 59460535276 0 57073975 11101138 0 15324450 15324450 612978 25107578880 3990.742188
