timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
2.000235348,1166.76397705,1170.7678833,4832.51763916
3.000359902,0.407470703125,0.160217285156,13.6951293945
4.000517132,0.225830078125,0.407470703125,13.6111450195
5.000693808,76.6176147461,76.6300048828,120.940368652
6.000833512,0.187683105469,0.549377441406,13.7291870117
7.000992080,0.697448730469,0.940063476562,15.0922851562
8.001125360,0.802795410156,0.848510742188,15.9311523438
9.001253731,0.523620605469,0.300659179688,14.7776489258
10.001766760,0.42578125,0.198364257812,13.9755859375
11.001903069,177.161987305,176.094848633,1713.0501709
12.002035566,513.182678223,512.508972168,5124.81451416
13.002161492,507.949829102,507.733093262,5024.59899902
14.002288463,507.56652832,507.216308594,5102.18780518
15.002420780,504.940246582,506.357055664,5049.63079834
16.002560715,516.858398438,517.969360352,5117.95861816
17.002690675,517.646972656,516.22479248,5062.65704346
18.002818650,501.254821777,501.540893555,5042.0881958
19.002964032,509.58807373,509.405700684,5103.17523193
20.003094014,506.984863281,506.914489746,5041.5513916
21.003180935,513.436767578,513.579101562,5078.60870361
22.003308614,514.997924805,514.947753906,5085.34429932
23.003438848,507.643005371,508.32043457,5102.62713623
24.003572807,502.780334473,502.379760742,5045.29187012
25.003704499,503.254272461,503.458374023,5105.22705078
26.003835448,508.697143555,509.399047852,5029.80273438
27.003962109,510.980957031,511.233459473,5090.51049805
28.004096198,510.105712891,509.987548828,5080.35949707
29.004236193,511.260620117,511.562561035,5080.32519531
30.004365521,506.025817871,505.055358887,5105.51647949
31.004494305,504.901794434,504.08770752,5107.77252197
32.004625214,499.165893555,498.212097168,5056.26104736
33.004755842,501.066650391,502.089294434,5111.84777832
34.004887585,504.475402832,504.794555664,5056.9932251
35.005015550,504.764648438,505.575256348,5047.84936523
36.005144284,506.698120117,508.341430664,5135.19812012
37.005273524,508.337890625,508.558532715,5058.53588867
38.005403205,514.248291016,513.296203613,5092.49884033
39.005530983,516.174316406,516.068847656,5032.97869873
40.005662190,503.720581055,504.394042969,5119.56011963
41.005791122,494.22277832,493.850891113,4990.13098145
42.005920586,502.775634766,502.530578613,5115.04901123
43.006053109,502.951171875,502.567626953,5105.62115479
44.006186431,511.318237305,510.713500977,5085.24957275
45.006318074,511.352294922,510.854309082,5038.86981201
46.006447330,511.421203613,511.46282959,5093.12554932
47.006579723,508.068054199,508.461853027,5084.16937256
48.006709304,511.849487305,512.902648926,5100.26971436
49.006839848,510.282104492,510.426025391,5039.30596924
50.006969526,518.668701172,517.654968262,5064.59173584
51.007100176,511.129150391,511.592956543,5086.2567749
52.007230470,513.164550781,512.125366211,5096.08874512
53.007362570,515.415283203,514.521118164,5041.35705566
54.007490998,516.659118652,517.082885742,5102.43664551
55.007577486,510.124389648,509.146179199,5059.1505127
56.007710655,513.090881348,513.858215332,5076.58361816
57.007836806,522.333312988,522.780883789,5073.45147705
58.007981062,501.444091797,501.079833984,5073.29724121
59.008114134,508.680603027,508.643066406,5105.29937744
60.008244043,512.836425781,512.920593262,5024.1739502
61.008373491,505.727844238,505.25958252,5102.40667725
62.008503468,518.014221191,517.33215332,5070.10064697
63.008634677,509.085510254,508.758850098,5098.03240967
64.008766678,513.792785645,513.968322754,5116.80505371
65.008897777,511.154602051,511.013427734,5102.93280029
66.009024296,513.200683594,513.133850098,5092.41131592
67.009151932,506.450012207,506.314819336,5072.66650391
68.009281148,513.347473145,513.972595215,5052.38879395
69.009413281,498.010803223,497.269348145,5072.54101562
70.009570633,509.862915039,510.092102051,5058.98419189
71.009836374,389.740722656,389.179931641,3194.78070068
72.010074722,1.40100097656,1.05487060547,13.9822387695
72.010074722,0.946716308594,0.796936035156,10.9857788086
