copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt078.apt.emulab.net 1 16384 30 128 60.000000 5.000000 60.000016 60000015596 232126862 58969487768 0 103306410 18099403 0 31661447 31661447 1021337 20655519488 8245.168490
0 apt123.apt.emulab.net 1 16384 30 128 60.000000 5.000000 60.000015 60000015138 216825673 58960695085 0 103718682 18039109 0 31665632 31665632 1021472 20658249728 8246.258333
0 apt128.apt.emulab.net 1 16384 30 128 60.000000 5.000000 60.000035 60000035310 235355686 58958093264 0 102399966 18155046 0 31658781 31658781 1021251 20653780224 8244.474219
0 apt143.apt.emulab.net 1 16384 30 128 60.000000 5.000000 60.000114 60000114316 245723470 58970091939 0 104314096 18108969 0 31663059 31663059 1021389 20656571136 8245.588281
0 apt126.apt.emulab.net 1 16384 30 128 60.000000 5.000000 60.000138 60000138483 227625113 58959913451 0 100534627 18251894 0 31659680 31659680 1021280 20654366720 8244.708333
0 apt074.apt.emulab.net 1 16384 30 128 60.000000 5.000000 60.000078 60000078078 238615292 58943661301 0 102195998 18420386 0 31657510 31657510 1021210 20652951040 8244.143229
0 apt086.apt.emulab.net 1 16384 30 128 60.000000 5.000000 60.000102 60000101918 213693188 58962233384 0 98009291 18206577 0 31659773 31659773 1021283 20654427392 8244.732552
0 apt085.apt.emulab.net 1 16384 30 128 60.000000 5.000000 60.000049 60000048700 218216582 58960981089 0 104572994 18200655 0 31664516 31664516 1021436 20657521664 8245.967708
0 apt122.apt.emulab.net 1 16384 30 128 60.000000 5.000000 60.000124 60000123587 238523282 58976489419 0 104662938 17887742 0 31660734 31660734 1021314 20655054336 8244.982813
0 apt124.apt.emulab.net 1 16384 30 128 60.000000 5.000000 60.000140 60000139509 229608398 58978321189 0 100907867 17923594 0 31655743 31655743 1021153 20651798272 8243.683073
0 apt091.apt.emulab.net 1 16384 30 128 60.000000 5.000000 60.000167 60000167347 234517845 58972108069 0 103506236 17902839 0 31660548 31660548 1021308 20654932992 8244.934375
0 apt087.apt.emulab.net 1 16384 30 128 60.000000 5.000000 60.000081 60000081107 217171172 58961134966 0 105849204 18053739 0 31664020 31664020 1021420 20657198080 8245.838542
0 apt125.apt.emulab.net 1 16384 30 128 60.000000 5.000000 60.000090 60000090366 225992772 58963155351 0 98090194 18255234 0 31665539 31665539 1021469 20658189056 8246.234115
0 apt127.apt.emulab.net 1 16384 30 128 60.000000 5.000000 60.000041 60000041124 229056398 58970706229 0 101099442 17843760 0 31660548 31660548 1021308 20654932992 8244.934375
0 apt088.apt.emulab.net 1 16384 30 128 60.000000 5.000000 60.000058 60000057723 227211677 58974406260 0 104164269 17860164 0 31654720 31654720 1021120 20651130880 8243.416667
0 apt079.apt.emulab.net 1 16384 30 128 60.000000 5.000000 60.000186 60000186191 228498141 58973472423 0 102097809 17860592 0 31659494 31659494 1021274 20654245376 8244.659896
