time elapsed,timestamp,S0.iMC0.MEM_BW_TOTAL,S0.iMC1.MEM_BW_TOTAL,S0.iMC2.MEM_BW_TOTAL,totalmembw
1,0.200819325,0.096338212,0.095125616,0.107204497,2.986683249
2,0.301242784,0.162690103,0.161510348,0.177074969,5.012754202
3,0.401646513,0.24609834,0.244887352,0.267645657,7.586313486
4,0.502154147,0.055256307,0.054019928,0.740098119,8.493743539
5,0.602671385,0.002542853,0.001294434,0.924701452,9.285387397
6,0.703091407,0.002585351,0.001329422,0.926534116,9.304488897
7,0.803452856,0.079471052,0.078259647,0.790275812,9.480065107
8,0.903869537,0.226016939,0.224735975,0.517780483,9.685333967
9,1.004170093,0.09384501,0.093251348,0.169041216,3.561375737
10,1.104442721,0.001415551,0.000166714,0.00062412,0.022063851
11,1.20488675,0.001275539,3.32E-05,0.000239074,0.015478134
12,1.305321896,0.001272023,1.95E-05,0.000142217,0.014337301
13,1.40576008,0.001274884,2.59E-05,0.000158012,0.014588237
14,1.506197767,0.00127089,2.22E-05,0.00012511,0.014182329
15,1.606656513,0.001271784,2.44E-05,0.000216186,0.015123487
16,1.707097373,0.00127095,2.11E-05,0.000165939,0.014579892
17,1.807531987,0.00126791,1.72E-05,0.000125289,0.014104247
18,1.907961267,0.001271307,2.17E-05,0.000178397,0.014714003
19,2.008390687,0.001276612,2.58E-05,0.000154316,0.014567375
20,2.108875287,0.00126946,1.78E-05,0.000143945,0.014312267
21,2.20937434,0.000860155,1.80E-05,0.000139177,0.010173321
22,2.309810163,0.001268923,1.70E-05,0.000146508,0.014324784
23,2.410263112,0.001266539,1.65E-05,0.000149369,0.014324188
24,2.510701762,0.001271307,1.67E-05,0.00012207,0.014100671
25,2.611191592,0.001268923,1.67E-05,0.000145435,0.014310479
26,2.711768286,0.001008511,1.89E-05,0.000125229,0.011526346
27,2.812332282,4.47E-05,1.16E-05,0.000217795,0.002740622
28,2.912789846,4.55E-05,7.09E-06,0.000131786,0.001844168
29,3.013196688,0.001268625,1.87E-05,0.000119865,0.014071465
30,3.113608318,0.001266539,1.93E-05,0.00014317,0.014289618
31,3.214045914,0.001267254,1.82E-05,0.000118077,0.014035106
32,3.31450653,0.001266062,1.82E-05,0.000127435,0.014116764
33,3.414936657,0.001267433,1.94E-05,0.000136375,0.014231801
34,3.515367391,0.001266479,1.70E-05,0.000126004,0.014095306
35,3.615846269,0.001265705,1.54E-05,0.000144303,0.014254451
36,3.716387243,0.000754356,1.01E-05,0.000132918,0.008974075
37,3.816919875,3.89E-05,2.80E-06,0.000118673,0.001603961
38,3.917411238,3.84E-05,3.40E-06,0.000113249,0.001550317
39,4.017854756,0.001269758,1.62E-05,0.000123739,0.014096498
40,4.118329099,0.001268148,1.58E-05,0.000141144,0.014250875
41,4.218862185,0.000729501,1.26E-05,0.000119448,0.008615255
42,4.319408155,4.09E-05,6.14E-06,0.000117838,0.001648664
43,4.419904243,3.39E-05,3.04E-06,0.000129759,0.001666546
44,4.520341959,0.001271844,1.78E-05,0.000151932,0.014415383
45,4.620800225,0.001266241,1.73E-05,0.000128627,0.014121532
46,4.72124231,0.001268864,2.11E-05,0.000126958,0.014169216
47,4.821669713,0.001267135,1.79E-05,0.000139475,0.01424551
48,4.922094688,0.001265049,1.72E-05,0.000118911,0.01401186
49,5.022549877,0.001271367,1.96E-05,0.00015229,0.014432669
50,5.122986194,0.001266539,1.65E-05,0.000145018,0.014280081
51,5.223423798,0.001266241,1.64E-05,0.000123739,0.014063716
52,5.323849501,0.001266778,2.34E-05,0.000122905,0.014130473
53,5.424276772,0.001265764,1.54E-05,0.000127852,0.014089942
54,5.524705543,0.001271307,2.06E-05,0.000146449,0.014383197
55,5.625177019,0.00127089,2.13E-05,0.000157595,0.014498234
56,5.725711894,0.000406861,5.95E-05,0.000239253,0.007055998
57,5.826253517,4.51E-05,4.77E-06,0.0001387,0.001885295
58,5.926745136,3.27E-05,3.28E-06,9.58E-05,0.001317859
59,6.027180845,0.001268625,1.73E-05,0.000121772,0.014076829
60,6.127679424,0.001267374,1.82E-05,0.000143111,0.014286637
61,6.228187004,0.000620544,1.10E-05,0.000121474,0.007530451
62,6.328626033,0.001267731,1.87E-05,0.000139415,0.014258623
63,6.429058986,0.001265883,1.72E-05,0.00011915,0.014022589
64,6.529488342,0.001265645,1.78E-05,0.000114977,0.013983846
65,6.629945619,0.001278341,2.91E-05,0.000161111,0.014685392
66,6.730458292,0.001265645,1.74E-05,0.000116169,0.01399219
67,6.83095663,0.0006271,1.12E-05,0.000144541,0.007828474
68,6.9313945,0.001328647,7.91E-05,0.000514984,0.019227266
69,7.031831461,0.001265407,1.56E-05,0.000118315,0.013993382
70,7.132269758,0.00126791,1.56E-05,0.000141263,0.014247298
71,7.232713522,0.001268089,1.56E-05,0.000118434,0.014020801
72,7.333151079,0.001263082,2.32E-05,0.000141263,0.014275908
73,7.433580582,0.001265407,1.56E-05,0.000115573,0.013965368
74,7.534010059,0.00126791,1.55E-05,0.000135243,0.014186502
75,7.634590459,0.001268685,1.56E-05,0.000126183,0.014104843
76,7.735129598,0.000520468,9.60E-06,0.000271201,0.008012652
77,7.835623246,4.35E-05,3.40E-06,0.000123203,0.001700521
78,7.936055059,0.001267135,1.85E-05,0.000120223,0.014058352
79,8.036516295,0.001265287,1.79E-05,0.000128508,0.014116764
80,8.136953844,0.001266539,1.76E-05,0.000124931,0.014091134
81,8.237393831,0.001265943,1.58E-05,0.000114739,0.013964772
82,8.337822808,0.00126636,1.96E-05,0.000143647,0.014296174
83,8.43825065,0.001265347,1.75E-05,0.000118494,0.014013052
84,8.538678465,0.001265168,1.70E-05,0.000140786,0.014230013
85,8.639159252,0.001266539,1.54E-05,0.000128269,0.014101863
86,8.739707076,0.00045979,6.97E-06,0.000105679,0.00572443
87,8.84025773,4.07E-05,3.70E-06,0.000112236,0.00156641
88,8.940807302,4.62E-05,3.52E-06,0.000113189,0.001628995
89,9.041374015,4.04E-05,3.22E-06,0.000115395,0.001590252
90,9.141870916,3.45E-05,3.58E-06,0.00011462,0.001526475
91,9.242460401,0.000435889,9.42E-06,0.00011009,0.005553961
92,9.343010364,3.79E-05,4.53E-06,0.000130296,0.001727343
93,9.4435085,2.93E-05,5.42E-06,0.000111938,0.001466274
94,9.543945166,0.001268327,1.54E-05,0.000136733,0.014204383
95,9.644398574,0.001267254,1.70E-05,0.000119567,0.014038682
96,9.744832604,0.001265943,1.79E-05,0.000120282,0.014041066
97,9.845274602,0.001265883,1.78E-05,0.000141144,0.014247894
98,9.945705965,0.001266181,1.73E-05,0.000112295,0.013958216
99,10.04613581,0.001265645,1.55E-05,0.000138581,0.01419723
100,10.14669696,0.00126636,1.56E-05,0.000117183,0.013990998
101,10.2471962,0.000128627,4.95E-06,0.000112414,0.002459884
102,10.34762838,0.001267433,1.56E-05,0.000146151,0.014292002
103,10.448062,0.001265824,2.29E-05,0.000114679,0.014033914
104,10.54849265,0.001265287,1.54E-05,0.000148356,0.014290214
105,10.64899317,0.001267612,1.72E-05,0.000126541,0.014113188
