timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL,iMC3.MEM_BW_TOTAL
0.200405828,#NC,#NC,#NC,#NC
0.300662660,59.3829345703,57.7733154297,54.444152832,54.5060424805
0.400912895,59.0900878906,57.6218261719,54.2926635742,54.2883911133
0.501162996,58.990234375,57.6990966797,54.3481445312,54.3439941406
0.601390464,#NC,#NC,#NC,#NC
0.701645880,58.8295288086,57.573425293,54.1478271484,54.1891479492
0.801895573,61.3405151367,59.7618408203,56.633605957,56.4843139648
0.902152685,59.2811279297,58.0338745117,54.7869873047,54.7710571289
1.002377008,#NC,#NC,#NC,#NC
1.102627543,59.9652099609,58.677734375,55.4309692383,55.4028320312
1.202905837,60.0487670898,58.7724609375,55.4963989258,55.5425415039
1.303158739,59.8927001953,58.676940918,55.3675537109,55.3350219727
1.403385558,#NC,#NC,#NC,#NC
1.503636917,70.7384643555,69.5172119141,65.611328125,65.5856933594
1.603892736,70.5229492188,69.3264770508,65.3991088867,65.4069213867
1.704143106,70.5521850586,69.3427124023,65.3569946289,65.4414672852
1.804367442,#NC,#NC,#NC,#NC
1.904623603,70.2944946289,69.0429077148,65.1267700195,65.1638183594
2.004870833,71.0358886719,69.6707763672,65.7596435547,65.8258056641
2.105150662,69.8489990234,68.5028686523,64.577331543,64.4874267578
2.205404531,69.9086914062,68.5709838867,64.7077026367,64.7263793945
2.305658184,70.9279785156,69.7417602539,65.7755126953,65.7026977539
2.405911680,70.758605957,69.5081787109,65.5715942383,65.5131225586
2.506164823,69.8532714844,68.6387939453,64.7297973633,64.6690063477
2.606415459,70.0322265625,68.8636474609,64.9211425781,64.9606933594
2.706643410,#NC,#NC,#NC,#NC
2.806912481,70.4096069336,69.2852783203,65.2691040039,65.26171875
2.907164166,69.5780639648,68.5581054688,64.6424560547,64.6381835938
3.007412495,71.1586303711,69.9852294922,65.9945678711,65.9196777344
3.107642821,#NC,#NC,#NC,#NC
3.207898650,70.9266967773,69.7600708008,65.8501586914,65.780456543
3.308153432,96.1698608398,95.0049438477,95.0430297852,94.8786621094
3.408404182,1.37860107422,0.0427856445312,0.0986328125,0.0780639648438
3.508645551,#NC,#NC,#NC,#NC
3.608898283,51.1342773438,49.879699707,47.1064453125,47.1115112305
3.709150229,64.4068603516,63.3020629883,59.5092163086,59.5917358398
3.809398889,15.8845214844,14.8011474609,14.4940185547,14.7065429688
3.909627565,#NC,#NC,#NC,#NC
4.009880437,17.6092529297,16.3319091797,16.5942993164,16.6054077148
4.110130462,17.4158935547,15.8587036133,16.0441894531,15.7512207031
4.210381449,113.373352051,111.953918457,105.786743164,105.949645996
4.310608884,#NC,#NC,#NC,#NC
4.410874254,113.995483398,112.58203125,106.275390625,106.473693848
4.511145733,15.0861816406,15.9675292969,14.7770385742,14.4338378906
4.611429519,11.5786743164,10.4628295898,10.4509887695,10.4378051758
4.711684162,12.079284668,10.8202514648,10.8083496094,10.8713989258
4.811934124,11.959777832,10.7214355469,10.6542358398,10.6307373047
4.912183343,12.2023925781,10.9554443359,10.904296875,10.8729248047
5.012461879,33.9364624023,33.4371948242,32.3225097656,32.6979980469
5.112715399,1.61547851562,0.340515136719,0.384948730469,0.397888183594
5.212964957,4.75518798828,2.59637451172,3.29290771484,3.57879638672
