timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL,iMC3.MEM_BW_TOTAL
0.200388650,#NC,#NC,#NC,#NC
0.300640236,57.8422241211,56.5184326172,53.8735351562,53.9186401367
0.400893895,59.9261474609,58.4392700195,55.4245605469,55.4079589844
0.501145797,59.3034667969,57.9943237305,54.6625366211,54.733215332
0.601394939,59.6929321289,58.431640625,55.0239868164,55.0094604492
0.701625344,#NC,#NC,#NC,#NC
0.801880347,59.1525268555,57.8759765625,54.5298461914,54.5195922852
0.902134649,59.666015625,58.4310302734,55.0961303711,55.1055297852
1.002388081,60.1842651367,58.9185791016,56.0697021484,56.0921630859
1.102637943,60.1374511719,58.926940918,55.428527832,55.4055786133
1.202865312,#NC,#NC,#NC,#NC
1.303121265,60.1020507812,58.8376464844,55.1447143555,55.132019043
1.403382024,60.0789794922,58.8305664062,55.5624389648,55.5687255859
1.503642645,70.770690918,69.6036987305,65.7445068359,65.7688598633
1.603913111,70.5989379883,69.4084472656,65.6848144531,65.6557006836
1.704161591,70.9236450195,69.6304321289,67.9840698242,#NC
1.804415962,71.2388305664,69.9204101562,65.8762207031,65.8413085938
1.904666608,70.7788696289,69.4553222656,65.6569213867,65.6561279297
2.004918637,70.4010009766,69.1891479492,65.5160522461,65.5248413086
2.105184936,70.1301269531,68.87890625,65.4019165039,65.4553222656
2.205435878,70.6259155273,69.2485961914,64.9251098633,64.9868164062
2.305682820,#NC,#NC,64.8413696289,64.8150634766
2.405934265,70.9047241211,69.6821289062,65.8270263672,65.8740234375
2.506207201,70.1486206055,68.9702148438,64.8262329102,64.8452758789
2.606457747,69.3896484375,68.1314697266,64.6018066406,64.6240844727
2.706710662,70.1821289062,68.9956054688,64.7208862305,64.6791992188
2.806938608,#NC,#NC,#NC,#NC
2.907192933,70.3355712891,69.0664672852,64.8603515625,64.7779541016
3.007447102,70.2748413086,69.0537719727,65.1976318359,65.1094360352
3.107704011,69.8720092773,68.6641235352,64.0904541016,64.0490722656
3.207954964,54.236328125,52.9435424805,87.1882324219,87.6016235352
3.308186675,#NC,#NC,#NC,#NC
3.408446454,295.681091309,295.746459961,370.284240723,369.581542969
3.508696580,1.41998291016,0.112365722656,0.0756225585938,0.0703735351562
3.608944145,50.4644165039,49.2497558594,47.2257080078,47.1838989258
3.709210778,67.5562133789,66.3721923828,62.6348876953,62.6657714844
3.809470857,18.5101318359,17.0934448242,#NC,#NC
3.909735289,19.6579589844,18.2039794922,17.9692382812,17.9898681641
4.009999291,17.59765625,16.328125,12.0473022461,11.8454589844
4.110271783,20.5348510742,19.2676391602,17.3948974609,17.3967285156
4.210586343,113.061096191,111.723876953,106.001586914,106.231628418
4.310834585,114.252807617,113.077392578,107.79095459,107.54876709
4.411091587,106.988525391,105.034240723,103.709472656,103.967590332
4.511355613,14.124206543,10.491394043,10.3443603516,10.4876098633
4.611615918,11.4556884766,10.4631958008,10.5745239258,10.6046142578
4.711897074,12.2203979492,10.9536132812,17.934387207,18.1394042969
4.812163536,11.6917724609,10.4044799805,10.474609375,10.4350585938
4.912413268,#NC,#NC,#NC,13.1946411133
5.012680050,11.850402832,10.5631103516,10.6781616211,10.6414794922
5.112944046,1.32489013672,0.0750122070312,0.120056152344,0.0650024414062
5.213205205,1.31115722656,0.0757446289062,0.0382690429688,0.023681640625
