timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL,iMC3.MEM_BW_TOTAL
0.200422143,#NC,#NC,#NC,#NC
0.300672833,69.6510620117,68.2810058594,64.2615356445,64.0448608398
0.400915047,68.671081543,67.014465332,63.2138671875,63.2152709961
0.501141424,#NC,#NC,#NC,#NC
0.601385914,68.3596191406,67.1819458008,63.2630615234,63.2868652344
0.701617561,#NC,#NC,#NC,#NC
0.801865158,68.8698730469,67.7374267578,63.9545288086,63.8419189453
0.902100005,#NC,#NC,#NC,#NC
1.002356733,70.4391479492,69.140625,65.2934570312,65.3451538086
1.102589939,#NC,#NC,#NC,#NC
1.202841150,70.9210205078,69.6095581055,65.6207275391,65.6856689453
1.303069793,#NC,#NC,#NC,#NC
1.403324983,70.5650634766,69.3726196289,65.5003051758,65.3660888672
1.503550404,#NC,#NC,#NC,#NC
1.603816221,70.6494750977,69.4760131836,65.5283203125,65.5938110352
1.704046991,#NC,#NC,#NC,#NC
1.804303312,69.7603759766,68.4753417969,64.6002197266,64.5935058594
1.904533759,#NC,#NC,#NC,#NC
2.004782403,70.2968139648,69.0828857422,65.1218261719,65.1608276367
2.105015043,#NC,#NC,#NC,#NC
2.205240830,#NC,#NC,#NC,#NC
2.305492947,69.9170532227,68.6848754883,64.8248901367,64.8081665039
2.405720427,#NC,#NC,#NC,#NC
2.505968878,71.0628662109,69.7965087891,65.8291625977,65.8338012695
2.606197707,#NC,#NC,#NC,#NC
2.706447435,69.6786499023,68.46484375,64.5407714844,64.5252685547
2.806681559,#NC,#NC,#NC,#NC
2.906935546,69.8923950195,68.6506958008,64.7872314453,64.7421875
3.007166669,#NC,#NC,#NC,#NC
3.107422680,99.0953979492,100.321350098,98.3417358398,97.0222167969
3.207659580,#NC,#NC,#NC,#NC
3.307908091,1.45855712891,0.115539550781,0.0879516601562,0.0971069335938
3.408136821,#NC,#NC,#NC,#NC
3.508387735,68.338684082,67.0874023438,63.3218383789,63.2731323242
3.608622072,#NC,#NC,#NC,#NC
3.708870943,19.2807006836,18.2125854492,18.1209106445,17.8559570312
3.809127536,#NC,#NC,#NC,#NC
3.909382713,10.4945068359,9.38464355469,8.93670654297,8.89453125
4.009636531,17.2305908203,16.3677368164,12.2785644531,12.7324829102
4.109863598,#NC,#NC,#NC,#NC
4.210114875,115.304077148,114.001831055,108.065795898,108.288513184
4.310342508,#NC,#NC,#NC,#NC
4.410593345,12.9263305664,12.4813842773,11.9680786133,11.8615112305
4.510828033,#NC,#NC,#NC,#NC
4.611084030,12.8918457031,11.6099853516,11.6077270508,11.532043457
4.711312267,#NC,#NC,#NC,#NC
4.811566578,12.1358642578,10.8895874023,10.9256591797,10.8624267578
4.911817431,#NC,#NC,#NC,#NC
5.012066998,1.31628417969,0.0443725585938,0.062744140625,0.0910034179688
5.112299481,#NC,#NC,#NC,#NC
5.212547172,1.33129882812,0.004638671875,0.00537109375,0.0084228515625
5.312777956,#NC,#NC,#NC,#NC
5.413022897,1.27166748047,0.0374755859375,0.011474609375,0.00311279296875
5.513253116,#NC,#NC,#NC,#NC
5.613499867,1.27172851562,0.0076904296875,0.0198974609375,0.0366821289062
5.713757041,#NC,#NC,#NC,#NC
5.814008208,1.40698242188,0.119567871094,0.106140136719,0.201416015625
5.914262116,1.50994873047,0.280944824219,0.162048339844,0.263977050781
6.014491286,#NC,#NC,#NC,#NC
6.114736106,1.34735107422,0.113220214844,0.0565795898438,0.0550537109375
6.214966760,#NC,#NC,#NC,#NC
6.315222110,1.27166748047,0.0030517578125,0.04052734375,0.016845703125
6.415450750,#NC,#NC,#NC,#NC
6.515718734,1.30456542969,0.0076904296875,0.006103515625,0.01220703125
6.615962322,#NC,#NC,#NC,#NC
6.716213876,1.28088378906,0.0611572265625,0.0137329101562,0.00616455078125
6.816447633,#NC,#NC,#NC,#NC
6.916695697,1.27166748047,0.0,0.0497436523438,0.0
7.016930007,#NC,#NC,#NC,#NC
7.117191277,1.28857421875,0.00689697265625,0.01220703125,0.0458984375
7.217426211,#NC,#NC,#NC,#NC
7.317683119,5.28192138672,4.34515380859,4.31469726562,4.23126220703
7.417912259,#NC,#NC,#NC,#NC
7.518159486,5.32049560547,4.3916015625,4.43994140625,4.27752685547
7.618387480,#NC,#NC,#NC,#NC
7.718620733,#NC,#NC,#NC,#NC
7.818872637,1.48724365234,0.217956542969,0.165954589844,0.2607421875
7.919107757,#NC,#NC,#NC,#NC
8.019357377,1.34362792969,0.046630859375,0.0443725585938,0.0298461914062
8.119590451,#NC,#NC,#NC,#NC
8.219864752,1.34216308594,0.0910034179688,0.110107421875,0.0726318359375
8.320099589,#NC,#NC,#NC,#NC
8.420351560,1.2900390625,0.017578125,0.0275268554688,0.0550537109375
8.520588530,#NC,#NC,#NC,#NC
8.620844194,5.70568847656,5.02062988281,5.00531005859,5.20794677734
8.721080204,#NC,#NC,#NC,#NC
8.821328855,1.31304931641,0.0718994140625,0.0397338867188,0.0298461914062
8.921560725,#NC,#NC,#NC,#NC
9.021808563,1.2900390625,0.0198974609375,0.0313110351562,0.0451049804688
9.122057000,#NC,#NC,#NC,#NC
9.222316171,3.13494873047,2.04058837891,2.17974853516,2.23864746094
9.322579768,#NC,#NC,#NC,#NC
9.422837192,7.66296386719,6.67749023438,6.47637939453,6.31457519531
9.523084169,9.05541992188,8.25207519531,7.82110595703,7.50817871094
9.623318270,#NC,#NC,#NC,#NC
9.723572627,1.35791015625,0.0542602539062,0.108581542969,0.0741577148438
9.823826615,#NC,#NC,#NC,#NC
9.924073115,1.55572509766,0.254760742188,0.232543945312,0.245544433594
10.024305252,#NC,#NC,#NC,#NC
10.124556326,1.27020263672,0.056640625,0.006103515625,0.0
10.224783993,#NC,#NC,#NC,#NC
10.325037664,1.27233886719,0.0,0.0497436523438,0.00079345703125
10.425268653,#NC,#NC,#NC,#NC
10.525513841,1.28698730469,0.0,0.0,0.0451049804688
10.625744577,#NC,#NC,#NC,#NC
10.725994984,1.29077148438,0.05126953125,0.0091552734375,0.0130004882812
10.826231518,#NC,#NC,#NC,#NC
10.926482982,1.27850341797,0.0145263671875,0.0604248046875,0.00457763671875
11.026712422,#NC,#NC,#NC,#NC
11.126964943,6.16412353516,5.76098632812,5.76409912109,5.73956298828
11.227227114,#NC,#NC,#NC,#NC
11.327481698,8.65716552734,7.28137207031,6.90832519531,7.03900146484
11.427759109,7.08215332031,6.36126708984,5.71716308594,5.74713134766
11.527988926,#NC,#NC,#NC,#NC
11.628235693,1.36560058594,0.0764770507812,0.097900390625,0.0557861328125
11.728465493,#NC,#NC,#NC,#NC
11.828712447,1.27081298828,0.0091552734375,0.0084228515625,0.0504760742188
11.928945664,#NC,#NC,#NC,#NC
12.029194568,1.32202148438,0.00079345703125,0.00384521484375,0.00079345703125
12.129424308,#NC,#NC,#NC,#NC
12.229674072,1.27087402344,0.039794921875,0.0106811523438,0.0023193359375
