timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL,iMC3.MEM_BW_TOTAL
0.200431334,58.5859985352,57.8408813477,54.6342163086,62.1106567383
0.300666450,59.1008300781,58.5971679688,55.2229614258,62.6439208984
0.400902663,58.8101806641,58.6179199219,55.291809082,62.6687011719
0.501139215,57.9029541016,57.7479248047,54.3795166016,61.8189697266
0.601385521,56.9040527344,56.729675293,53.5029296875,60.9175415039
0.701632898,58.9360351562,58.760925293,55.3474731445,62.7379150391
0.801876591,58.4392700195,58.4325561523,55.0524902344,62.5722045898
0.902126853,58.1026000977,58.0655517578,54.7064208984,62.1643066406
1.002374317,58.1644897461,58.1398925781,54.8168334961,62.1795043945
1.102624979,58.5786132812,58.5746459961,55.1265869141,62.6749267578
1.202869576,58.7959594727,58.8213500977,55.4915161133,63.0664672852
1.303120025,58.1706542969,58.2068481445,54.9060058594,62.2673950195
1.403369108,58.9786987305,58.967590332,55.6610107422,63.1911010742
1.503653903,58.6608886719,58.7185058594,55.3740234375,62.8612060547
1.603898385,58.7258300781,58.7615356445,55.4223632812,62.8754882812
1.704145975,58.9303588867,58.9961547852,55.5667114258,63.0888061523
1.804389958,58.9141235352,58.940246582,55.5960693359,63.0919799805
1.904635951,58.8465576172,58.892578125,55.5098876953,62.974609375
2.004917366,58.7379150391,58.8646850586,55.4490356445,62.9913330078
2.105196451,58.8034667969,58.8710327148,55.4609985352,62.9780273438
2.205448675,58.4748535156,58.5998535156,55.2149658203,62.7323608398
2.305700870,59.0524291992,59.1038818359,55.7686767578,63.3013305664
2.405936453,58.5522460938,58.5673217773,55.2276611328,62.7348022461
2.506186962,59.2299194336,59.2222290039,55.895324707,63.4760131836
2.606436405,58.8905639648,58.9479370117,55.5443115234,62.9427490234
2.706686482,58.9453735352,58.9642333984,55.6561889648,63.2145996094
2.806933624,58.9498291016,59.0697631836,55.4633178711,62.9946289062
2.907180371,59.565612793,59.5485839844,56.1995239258,63.6643676758
3.007431177,58.8311767578,58.9255371094,55.5335693359,62.9847412109
3.107695594,59.2209472656,59.1342773438,55.7321777344,63.3541870117
3.207946830,58.796875,58.8845825195,55.4840087891,62.9708251953
3.308196999,58.862121582,58.9193725586,55.5626220703,63.0230102539
3.408444629,59.0881347656,59.1343383789,55.7152709961,63.2632446289
3.508698209,58.8809814453,58.9487915039,55.5740966797,63.0714111328
3.608949651,79.1520385742,79.4051513672,78.2366943359,84.0831298828
3.709213788,321.795715332,320.781860352,320.609130859,326.508728027
3.809463144,33.3740844727,33.7783203125,34.1434936523,41.8656616211
3.909709117,47.3286132812,47.3614501953,44.714050293,52.2362060547
4.009956830,59.345703125,59.3796386719,56.0710449219,63.3284912109
4.110205256,58.9365234375,58.9514770508,55.6082763672,63.1611328125
4.210450546,9.50311279297,9.24566650391,9.20678710938,16.7595214844
4.310729356,16.7760009766,16.8923339844,17.2152099609,24.8743286133
4.411008596,17.1489257812,17.0992431641,16.768371582,24.3263549805
4.511256606,61.2209472656,60.7161865234,56.5209350586,63.7759399414
4.611512172,99.7236938477,99.8786010742,94.4529418945,102.337158203
4.711759931,102.699890137,103.108642578,97.5735473633,104.838745117
4.812007071,9.20770263672,8.53515625,8.31140136719,16.1463623047
4.912255077,12.0271606445,13.0595092773,11.9403686523,19.3748168945
5.012497636,9.28662109375,9.49389648438,9.19952392578,16.6649169922
5.112742583,7.98870849609,8.12152099609,8.14825439453,15.7917480469
5.212988835,8.34631347656,8.35791015625,8.38006591797,16.024230957
5.313242212,8.63458251953,8.69763183594,8.66168212891,16.1782226562
5.413492927,8.40905761719,8.41534423828,8.44036865234,16.0020751953
5.513747361,11.7489624023,11.7432250977,11.6954956055,19.2890014648
5.613995710,0.0443725585938,0.0321655273438,0.0474243164062,7.68640136719
5.714249386,0.0084228515625,0.057373046875,0.0130004882812,7.60412597656
5.814502020,0.00384521484375,0.0030517578125,0.00384521484375,7.64654541016
5.914756662,0.00079345703125,0.050537109375,0.0030517578125,7.59680175781
6.015011219,0.112487792969,0.110168457031,0.097900390625,7.73614501953
6.115255744,0.097900390625,0.133056640625,0.0657958984375,7.68634033203
6.215513434,0.0596923828125,0.0443725585938,0.034423828125,7.68798828125
6.315761703,0.018310546875,0.0757446289062,0.0191040039062,7.61779785156
6.416012967,0.0030517578125,0.00457763671875,0.00152587890625,7.64617919922
6.516266467,0.004638671875,0.052001953125,0.0023193359375,7.59582519531
6.616545380,0.0320434570312,0.0153198242188,0.0167846679688,7.66259765625
6.716795403,0.0714111328125,0.125732421875,0.0532836914062,7.69702148438
6.817043396,0.0333862304688,0.093505859375,0.030029296875,7.65979003906
6.917284721,0.0,0.0,0.0023193359375,7.64306640625
7.017532098,0.0015869140625,0.0504760742188,0.00079345703125,7.59204101562
7.117772557,0.0,0.0,0.0,7.64154052734
7.218021649,0.0,0.0489501953125,0.0,7.59197998047
