mode,sglength,txrate,uspermsg
0,1,4936.16,1.236
0,2,4930.12,1.238
0,3,4892.09,1.248
0,4,4856.46,1.257
0,5,4816.30,1.267
0,6,4868.78,1.254
0,7,4783.33,1.276
0,8,4776.80,1.278
0,9,4866.77,1.254
0,10,4794.50,1.273
0,11,4696.77,1.300
0,12,4524.92,1.349
0,13,4410.88,1.384
0,14,4421.35,1.380
0,15,4204.22,1.452
0,16,3852.09,1.584
0,17,4027.21,1.516
0,18,3961.66,1.541
0,19,3934.96,1.551
0,20,3932.80,1.552
0,21,3758.07,1.624
0,22,3878.20,1.574
0,23,3855.72,1.583
0,24,3717.91,1.642
0,25,3778.93,1.615
0,26,3684.16,1.657
0,27,3549.77,1.719
0,28,3567.94,1.711
0,29,3509.01,1.739
0,30,3442.91,1.773
0,31,3442.12,1.773
0,32,3443.76,1.772
1,32,3483.97,1.752
2,1,139.37,1.369
