copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt154.apt.emulab.net 4 1024 0 0 90.000000 5.000000 90.000001 90000001482 1156461352 76387292290 10752092921 0 116082719 0 24465696 0 6116424 25052872704 265.469792
1 apt172.apt.emulab.net 4 1024 0 0 90.000000 5.000000 90.000012 90000011897 1049521296 76407494097 10738845695 0 116895210 0 24597036 0 6149259 25187364864 266.894922
1 apt160.apt.emulab.net 4 1024 0 0 90.000000 5.000000 90.000026 90000026316 1001221116 76507503861 10728457333 0 115523514 0 24250060 0 6062515 24832061440 263.129991
1 apt180.apt.emulab.net 4 1024 0 0 90.000000 5.000000 90.000008 90000007567 978544303 76336195694 10841166067 0 118115169 0 24904988 0 6226247 25502707712 270.236415
1 apt143.apt.emulab.net 4 1024 0 0 90.000000 5.000000 90.000032 90000032445 1696383429 75905272648 10701669118 0 115952590 0 24385828 0 6096457 24971087872 264.603168
1 apt173.apt.emulab.net 4 1024 0 0 90.000000 5.000000 90.000035 90000035200 1660978037 75950406512 10658278583 0 116597233 0 24560012 0 6140003 25149452288 266.493186
1 apt144.apt.emulab.net 4 1024 0 0 90.000000 5.000000 90.000037 90000037246 1669417535 75907492020 10699989385 0 115523171 0 24451412 0 6112853 25038245888 265.314800
1 apt159.apt.emulab.net 4 1024 0 0 90.000000 5.000000 90.000018 90000018214 1046666852 76307865593 10843852002 0 116758275 0 24691408 0 6172852 25284001792 267.918924
1 apt178.apt.emulab.net 4 1024 0 0 90.000000 5.000000 90.000046 90000045959 959147991 76378252705 10846167095 0 117259155 0 24841024 0 6210256 25437208576 269.542361
1 apt162.apt.emulab.net 4 1024 0 0 90.000000 5.000000 90.000017 90000017143 1571516766 75960605860 10669128735 0 115037389 0 24317448 0 6079362 24901066752 263.861198
1 apt188.apt.emulab.net 4 1024 0 0 90.000000 5.000000 90.000031 90000031083 1585534059 75828505151 10785457337 0 117896789 0 24956700 0 6239175 25555660800 270.797526
1 apt150.apt.emulab.net 4 1024 0 0 90.000000 5.000000 90.000056 90000056298 1044244133 75916735239 11252415534 0 122606605 0 22017944 0 5504486 22546374656 238.909983
1 apt140.apt.emulab.net 4 1024 0 0 90.000000 5.000000 90.000042 90000042025 1686276632 75801460388 10798760446 0 116485370 0 24722440 0 6180610 25315778560 268.255642
1 apt147.apt.emulab.net 4 1024 0 0 90.000000 5.000000 90.000050 90000050032 1128351117 79664102053 7439252059 0 88879507 0 24086652 0 6021663 24664731648 261.356901
1 apt155.apt.emulab.net 4 1024 0 0 90.000000 5.000000 90.000055 90000054667 1660301737 75829560948 10808296840 0 115696182 0 24176028 0 6044007 24756252672 262.326693
