copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt172.apt.emulab.net 10 128 0 0 90.000000 5.000000 90.000001 90000000589 2925513315 80296410740 0 1023930302 327359156 0 167980340 167980340 16798034 21501483520 227.837918
0 apt144.apt.emulab.net 10 128 0 0 90.000000 5.000000 90.000013 90000013495 4731403963 78332205661 0 1034737418 330100559 0 170706550 170706550 17070655 21850438400 231.535577
0 apt159.apt.emulab.net 10 128 0 0 90.000000 5.000000 90.000001 90000001120 3008403204 80142341503 0 1019148986 329123707 0 170179880 170179880 17017988 21783024640 230.821235
0 apt178.apt.emulab.net 10 128 0 0 90.000000 5.000000 90.000002 90000002042 2675921197 80848763765 0 981904329 313896555 0 162964860 162964860 16296486 20859502080 221.035238
0 apt155.apt.emulab.net 10 128 0 0 90.000000 5.000000 90.000006 90000006187 4265913103 79402730651 0 974799095 296678986 0 153224100 153224100 15322410 19612684800 207.823486
0 apt143.apt.emulab.net 10 128 0 0 90.000000 5.000000 90.000008 90000007575 4459620048 79096096985 0 989898761 301126276 0 156421240 156421240 15642124 20021918720 212.159885
0 apt150.apt.emulab.net 10 128 0 0 90.000000 5.000000 90.000012 90000012008 2564118327 81302082879 0 998813626 295859592 0 145369710 145369710 14536971 18607322880 197.170288
0 apt154.apt.emulab.net 10 128 0 0 90.000000 5.000000 90.000014 90000014369 2972509805 80247442868 0 1032079356 325887383 0 168133950 168133950 16813395 21521145600 228.046265
0 apt162.apt.emulab.net 10 128 0 0 90.000000 5.000000 90.000016 90000015838 4156860223 79523045273 0 987429809 294370514 0 152227850 152227850 15222785 19485164800 206.472236
0 apt160.apt.emulab.net 10 128 0 0 90.000000 5.000000 90.000016 90000016325 2666104806 81167627607 0 891463761 298318240 0 154534180 154534180 15453418 19780375040 209.600396
0 apt140.apt.emulab.net 10 128 0 0 90.000000 5.000000 90.000002 90000001610 4860051730 78122938256 0 1022744220 334601341 0 173727980 173727980 17372798 22237181440 235.633653
0 apt180.apt.emulab.net 10 128 0 0 90.000000 5.000000 90.000009 90000009203 2719900657 80806345582 0 935484260 315793821 0 163036720 163036720 16303672 20868700160 221.132704
0 apt147.apt.emulab.net 10 128 0 0 90.000000 5.000000 90.000013 90000013199 3774554771 80640888364 0 255489953 454032584 0 161960590 161960590 16196059 20730955520 219.673109
0 apt173.apt.emulab.net 10 128 0 0 90.000000 5.000000 90.000000 90000000270 4709183768 78375037090 0 1014353513 332250083 0 171181650 171181650 17118165 21911251200 232.179972
0 apt188.apt.emulab.net 10 128 0 0 90.000000 5.000000 90.000017 90000016581 4632125241 78548543805 0 971405499 322376003 0 166933380 166933380 16693338 21367472640 226.417887
