timestamp,CBO.LLC_DDIO_MEM_TOTAL_BYTES
0.200443832,#NC#NC#NC#NC#NC#NC#NC#NC
0.300659978,#NC#NC#NC#NC#NC#NC#NC#NC
0.400897580,#NC#NC#NC#NC#NC#NC#NC#NC
0.501195798,0.180480957031
0.601478435,#NC#NC#NC#NC#NC#NC#NC#NC
0.701728971,#NC#NC#NC#NC#NC#NC#NC#NC
0.801965501,0.191223144531
0.902176308,#NC#NC#NC#NC#NC#NC#NC#NC
1.002352101,#NC#NC#NC#NC#NC#NC#NC#NC
1.102518784,#NC#NC#NC#NC#NC#NC#NC#NC
1.202698564,0.14501953125
1.302868181,#NC#NC#NC#NC#NC#NC#NC#NC
1.403043646,#NC#NC#NC#NC#NC#NC#NC#NC
1.503218024,0.0488891601562
1.603387259,#NC#NC#NC#NC#NC#NC#NC#NC
1.703557994,#NC#NC#NC#NC#NC#NC#NC#NC
1.803734588,#NC#NC#NC#NC#NC#NC#NC#NC
1.903914133,0.226135253906
2.004097238,#NC#NC#NC#NC#NC#NC#NC#NC
2.104264539,#NC#NC#NC#NC#NC#NC#NC#NC
2.204442817,0.142028808594
2.304613404,#NC#NC#NC#NC#NC#NC#NC#NC
2.404783178,#NC#NC#NC#NC#NC#NC#NC#NC
2.504959070,0.241516113281
2.605125081,#NC#NC#NC#NC#NC#NC#NC#NC
2.705297562,#NC#NC#NC#NC#NC#NC#NC#NC
2.805481570,#NC#NC#NC#NC#NC#NC#NC#NC
2.905675493,0.156005859375
3.005846926,#NC#NC#NC#NC#NC#NC#NC#NC
3.106027098,#NC#NC#NC#NC#NC#NC#NC#NC
3.206207380,0.0504150390625
3.306377492,#NC#NC#NC#NC#NC#NC#NC#NC
3.406555852,#NC#NC#NC#NC#NC#NC#NC#NC
3.506728684,#NC#NC#NC#NC#NC#NC#NC#NC
3.606913185,0.135925292969
3.707088770,#NC#NC#NC#NC#NC#NC#NC#NC
3.807269422,#NC#NC#NC#NC#NC#NC#NC#NC
3.907453819,0.1650390625
4.007631907,#NC#NC#NC#NC#NC#NC#NC#NC
4.107813098,#NC#NC#NC#NC#NC#NC#NC#NC
4.207996774,#NC#NC#NC#NC#NC#NC#NC#NC
4.308179021,0.168090820312
4.408356400,#NC#NC#NC#NC#NC#NC#NC#NC
4.508529004,#NC#NC#NC#NC#NC#NC#NC#NC
4.608709785,0.184814453125
4.708897962,#NC#NC#NC#NC#NC#NC#NC#NC
4.809104626,#NC#NC#NC#NC#NC#NC#NC#NC
4.909322790,0.0504150390625
5.009516443,#NC#NC#NC#NC#NC#NC#NC#NC
5.109700696,#NC#NC#NC#NC#NC#NC#NC#NC
5.209894781,#NC#NC#NC#NC#NC#NC#NC#NC
5.310089623,0.14208984375
5.410273389,#NC#NC#NC#NC#NC#NC#NC#NC
5.510460551,#NC#NC#NC#NC#NC#NC#NC#NC
5.610654426,0.224670410156
5.710835863,#NC#NC#NC#NC#NC#NC#NC#NC
5.811041972,#NC#NC#NC#NC#NC#NC#NC#NC
5.911240853,#NC#NC#NC#NC#NC#NC#NC#NC
6.011450069,0.180480957031
6.111633794,#NC#NC#NC#NC#NC#NC#NC#NC
6.211816534,#NC#NC#NC#NC#NC#NC#NC#NC
6.312016200,0.137451171875
6.412198337,#NC#NC#NC#NC#NC#NC#NC#NC
6.512383543,#NC#NC#NC#NC#NC#NC#NC#NC
6.612571132,#NC#NC#NC#NC#NC#NC#NC#NC
6.712772196,0.151306152344
6.812970991,#NC#NC#NC#NC#NC#NC#NC#NC
6.913473740,#NC#NC#NC#NC#NC#NC#NC#NC
7.013674829,0.049072265625
7.113867343,#NC#NC#NC#NC#NC#NC#NC#NC
7.214090073,#NC#NC#NC#NC#NC#NC#NC#NC
7.314288390,#NC#NC#NC#NC#NC#NC#NC#NC
7.414492369,0.160522460938
7.514697027,#NC#NC#NC#NC#NC#NC#NC#NC
7.614897920,#NC#NC#NC#NC#NC#NC#NC#NC
7.715108075,0.171325683594
7.815327708,#NC#NC#NC#NC#NC#NC#NC#NC
7.915540165,#NC#NC#NC#NC#NC#NC#NC#NC
8.015757476,0.700134277344
8.115955553,#NC#NC#NC#NC#NC#NC#NC#NC
8.216160701,#NC#NC#NC#NC#NC#NC#NC#NC
8.316353813,#NC#NC#NC#NC#NC#NC#NC#NC
8.416557598,0.125244140625
8.516751937,#NC#NC#NC#NC#NC#NC#NC#NC
8.616946377,#NC#NC#NC#NC#NC#NC#NC#NC
8.717154146,0.0504150390625
8.817366026,#NC#NC#NC#NC#NC#NC#NC#NC
8.917577910,#NC#NC#NC#NC#NC#NC#NC#NC
9.017782713,#NC#NC#NC#NC#NC#NC#NC#NC
9.118003141,0.161987304688
9.218201126,#NC#NC#NC#NC#NC#NC#NC#NC
9.318400638,#NC#NC#NC#NC#NC#NC#NC#NC
9.418609173,0.2109375
9.518806027,#NC#NC#NC#NC#NC#NC#NC#NC
9.619021474,#NC#NC#NC#NC#NC#NC#NC#NC
9.719223478,#NC#NC#NC#NC#NC#NC#NC#NC
9.819441031,0.154418945312
9.919656422,#NC#NC#NC#NC#NC#NC#NC#NC
10.019867541,#NC#NC#NC#NC#NC#NC#NC#NC
10.120096908,627.416320801
10.220306149,#NC#NC#NC#NC#NC#NC#NC#NC
10.320513773,#NC#NC#NC#NC#NC#NC#NC#NC
10.420749201,622.942687988
10.520959245,#NC#NC#NC#NC#NC#NC#NC#NC
10.621170331,#NC#NC#NC#NC#NC#NC#NC#NC
10.721379746,#NC#NC#NC#NC#NC#NC#NC#NC
10.821610692,620.858154297
10.921821584,#NC#NC#NC#NC#NC#NC#NC#NC
11.022040111,#NC#NC#NC#NC#NC#NC#NC#NC
11.122267268,621.140319824
11.222478210,#NC#NC#NC#NC#NC#NC#NC#NC
11.322688201,#NC#NC#NC#NC#NC#NC#NC#NC
11.422901767,#NC#NC#NC#NC#NC#NC#NC#NC
11.523126696,620.258178711
11.623336858,#NC#NC#NC#NC#NC#NC#NC#NC
11.723546407,#NC#NC#NC#NC#NC#NC#NC#NC
11.823775315,619.26171875
11.923989146,#NC#NC#NC#NC#NC#NC#NC#NC
12.024227060,#NC#NC#NC#NC#NC#NC#NC#NC
12.124443668,#NC#NC#NC#NC#NC#NC#NC#NC
12.224670238,619.72277832
12.324881279,#NC#NC#NC#NC#NC#NC#NC#NC
12.425094132,#NC#NC#NC#NC#NC#NC#NC#NC
12.525322540,618.950622559
12.625538746,#NC#NC#NC#NC#NC#NC#NC#NC
12.725745680,#NC#NC#NC#NC#NC#NC#NC#NC
12.825983206,618.560668945
12.926194612,#NC#NC#NC#NC#NC#NC#NC#NC
13.026404205,#NC#NC#NC#NC#NC#NC#NC#NC
13.126611654,#NC#NC#NC#NC#NC#NC#NC#NC
13.226841308,618.745422363
13.327046850,#NC#NC#NC#NC#NC#NC#NC#NC
13.427262738,#NC#NC#NC#NC#NC#NC#NC#NC
13.527490034,619.436584473
13.627699009,#NC#NC#NC#NC#NC#NC#NC#NC
13.727909898,#NC#NC#NC#NC#NC#NC#NC#NC
13.828132142,#NC#NC#NC#NC#NC#NC#NC#NC
13.928358357,618.865783691
14.028566955,#NC#NC#NC#NC#NC#NC#NC#NC
14.128778525,#NC#NC#NC#NC#NC#NC#NC#NC
14.229004997,618.251647949
14.329217402,#NC#NC#NC#NC#NC#NC#NC#NC
14.429427168,#NC#NC#NC#NC#NC#NC#NC#NC
14.529636945,#NC#NC#NC#NC#NC#NC#NC#NC
14.629865194,618.364257812
14.730078056,#NC#NC#NC#NC#NC#NC#NC#NC
14.830291599,#NC#NC#NC#NC#NC#NC#NC#NC
14.930517445,617.802429199
15.030727389,#NC#NC#NC#NC#NC#NC#NC#NC
15.130955123,#NC#NC#NC#NC#NC#NC#NC#NC
15.231185874,617.090698242
15.331409372,#NC#NC#NC#NC#NC#NC#NC#NC
15.431622840,#NC#NC#NC#NC#NC#NC#NC#NC
15.531832958,#NC#NC#NC#NC#NC#NC#NC#NC
15.632063317,618.124389648
15.732282516,#NC#NC#NC#NC#NC#NC#NC#NC
15.832491535,#NC#NC#NC#NC#NC#NC#NC#NC
15.932717491,618.015625
16.032927975,#NC#NC#NC#NC#NC#NC#NC#NC
16.133139520,#NC#NC#NC#NC#NC#NC#NC#NC
16.233351181,#NC#NC#NC#NC#NC#NC#NC#NC
16.333578721,617.17980957
16.433791702,#NC#NC#NC#NC#NC#NC#NC#NC
16.534014659,#NC#NC#NC#NC#NC#NC#NC#NC
16.634243988,617.11541748
16.734452572,#NC#NC#NC#NC#NC#NC#NC#NC
16.834664786,#NC#NC#NC#NC#NC#NC#NC#NC
16.934876739,#NC#NC#NC#NC#NC#NC#NC#NC
17.035101615,617.251647949
17.135310610,#NC#NC#NC#NC#NC#NC#NC#NC
17.235522255,#NC#NC#NC#NC#NC#NC#NC#NC
17.335747712,616.809997559
17.435954334,#NC#NC#NC#NC#NC#NC#NC#NC
17.536186213,#NC#NC#NC#NC#NC#NC#NC#NC
17.636410481,210096192.0#NC#NC#NC#NC#NC
17.736636567,#NC#NC#NC80925248.080993024.080943936.080773952.080843712.0
17.836848727,#NC#NC#NC#NC#NC#NC#NC#NC
17.937062622,#NC#NC#NC#NC#NC#NC#NC#NC
18.037290169,616.684204102
18.137502886,#NC#NC#NC#NC#NC#NC#NC#NC
18.237712964,#NC#NC#NC#NC#NC#NC#NC#NC
18.337945599,616.976501465
18.438154587,#NC#NC#NC#NC#NC#NC#NC#NC
18.538365042,#NC#NC#NC#NC#NC#NC#NC#NC
18.638577124,#NC#NC#NC#NC#NC#NC#NC#NC
18.738803945,616.318847656
18.839017155,#NC#NC#NC#NC#NC#NC#NC#NC
18.939228115,#NC#NC#NC#NC#NC#NC#NC#NC
19.039454968,617.175354004
19.139663599,#NC#NC#NC#NC#NC#NC#NC#NC
19.239877728,#NC#NC#NC#NC#NC#NC#NC#NC
19.340085082,#NC#NC#NC#NC#NC#NC#NC#NC
19.440310769,616.95880127
19.540519926,#NC#NC#NC#NC#NC#NC#NC#NC
19.640730164,#NC#NC#NC#NC#NC#NC#NC#NC
19.740958171,617.196960449
19.841167451,#NC#NC#NC#NC#NC#NC#NC#NC
19.941393066,#NC#NC#NC#NC#NC#NC#NC#NC
20.041610503,#NC#NC#NC#NC#NC#NC#NC#NC
20.141834191,616.937438965
20.242050282,#NC#NC#NC#NC#NC#NC#NC#NC
20.342259637,#NC#NC#NC#NC#NC#NC#NC#NC
20.442487962,616.91973877
20.542700165,#NC#NC#NC#NC#NC#NC#NC#NC
20.642913637,#NC#NC#NC#NC#NC#NC#NC#NC
20.743142431,616.111694336
20.843353346,#NC#NC#NC#NC#NC#NC#NC#NC
20.943569175,#NC#NC#NC#NC#NC#NC#NC#NC
21.043783767,#NC#NC#NC#NC#NC#NC#NC#NC
21.144011015,616.827392578
21.244221110,#NC#NC#NC#NC#NC#NC#NC#NC
21.344434296,#NC#NC#NC#NC#NC#NC#NC#NC
21.444661558,616.699707031
21.544872801,#NC#NC#NC#NC#NC#NC#NC#NC
21.645082360,#NC#NC#NC#NC#NC#NC#NC#NC
21.745291102,#NC#NC#NC#NC#NC#NC#NC#NC
21.845515208,616.073303223
21.945723708,#NC#NC#NC#NC#NC#NC#NC#NC
22.045892016,#NC#NC#NC#NC#NC#NC#NC#NC
22.146119319,615.249511719
22.246328346,#NC#NC#NC#NC#NC#NC#NC#NC
22.346549989,#NC#NC#NC#NC#NC#NC#NC#NC
22.446765369,#NC#NC#NC#NC#NC#NC#NC#NC
22.546999069,616.312683105
22.647210132,#NC#NC#NC#NC#NC#NC#NC#NC
22.747421589,#NC#NC#NC#NC#NC#NC#NC#NC
22.847647250,616.039428711
22.947857655,#NC#NC#NC#NC#NC#NC#NC#NC
23.048071155,#NC#NC#NC#NC#NC#NC#NC#NC
23.148297175,615.38684082
23.248507309,#NC#NC#NC#NC#NC#NC#NC#NC
23.348719447,#NC#NC#NC#NC#NC#NC#NC#NC
23.448930189,#NC#NC#NC#NC#NC#NC#NC#NC
23.549155338,615.581542969
23.649365413,#NC#NC#NC#NC#NC#NC#NC#NC
23.749576954,#NC#NC#NC#NC#NC#NC#NC#NC
23.849806396,616.217712402
23.950021274,#NC#NC#NC#NC#NC#NC#NC#NC
24.050230043,#NC#NC#NC#NC#NC#NC#NC#NC
24.150441931,#NC#NC#NC#NC#NC#NC#NC#NC
24.250670336,615.933349609
24.350882111,#NC#NC#NC#NC#NC#NC#NC#NC
24.451094976,#NC#NC#NC#NC#NC#NC#NC#NC
24.551323611,615.507263184
24.651532202,#NC#NC#NC#NC#NC#NC#NC#NC
24.751738650,#NC#NC#NC#NC#NC#NC#NC#NC
24.851949545,#NC#NC#NC#NC#NC#NC#NC#NC
24.952177984,615.78326416
25.052386623,#NC#NC#NC#NC#NC#NC#NC#NC
25.152598919,#NC#NC#NC#NC#NC#NC#NC#NC
25.252823952,615.571533203
25.353034510,#NC#NC#NC#NC#NC#NC#NC#NC
25.453246551,#NC#NC#NC#NC#NC#NC#NC#NC
25.553472866,615.520690918
25.653682806,#NC#NC#NC#NC#NC#NC#NC#NC
25.753892592,#NC#NC#NC#NC#NC#NC#NC#NC
25.854104192,#NC#NC#NC#NC#NC#NC#NC#NC
25.954333277,615.731750488
26.054542641,#NC#NC#NC#NC#NC#NC#NC#NC
26.154752756,#NC#NC#NC#NC#NC#NC#NC#NC
26.254977476,615.81237793
26.355190372,#NC#NC#NC#NC#NC#NC#NC#NC
26.455403550,#NC#NC#NC#NC#NC#NC#NC#NC
26.555612148,#NC#NC#NC#NC#NC#NC#NC#NC
26.655836987,615.593017578
26.756045095,#NC#NC#NC#NC#NC#NC#NC#NC
26.856259476,#NC#NC#NC#NC#NC#NC#NC#NC
26.956487611,615.387207031
27.056697744,#NC#NC#NC#NC#NC#NC#NC#NC
27.156910125,#NC#NC#NC#NC#NC#NC#NC#NC
27.257121542,#NC#NC#NC#NC#NC#NC#NC#NC
27.357350198,615.250183105
27.457565253,#NC#NC#NC#NC#NC#NC#NC#NC
27.557778048,#NC#NC#NC#NC#NC#NC#NC#NC
27.658015739,615.610229492
27.758226930,#NC#NC#NC#NC#NC#NC#NC#NC
27.858450582,#NC#NC#NC#NC#NC#NC#NC#NC
27.958677431,615.243774414
28.058900893,#NC#NC#NC#NC#NC#NC#NC#NC
28.159116705,#NC#NC#NC#NC#NC#NC#NC#NC
28.259325775,#NC#NC#NC#NC#NC#NC#NC#NC
28.359553570,615.118103027
28.459762047,#NC#NC#NC#NC#NC#NC#NC#NC
28.559972920,#NC#NC#NC#NC#NC#NC#NC#NC
28.660203118,615.106140137
28.760409989,#NC#NC#NC#NC#NC#NC#NC#NC
28.860623085,#NC#NC#NC#NC#NC#NC#NC#NC
28.960832832,#NC#NC#NC#NC#NC#NC#NC#NC
29.061062223,615.47052002
29.161273292,#NC#NC#NC#NC#NC#NC#NC#NC
29.261484926,#NC#NC#NC#NC#NC#NC#NC#NC
29.361711175,615.10546875
29.461892550,#NC#NC#NC#NC#NC#NC#NC#NC
29.562102726,#NC#NC#NC#NC#NC#NC#NC#NC
29.662313768,#NC#NC#NC#NC#NC#NC#NC#NC
29.762537084,615.019165039
29.862747288,#NC#NC#NC#NC#NC#NC#NC#NC
29.962957953,#NC#NC#NC#NC#NC#NC#NC#NC
30.063186462,615.172302246
30.163393919,#NC#NC#NC#NC#NC#NC#NC#NC
30.263613373,#NC#NC#NC#NC#NC#NC#NC#NC
30.363830332,#NC#NC#NC#NC#NC#NC#NC#NC
30.464059977,615.051696777
30.564270477,#NC#NC#NC#NC#NC#NC#NC#NC
30.664479148,#NC#NC#NC#NC#NC#NC#NC#NC
30.764707009,615.073242188
30.864918631,#NC#NC#NC#NC#NC#NC#NC#NC
30.965134953,#NC#NC#NC#NC#NC#NC#NC#NC
31.065365183,615.173034668
31.165575680,#NC#NC#NC#NC#NC#NC#NC#NC
31.265783888,#NC#NC#NC#NC#NC#NC#NC#NC
31.365999684,#NC#NC#NC#NC#NC#NC#NC#NC
31.466226508,615.585144043
31.566439586,#NC#NC#NC#NC#NC#NC#NC#NC
31.666648588,#NC#NC#NC#NC#NC#NC#NC#NC
31.766873841,615.261779785
31.867083876,#NC#NC#NC#NC#NC#NC#NC#NC
31.967298975,#NC#NC#NC#NC#NC#NC#NC#NC
32.067509248,#NC#NC#NC#NC#NC#NC#NC#NC
32.167737315,615.407958984
32.267954343,#NC#NC#NC#NC#NC#NC#NC#NC
32.368176593,#NC#NC#NC#NC#NC#NC#NC#NC
32.468405040,614.882751465
32.568613389,#NC#NC#NC#NC#NC#NC#NC#NC
32.668834998,#NC#NC#NC#NC#NC#NC#NC#NC
32.769046381,#NC#NC#NC#NC#NC#NC#NC#NC
32.869273177,614.715698242
32.969479332,#NC#NC#NC#NC#NC#NC#NC#NC
33.069691737,#NC#NC#NC#NC#NC#NC#NC#NC
33.169892313,615.512451172
33.270100231,#NC#NC#NC#NC#NC#NC#NC#NC
33.370310462,#NC#NC#NC#NC#NC#NC#NC#NC
33.470537634,615.831359863
33.570747542,#NC#NC#NC#NC#NC#NC#NC#NC
33.670958327,#NC#NC#NC#NC#NC#NC#NC#NC
33.771169984,#NC#NC#NC#NC#NC#NC#NC#NC
33.871396582,615.366455078
33.971602947,#NC#NC#NC#NC#NC#NC#NC#NC
34.071813038,#NC#NC#NC#NC#NC#NC#NC#NC
34.172041198,615.098815918
34.272260552,#NC#NC#NC#NC#NC#NC#NC#NC
34.372477415,#NC#NC#NC#NC#NC#NC#NC#NC
34.472691752,#NC#NC#NC#NC#NC#NC#NC#NC
34.572919719,617.671203613
34.673129775,#NC#NC#NC#NC#NC#NC#NC#NC
34.773337824,#NC#NC#NC#NC#NC#NC#NC#NC
34.873565433,617.548278809
34.973776793,#NC#NC#NC#NC#NC#NC#NC#NC
35.074008337,#NC#NC#NC#NC#NC#NC#NC#NC
35.174224043,#NC#NC#NC#NC#NC#NC#NC#NC
35.274449091,617.383850098
35.374656873,#NC#NC#NC#NC#NC#NC#NC#NC
35.474868510,#NC#NC#NC#NC#NC#NC#NC#NC
35.575099880,617.540466309
35.675310330,#NC#NC#NC#NC#NC#NC#NC#NC
35.775522705,#NC#NC#NC#NC#NC#NC#NC#NC
35.875747929,617.428771973
35.975958313,#NC#NC#NC#NC#NC#NC#NC#NC
36.076176351,#NC#NC#NC#NC#NC#NC#NC#NC
36.176387777,#NC#NC#NC#NC#NC#NC#NC#NC
36.276616962,616.826721191
36.376823633,#NC#NC#NC#NC#NC#NC#NC#NC
36.477034697,#NC#NC#NC#NC#NC#NC#NC#NC
36.577259919,617.048583984
36.677469126,#NC#NC#NC#NC#NC#NC#NC#NC
36.777680021,#NC#NC#NC#NC#NC#NC#NC#NC
36.877891655,#NC#NC#NC#NC#NC#NC#NC#NC
36.978118101,616.712402344
37.078329940,#NC#NC#NC#NC#NC#NC#NC#NC
37.178540595,#NC#NC#NC#NC#NC#NC#NC#NC
37.278768636,616.346618652
37.378978131,#NC#NC#NC#NC#NC#NC#NC#NC
37.479189578,#NC#NC#NC#NC#NC#NC#NC#NC
37.579399384,#NC#NC#NC#NC#NC#NC#NC#NC
37.679625051,616.358642578
37.779834199,#NC#NC#NC#NC#NC#NC#NC#NC
37.880044654,#NC#NC#NC#NC#NC#NC#NC#NC
37.980282676,616.09185791
38.080491460,#NC#NC#NC#NC#NC#NC#NC#NC
38.180700396,#NC#NC#NC#NC#NC#NC#NC#NC
38.280928474,616.135681152
38.381136962,#NC#NC#NC#NC#NC#NC#NC#NC
38.481349043,#NC#NC#NC#NC#NC#NC#NC#NC
38.581559729,#NC#NC#NC#NC#NC#NC#NC#NC
38.681789024,615.856079102
38.782006889,#NC#NC#NC#NC#NC#NC#NC#NC
38.882220215,#NC#NC#NC#NC#NC#NC#NC#NC
38.982449254,615.557006836
39.082661351,#NC#NC#NC#NC#NC#NC#NC#NC
39.182870282,#NC#NC#NC#NC#NC#NC#NC#NC
