copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
0 apt162.apt.emulab.net 1 16384 8 1024 90.000000 5.000000 90.000001 90000000734 379016248 89103950995 0 89937550 27294786 0 13745556 13745556 1527284 37534531584 2386.381250
0 apt180.apt.emulab.net 1 16384 8 1024 90.000000 5.000000 90.000003 90000002926 286336175 89173100379 0 87561227 27067409 0 13745601 13745601 1527289 37534654464 2386.389062
0 apt160.apt.emulab.net 1 16384 8 1024 90.000000 5.000000 90.000066 90000066324 288139963 89169289666 0 91204074 27078800 0 13745808 13745808 1527312 37535219712 2386.425000
0 apt147.apt.emulab.net 1 16384 8 1024 90.000000 5.000000 90.000093 90000093255 271461052 89284712241 0 22448465 44790846 0 13745781 13745781 1527309 37535145984 2386.420312
0 apt144.apt.emulab.net 1 16384 8 1024 90.000000 5.000000 90.000118 90000118133 384828183 89103399084 0 88717994 26901376 0 13745826 13745826 1527314 37535268864 2386.428125
0 apt143.apt.emulab.net 1 16384 8 1024 90.000000 5.000000 90.000128 90000128282 358226293 89108306093 0 94205096 27123723 0 13745880 13745880 1527320 37535416320 2386.437500
0 apt155.apt.emulab.net 1 16384 8 1024 90.000000 5.000000 90.000035 90000035018 391699005 89088865315 0 90492410 27257927 0 13745709 13745709 1527301 37534949376 2386.407813
0 apt159.apt.emulab.net 1 16384 8 1024 90.000000 5.000000 90.000054 90000054433 314407561 89132823160 0 96120408 26756267 0 13745799 13745799 1527311 37535195136 2386.423438
0 apt154.apt.emulab.net 1 16384 8 1024 90.000000 5.000000 90.000098 90000098192 307089037 89141186578 0 97372513 26847126 0 13745718 13745718 1527302 37534973952 2386.409375
0 apt150.apt.emulab.net 1 16384 8 1024 90.000000 5.000000 90.000025 90000024650 332696833 89085565492 0 91350217 28688219 0 13744746 13744746 1527194 37532319744 2386.240625
0 apt172.apt.emulab.net 1 16384 8 1024 90.000000 5.000000 90.000005 90000005200 302126185 89151178386 0 92551107 26693572 0 13745943 13745943 1527327 37535588352 2386.448438
0 apt173.apt.emulab.net 1 16384 8 1024 90.000000 5.000000 90.000023 90000023452 388665063 89087781962 0 88005725 26871568 0 13735449 13735449 1526161 37506932736 2384.626563
0 apt178.apt.emulab.net 1 16384 8 1024 90.000000 5.000000 90.000074 90000074019 299491513 89160329016 0 84505817 27184155 0 13745817 13745817 1527313 37535244288 2386.426562
0 apt140.apt.emulab.net 1 16384 8 1024 90.000000 5.000000 90.000108 90000107966 396148335 89088586244 0 92714154 26801371 0 13745772 13745772 1527308 37535121408 2386.418750
0 apt188.apt.emulab.net 1 16384 8 1024 90.000000 5.000000 90.000050 90000049564 361534304 89107104013 0 88719653 27227130 0 13745709 13745709 1527301 37534949376 2386.407813
