copied server chunksPerMessage chunkSize deltasPerMessage deltaSize seconds warmupSeconds totalSecs totalNSecs sendNSecs getTxNSecs memcpyNSecs addingGENSecs setupWRNSecs miscCycles chunksTx chunksTxZeroCopy transmissions transmittedBytes mbs
1 apt172.apt.emulab.net 64 128 0 0 90.000000 5.000000 90.000001 90000000713 576297616 68704917849 16214680927 0 64340897 0 224399232 0 3506238 28723101696 304.360937
1 apt162.apt.emulab.net 64 128 0 0 90.000000 5.000000 90.000020 90000019555 910487956 68215238850 16401140007 0 64838270 0 220806144 0 3450096 28263186432 299.487500
1 apt180.apt.emulab.net 64 128 0 0 90.000000 5.000000 90.000005 90000005326 582697962 68517204249 16411527860 0 64918337 0 221730944 0 3464546 28381560832 300.741840
1 apt154.apt.emulab.net 64 128 0 0 90.000000 5.000000 90.000019 90000019306 599195971 68811635888 16142936615 0 65234526 0 223858880 0 3497795 28653936640 303.628038
1 apt188.apt.emulab.net 64 128 0 0 90.000000 5.000000 90.000038 90000038371 929338846 68203787816 16382083488 0 65344534 0 221177984 0 3455906 28310781952 299.991840
1 apt159.apt.emulab.net 64 128 0 0 90.000000 5.000000 90.000010 90000010051 616180917 68771290855 16147521455 0 65898462 0 223726464 0 3495726 28636987392 303.448438
1 apt147.apt.emulab.net 64 128 0 0 90.000000 5.000000 90.000042 90000042008 732495383 73857930434 11294312338 0 60453175 0 227209024 0 3550141 29082755072 308.171962
1 apt144.apt.emulab.net 64 128 0 0 90.000000 5.000000 90.000051 90000051294 923819602 68489320935 16154769416 0 63806984 0 223763712 0 3496308 28641755136 303.498958
1 apt178.apt.emulab.net 64 128 0 0 90.000000 5.000000 90.000066 90000066039 574478818 68476920832 16447419276 0 64564524 0 221869824 0 3466716 28399337472 300.930208
1 apt160.apt.emulab.net 64 128 0 0 90.000000 5.000000 90.000081 90000080930 615586343 68630122190 16285483177 0 65233867 0 221765440 0 3465085 28385976320 300.788628
1 apt143.apt.emulab.net 64 128 0 0 90.000000 5.000000 90.000017 90000016936 1001460992 68280735158 16301870239 0 64092995 0 221785472 0 3465398 28388540416 300.815799
1 apt173.apt.emulab.net 64 128 0 0 90.000000 5.000000 90.000074 90000074425 947980249 68369666470 16226856640 0 64183406 0 224225664 0 3503526 28700884992 304.125521
1 apt150.apt.emulab.net 64 128 0 0 90.000000 5.000000 90.001271 90001270841 491216105 73364990755 12741997612 0 50699104 0 144896384 0 2264006 18546737152 196.528299
1 apt140.apt.emulab.net 64 128 0 0 90.000000 5.000000 90.000099 90000099084 1029127957 68408853330 16151005817 0 63735453 0 223508288 0 3492317 28609060864 303.152517
1 apt155.apt.emulab.net 64 128 0 0 90.000000 5.000000 90.000061 90000060541 970938007 67320888490 17100629608 0 65366026 0 222390464 0 3474851 28465979392 301.636372
