timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
0.200296114,#NC,#NC,#NC
0.300464222,#NC,#NC,#NC
0.400633536,#NC,#NC,#NC
0.500818650,#NC,#NC,#NC
0.601034310,#NC,#NC,#NC
0.701364008,#NC,#NC,#NC
0.801553733,#NC,#NC,#NC
0.901728493,141.986816406,141.869995117,504.875976562
1.001867041,#NC,#NC,#NC
1.101990848,#NC,#NC,#NC
1.202117522,#NC,#NC,#NC
1.302243558,#NC,#NC,#NC
1.402369243,#NC,#NC,#NC
1.502496995,#NC,#NC,#NC
1.602623042,#NC,#NC,#NC
1.702759989,0.981750488281,1.11224365234,2.48736572266
1.802894345,#NC,#NC,#NC
1.903032494,#NC,#NC,#NC
2.003164220,#NC,#NC,#NC
2.103272641,#NC,#NC,#NC
2.203382166,#NC,#NC,#NC
2.303491124,#NC,#NC,#NC
2.403600546,#NC,#NC,#NC
2.503719734,1.12707519531,1.15173339844,2.58544921875
2.603828332,#NC,#NC,#NC
2.703936544,#NC,#NC,#NC
2.804066407,#NC,#NC,#NC
2.904214567,#NC,#NC,#NC
3.004339701,#NC,#NC,#NC
3.104469267,#NC,#NC,#NC
3.204590936,#NC,#NC,#NC
3.304728783,1.14398193359,1.18170166016,2.52465820312
3.404866782,#NC,#NC,#NC
3.504987421,#NC,#NC,#NC
3.605108936,#NC,#NC,#NC
3.705247415,#NC,#NC,#NC
3.805387736,#NC,#NC,#NC
3.905518173,#NC,#NC,#NC
4.005629293,#NC,#NC,#NC
4.105758018,1.64727783203,1.67102050781,3.98162841797
4.205876495,#NC,#NC,#NC
4.305989847,#NC,#NC,#NC
4.406103053,#NC,#NC,#NC
4.506219313,#NC,#NC,#NC
4.606343107,#NC,#NC,#NC
4.706461368,#NC,#NC,#NC
4.806602912,#NC,#NC,#NC
4.906757279,1.09875488281,1.18371582031,2.61004638672
5.006869834,#NC,#NC,#NC
5.106994765,#NC,#NC,#NC
5.207112627,#NC,#NC,#NC
5.307216880,#NC,#NC,#NC
5.407320214,#NC,#NC,#NC
5.507434726,#NC,#NC,#NC
5.607545917,1.22930908203,1.32708740234,2.61810302734
5.707658510,1.43811035156,1.54382324219,3.08129882812
5.807781005,#NC,#NC,#NC
5.907918493,#NC,#NC,#NC
6.008034435,#NC,#NC,#NC
6.108162697,#NC,#NC,#NC
6.208293335,#NC,#NC,#NC
6.308417836,#NC,#NC,#NC
6.408552380,1.10626220703,1.203125,2.69097900391
6.508675876,#NC,#NC,#NC
6.608805685,#NC,#NC,#NC
6.708937171,#NC,#NC,#NC
6.809078766,#NC,#NC,#NC
6.909218200,#NC,#NC,#NC
7.009334709,#NC,#NC,#NC
7.109452176,#NC,#NC,#NC
7.209579972,1.19470214844,1.24969482422,2.71331787109
7.309704635,#NC,#NC,#NC
7.409830024,#NC,#NC,#NC
7.509960201,#NC,#NC,#NC
7.610082868,#NC,#NC,#NC
7.710206405,#NC,#NC,#NC
7.810345548,#NC,#NC,#NC
7.910486215,#NC,#NC,#NC
8.010610246,1.25830078125,1.2705078125,2.83526611328
8.110730662,#NC,#NC,#NC
8.210843308,#NC,#NC,#NC
8.310955916,#NC,#NC,#NC
8.411068451,#NC,#NC,#NC
8.511173285,#NC,#NC,#NC
8.611279071,#NC,#NC,#NC
8.711386365,#NC,#NC,#NC
8.811526782,1.19519042969,1.19689941406,2.85870361328
8.911654395,#NC,#NC,#NC
9.011767109,#NC,#NC,#NC
9.111872824,#NC,#NC,#NC
9.211978402,#NC,#NC,#NC
9.312084307,#NC,#NC,#NC
9.412196678,#NC,#NC,#NC
9.512319546,#NC,#NC,#NC
9.612444320,1.19769287109,1.33050537109,2.83929443359
9.712559899,#NC,#NC,#NC
9.812688965,#NC,#NC,#NC
9.912824422,#NC,#NC,#NC
10.012949920,#NC,#NC,#NC
10.113056231,#NC,#NC,#NC
10.213161936,#NC,#NC,#NC
10.313267650,#NC,#NC,#NC
10.413386049,1.17974853516,1.31793212891,2.837890625
10.513493719,#NC,#NC,#NC
10.613600039,#NC,#NC,#NC
10.713713704,#NC,#NC,#NC
10.813850133,#NC,#NC,#NC
10.913982958,#NC,#NC,#NC
11.014096357,#NC,#NC,#NC
11.114210225,#NC,#NC,#NC
11.214342030,1.63848876953,1.73931884766,3.45684814453
11.314466106,#NC,#NC,#NC
11.414585215,#NC,#NC,#NC
11.514701846,#NC,#NC,#NC
11.614829660,#NC,#NC,#NC
11.714957616,#NC,#NC,#NC
11.815566958,#NC,#NC,#NC
11.915706080,4.60101318359,5.50921630859,7.29205322266
12.015820376,14.9043579102,11.7911987305,21.8239746094
12.115932362,#NC,#NC,#NC
12.216046695,#NC,#NC,#NC
12.316162566,#NC,#NC,#NC
12.416285765,#NC,#NC,#NC
12.516404228,#NC,#NC,#NC
12.616524234,#NC,#NC,#NC
12.716655650,1.20458984375,1.23590087891,2.79412841797
12.816794766,#NC,#NC,#NC
12.916938526,#NC,#NC,#NC
13.017051073,#NC,#NC,#NC
13.117199509,#NC,#NC,#NC
13.217311693,#NC,#NC,#NC
13.317423176,#NC,#NC,#NC
13.417536542,#NC,#NC,#NC
13.517666627,1.18615722656,1.26550292969,2.70837402344
13.617784962,#NC,#NC,#NC
13.717908007,#NC,#NC,#NC
13.818039619,#NC,#NC,#NC
13.918181214,#NC,#NC,#NC
14.018297580,#NC,#NC,#NC
14.118413290,#NC,#NC,#NC
14.218528899,#NC,#NC,#NC
14.318656102,1.18395996094,1.28332519531,2.78350830078
14.418773573,#NC,#NC,#NC
14.518891137,#NC,#NC,#NC
14.619011073,#NC,#NC,#NC
14.719127178,#NC,#NC,#NC
14.819251619,#NC,#NC,#NC
14.919382004,#NC,#NC,#NC
15.019611087,#NC,#NC,#NC
15.119738766,1.21502685547,1.33581542969,2.85229492188
15.219862158,#NC,#NC,#NC
15.319993316,#NC,#NC,#NC
15.420119917,#NC,#NC,#NC
15.520247366,#NC,#NC,#NC
